"","OccurrenceID","GUID","Herbarium","Collection","Dataset","Accession","Catalog","Barcode","Other.Catalog.Numbers","Information.Withheld","Basis.of.Record","Family","Accepted.Name","Scientific.Name","Notho.Genus","Genus","Notho.Species","Specific.Epithet","Specific.Authors","Infraspecific.Rank","Notho.Infraspecies","Infraspecific.Epithet","Infraspecific.Authors","Hybrid.Symbol","X2nd.Notho.Genus","X2nd.Genus","X2nd.Notho.Species","X2nd.Specific.Epithet","X2nd.Specific.Authors","X2nd.Infraspecific.Rank","X2nd.Notho.Infraspecies","X2nd.Infraspecific.Epithet","X2nd.Infraspecific.Authors","Cultivar","Name.Qualifier","Qualifier.Position","Type.Specimen.","Type.Status","Specimen.Notes","Phenology","Origin","Cultivated.","Imaged.","Site.Number","Collector","Collector.Number","Other.Collectors","Day.Collected","Month.Collected","Year.Collected","Verbatim.Collection.Date","Country","State.or.Province","County","Locality","Site.Description","Verbatim.Elevation","Minimum.Elevation.in.Meters","Maximum.Elevation.in.Meters","Verbatim.Coordinates","Decimal.Latitude","Decimal.Longitude","Valid.LatLng","Geodetic.Datum","Coordinate.Uncertainty.in.Meters","Georeferenced.By","Georeference.Sources","Georeference.Remarks"
"131",828489,"RBCM:Botany:V170056","V","Vascular Plants",NA,"","V170056","","","[locality and coordinates withheld; status in British Columbia: S3 (Rare, Blue List; BCCDC)]","PreservedSpecimen","Blechnaceae","Woodwardia fimbriata","Woodwardia fimbriata",NA,"Woodwardia","","fimbriata",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","N",NA,"Population of 28 plants. Conservation Status:CDC: Blue.","","","N","N",NA,"Judy Jamison","766","",20,8,1997,"20/08/1997","Canada","British Columbia","Gulf Islands","[Locality and coordinates withheld]","","60 m",60,NA,"","",NA,"","","","","",""
"132",828490,"RBCM:Botany:V170057","V","Vascular Plants",NA,"","V170057","","","[locality and coordinates withheld; status in British Columbia: S3 (Rare, Blue List; BCCDC)]","PreservedSpecimen","Blechnaceae","Woodwardia fimbriata","Woodwardia fimbriata",NA,"Woodwardia","","fimbriata",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","N",NA,"Population of circa 120 plants in 200 m long bands on both sides of the road. Conservation Status:CDC: Blue.","","","N","N",NA,"Judy Jamison","769","",23,8,1997,"23/08/1997","Canada","British Columbia","Gulf Islands","[Locality and coordinates withheld]","","275 m",275,NA,"","",NA,"","","","","",""
"133",828491,"RBCM:Botany:V170058","V","Vascular Plants",NA,"","V170058","","","[locality and coordinates withheld; status in British Columbia: S3 (Rare, Blue List; BCCDC)]","PreservedSpecimen","Blechnaceae","Woodwardia fimbriata","Woodwardia fimbriata",NA,"Woodwardia","","fimbriata",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","N",NA,"Population of circa 25 plants over 20 sq. m. Conservation Status:CDC: Blue.","","","N","N",NA,"Judy Jamison","770","",23,8,1997,"23/08/1997","Canada","British Columbia","Gulf Islands","[Locality and coordinates withheld]","","225 m",225,NA,"","",NA,"","","","","",""
"134",828910,"RBCM:Botany:V170464","V","Vascular Plants",NA,"","V170464","","","","PreservedSpecimen","Asteraceae","Agoseris heterophylla","Agoseris heterophylla",NA,"Agoseris","","heterophylla",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","N",NA,"Population of 500+ plants; slope:30-60%; aspect: 210 S. Conservation Status:CDC: Not Listed.","","","N","N",NA,"Harvey Janszen","2732","Pam Janszen; Marie Fontaine",21,6,1997,"21/06/1997","Canada","British Columbia","Gulf Islands","Texada Island; Surprise Mountain: S slope of mountain.","","325 m",325,NA,"","49.716667",-124.583333,"Y","","","","Gazetteer of Canada: British Columbia, 1985",""
"135",828911,"RBCM:Botany:V170465","V","Vascular Plants",NA,"","V170465","","","","PreservedSpecimen","Asparagaceae","Triteleia hyacinthina","Triteleia hyacinthina",NA,"Triteleia","","hyacinthina",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","N",NA,"Slope:30-60%; aspect: 210 S. Conservation Status:CDC: Not Listed.","","","N","N",NA,"Harvey Janszen","2731","Pam Janszen; Marie Fontaine",21,6,1997,"21/06/1997","Canada","British Columbia","Gulf Islands","Texada Island; Surprise Mountain: S slope of mountain.","","325 m",325,NA,"","49.716667",-124.583333,"Y","","","","Gazetteer of Canada: British Columbia, 1985",""
"136",829191,"RBCM:Botany:V170746","V","Vascular Plants",NA,"","V170746","","","[locality and coordinates withheld; status in British Columbia: S3 (Rare, Blue List; BCCDC)]","PreservedSpecimen","Asteraceae","Packera macounii","Senecio macounii",NA,"Senecio","","macounii",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","N",NA,"Population of1000+ plants; slope:30-120% aspect: 210 S. Conservation Status:CDC: Blue.","","","N","N",NA,"Harvey Janszen","2730","Pam Janszen; Marie Fontaine",21,6,1997,"21/06/1997","Canada","British Columbia","Gulf Islands","[Locality and coordinates withheld]","","325 m",325,NA,"","",NA,"","","","","",""
"137",829192,"RBCM:Botany:V170747","V","Vascular Plants",NA,"","V170747","","","","PreservedSpecimen","Fabaceae","Trifolium variegatum","Trifolium variegatum",NA,"Trifolium","","variegatum",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","N",NA,"Slope:30%; aspect: 210 S. Conservation Status:CDC: Not Listed.","","","N","N",NA,"Harvey Janszen","2729","Pam Janszen; Marie Fontaine",21,6,1997,"21/06/1997","Canada","British Columbia","Gulf Islands","[Locality and coordinates withheld]","","325 m",325,NA,"","",NA,"","","","","",""
"138",829193,"RBCM:Botany:V170748","V","Vascular Plants",NA,"","V170748","","","","PreservedSpecimen","Asteraceae","Madia exigua","Madia exigua",NA,"Madia","","exigua",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","N",NA,"Slope:30%; aspect: 210 S. Conservation Status:CDC: Not Listed.","","","N","N",NA,"Harvey Janszen","2728","Pam Janszen; Marie Fontaine",21,6,1997,"21/06/1997","Canada","British Columbia","Gulf Islands","Texada Island; Surprise Mountain: S slope of mountain.","","325 m",325,NA,"","49.716667",-124.583333,"Y","","","","Gazetteer of Canada: British Columbia, 1985",""
"139",829194,"RBCM:Botany:V170749","V","Vascular Plants",NA,"","V170749","","","","PreservedSpecimen","Fabaceae","Trifolium microdon","Trifolium microdon",NA,"Trifolium","","microdon",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","N",NA,"Slope: 60%; aspect: 210 S. Occasional with Trifolium microcephalum. Conservation Status:CDC: Not Listed.","","","N","N",NA,"Harvey Janszen","2727B","Pam Janszen; Marie Fontaine",21,6,1997,"21/06/1997","Canada","British Columbia","Gulf Islands","Texada Island; Surprise Mountain: S slope of mountain.","","325 m",325,NA,"","49.716667",-124.583333,"Y","","","","Gazetteer of Canada: British Columbia, 1985",""
"140",829195,"RBCM:Botany:V170750","V","Vascular Plants",NA,"","V170750","","","","PreservedSpecimen","Fabaceae","Trifolium microcephalum","Trifolium microcephalum",NA,"Trifolium","","microcephalum",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","N",NA,"Widespread on S face. Slope: 60%; aspect: 210 S Also with Aspidotis desa, Epilobium munitum & Panicum occidentale. Conservation Status:CDC: Not Listed.","","","N","N",NA,"Harvey Janszen","2727A","Pam Janszen; Marie Fontaine",21,6,1997,"21/06/1997","Canada","British Columbia","Gulf Islands","Texada Island; Surprise Mountain: S slope of mountain.","","325 m",325,NA,"","49.716667",-124.583333,"Y","","","","Gazetteer of Canada: British Columbia, 1985",""
"141",829196,"RBCM:Botany:V170751","V","Vascular Plants",NA,"","V170751","","","","PreservedSpecimen","Cyperaceae","Carex inops","Carex inops",NA,"Carex","","inops",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","N",NA,"Forming pure stands in seepy areas. Slope: 60%; aspect: 210 S. Conservation Status:CDC: Not Listed.","","","N","N",NA,"Harvey Janszen","2725","Pam Janszen; Marie Fontaine",21,6,1997,"21/06/1997","Canada","British Columbia","Gulf Islands","Texada Island; Surprise Mountain: S slope of mountain.","","325 m",325,NA,"","49.716667",-124.583333,"Y","","","","Gazetteer of Canada: British Columbia, 1985",""
"142",829197,"RBCM:Botany:V170752","V","Vascular Plants",NA,"","V170752","","","","PreservedSpecimen","Onagraceae","Epilobium brachycarpum","Epilobium brachycarpum",NA,"Epilobium","","brachycarpum",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","N",NA,"Found with Aspidotis densa, Epilobium munitum & Panicum occidentale. Conservation Status:CDC: Not Listed.","","","N","N",NA,"Harvey Janszen","2724","Pam Janszen; Marie Fontaine",21,6,1997,"21/06/1997","Canada","British Columbia","Gulf Islands","Texada Island; Surprise Mountain: S slope of mountain.","","325 m",325,NA,"","49.716667",-124.583333,"Y","","","","Gazetteer of Canada: British Columbia, 1985",""
"143",829198,"RBCM:Botany:V170753","V","Vascular Plants",NA,"","V170753","","","","PreservedSpecimen","Poaceae","Dichanthelium acuminatum ssp. fasciculatum","Dichanthelium acuminatum var. fasciculatum",NA,"Dichanthelium","","acuminatum",NA,"var.",NA,"fasciculatum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","N",NA,"Slope: 60%; aspect: 210 S Also with Aspidopsis desa & Epibolium munitum. Conservation Status:CDC: Not Listed.","","","N","N",NA,"Harvey Janszen","2723","Pam Janszen; Marie Fontaine",21,6,1997,"21/06/1997","Canada","British Columbia","Gulf Islands","Texada Island; Surprise Mountain: S slope of mountain.","","325 m",325,NA,"","49.716667",-124.583333,"Y","","","","Gazetteer of Canada: British Columbia",""
"144",829199,"RBCM:Botany:V170754","V","Vascular Plants",NA,"","V170754","","","","PreservedSpecimen","Onagraceae","Epilobium minutum","Epilobium minutum",NA,"Epilobium","","minutum",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","N",NA,"Slope: 60%; aspect: 210 S Also with Aspidotis densa & Panicum occidentale. Conservation Status:CDC: Not Listed.","","","N","N",NA,"Harvey Janszen","2722","Pam Janszen; Marie Fontaine",21,6,1997,"21/06/1997","Canada","British Columbia","Gulf Islands","Texada Island; Surprise Mountain: S slope of mountain.","","325 m",325,NA,"","49.716667",-124.583333,"Y","","","","Gazetteer of Canada: British Columbia, 1985",""
"145",829200,"RBCM:Botany:V170755","V","Vascular Plants",NA,"","V170755","","","","PreservedSpecimen","Pteridaceae","Aspidotis densa","Aspidotis densa",NA,"Aspidotis","","densa",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","N",NA,"Slope: 60%; aspect: 210 S. Also found with Epibolium minutu & Panicum occidentale. Conservation Status:CDC: Not Listed.","","","N","N",NA,"Harvey Janszen","2721","Pam Janszen; Marie Fontaine",21,6,1997,"21/06/1997","Canada","British Columbia","Gulf Islands","Texada Island; Surprise Mountain: S slope of mountain.","","325 m",325,NA,"","49.716667",-124.583333,"Y","","","","Gazetteer of Canada: British Columbia, 1985",""
"146",829201,"RBCM:Botany:V170756","V","Vascular Plants",NA,"","V170756","","","","PreservedSpecimen","Poaceae","Koeleria macrantha","Koeleria macrantha",NA,"Koeleria","","macrantha",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","N",NA,"Slope: 60%; aspect: 210 S. Also found with Aspidotis densa and Epilobium munitum. Conservation Status:CDC: Not Listed.","","","N","N",NA,"Harvey Janszen","2720","Pam Janszen; Marie Fontaine",21,6,1997,"21/06/1997","Canada","British Columbia","Gulf Islands","Texada Island; Surprise Mountain: S slope of mountain.","","325 m",325,NA,"","49.716667",-124.583333,"Y","","","","Gazetteer of Canada: British Columbia",""
"147",829202,"RBCM:Botany:V170757","V","Vascular Plants",NA,"","V170757","","","","PreservedSpecimen","Asteraceae","Artemisia suksdorfii","Artemisia suksdorfii",NA,"Artemisia","","suksdorfii",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","N",NA,"Slope: 80%; aspect: 210 S. Conservation Status:CDC: Not Listed.","","","N","N",NA,"Harvey Janszen","2719","Pam Janszen; Marie Fontaine",21,6,1997,"21/06/1997","Canada","British Columbia","Gulf Islands","Texada Island; Surprise Mountain: S slope of mountain.","","300 m",300,NA,"","49.716667",-124.566667,"Y","","","","Gazetteer of Canada: British Columbia, 1985",""
"148",829203,"RBCM:Botany:V170758","V","Vascular Plants",NA,"","V170758","","","","PreservedSpecimen","Orchidaceae","Platanthera dilatata var. dilatata","Platanthera dilatata var. dilatata",NA,"Platanthera","","dilatata",NA,"var.",NA,"dilatata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","N",NA,"Conservation Status:CDC: Not Listed.","","","N","N",NA,"Harvey Janszen","2718","Pam Janszen; Marie Fontaine",20,6,1997,"20/06/1997","Canada","British Columbia","Gulf Islands","Texada Island; Vananda: Gillies Bay Road, 5.4 kilometers SE of Vananda.","","110 m",110,NA,"","49.716667",-124.516667,"Y","","","","Gazetteer of Canada: British Columbia, 1985",""
"149",829204,"RBCM:Botany:V170759","V","Vascular Plants",NA,"","V170759","","","","PreservedSpecimen","Asteraceae","Centaurea gerstlaueri","Centaurea pratensis",NA,"Centaurea","","pratensis",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","N",NA,"Conservation Status:CDC: Not Listed.","","","N","N",NA,"Harvey Janszen","2717","Pam Janszen; Marie Fontaine",20,6,1997,"20/06/1997","Canada","British Columbia","Gulf Islands","","","3 m",3,NA,"","49.75",-124.55,"Y","","","","Gazetteer of Canada: British Columbia, 1985",""
"150",829212,"RBCM:Botany:V170767","V","Vascular Plants",NA,"","V170767","","","","PreservedSpecimen","Orchidaceae","Corallorhiza maculata","Corallorhiza maculata",NA,"Corallorhiza","","maculata",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","N",NA,"Slope: 10%, aspect: 200 S. Conservation Status:CDC: Not Listed.","","","N","N",NA,"Harvey Janszen","2709B","Pam Janszen; Marie Fontaine",20,6,1997,"20/06/1997","Canada","British Columbia","Gulf Islands","Texada Island; Vananda: Gillies Bay Road, 5.4 km SE of Vananda.","","110 m",110,NA,"","49.716667",-124.516667,"Y","","","","Gazetteer of Canada: British Columbia, 1985",""
"151",829214,"RBCM:Botany:V170769","V","Vascular Plants",NA,"","V170769","","","","PreservedSpecimen","Ericaceae","Pyrola picta","Pyrola picta",NA,"Pyrola","","picta",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","N",NA,"Conservation Status:CDC: Not Listed.","","","N","N",NA,"Harvey Janszen","2708","Pam Janszen; Marie Fontaine",20,6,1997,"20/06/1997","Canada","British Columbia","Gulf Islands","Texada Island; Vananda: Gillies Bay Road, 5.4 km SE of Vananda.","","110 m",110,NA,"","49.716667",-124.516667,"Y","","","","Gazetteer of Canada: British Columbia, 1985",""
"152",829215,"RBCM:Botany:V170770","V","Vascular Plants",NA,"","V170770","","","","PreservedSpecimen","Cyperaceae","Carex ovalis","Carex tracyi",NA,"Carex","","tracyi",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","N",NA,"Population of 500 plants. Also present Veronica peregrina and Epibolium hornemannii. Conservation Status:CDC: Not Listed.","","","N","N",NA,"Harvey Janszen","2788","Pam Janszen; Marie Fontaine",23,6,1997,"23/06/1997","Canada","British Columbia","Gulf Islands","Texada Island: Anderson Bay Road, 6 km S of Hydro Transmission Line Cut.","","600 m",600,NA,"","49.583333",-124.216667,"Y","","","","Gazetteer of Canada: British Columbia, 1985",""
"153",829216,"RBCM:Botany:V170771","V","Vascular Plants",NA,"","V170771","","","","PreservedSpecimen","Ranunculaceae","Ranunculus flammula","Ranunculus flammula",NA,"Ranunculus","","flammula",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","N",NA,"Abundant over 50 square meters. Also present Veronica peregrina and Epibolium hornemannii. Conservation Status:CDC: Not Listed.","","","N","N",NA,"Harvey Janszen","2789","Pam Janszen; Marie Fontaine",23,6,1997,"23/06/1997","Canada","British Columbia","Gulf Islands","Texada Island: Anderson Bay Road, 6 km S of Hydro Transmission Line Cut.","","600 m",600,NA,"","49.583333",-124.216667,"Y","","","","Gazetteer of Canada: British Columbia, 1985",""
"154",829217,"RBCM:Botany:V170772","V","Vascular Plants",NA,"","V170772","","","","PreservedSpecimen","Lycopodiaceae","Dendrolycopodium dendroideum","Lycopodium dendroideum",NA,"Lycopodium","","dendroideum",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","N",NA,"Conservation Status:CDC: Not Listed.","","","N","N",NA,"Harvey Janszen","2790","Pam Janszen; Marie Fontaine",23,6,1997,"23/06/1997","Canada","British Columbia","Gulf Islands","Texada Island: Anderson Bay Road, 6 km S of Hydro Transmission Line Cut.","","590 m",590,NA,"","49.583333",-124.266667,"Y","","","","Gazetteer of Canada: British Columbia, 1985",""
"155",829218,"RBCM:Botany:V170773","V","Vascular Plants",NA,"","V170773","","","","PreservedSpecimen","Plantaginaceae","Veronica peregrina","Veronica peregrina",NA,"Veronica","","peregrina",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","N",NA,"Population of 150 plants. Also present Carex tracyi and Epibolium hornemannii. Conservation Status:CDC: Not Listed.","","","N","N",NA,"Harvey Janszen","2787","Pam Janszen; Marie Fontaine",23,6,1997,"23/06/1997","Canada","British Columbia","Gulf Islands","Texada Island: Anderson Bay Road, 6 km S of Hydro Transmission Line Cut.","","600 m",600,NA,"","49.583333",-124.216667,"Y","","","","Gazetteer of Canada: British Columbia, 1985",""
"156",829219,"RBCM:Botany:V170774","V","Vascular Plants",NA,"","V170774","","","","PreservedSpecimen","Cornaceae","Cornus canadensis","Cornus canadensis",NA,"Cornus","","canadensis",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","N",NA,"Conservation Status:CDC: Not Listed.","","","N","N",NA,"Harvey Janszen","2791","Pam Janszen; Marie Fontaine",23,6,1997,"23/06/1997","Canada","British Columbia","Gulf Islands","Texada Island: Anderson Bay Road, at Angel Lake turnoff.","","590 m",590,NA,"","49.583333",-124.216667,"Y","","","","Gazetteer of Canada: British Columbia, 1985",""
"157",829220,"RBCM:Botany:V170775","V","Vascular Plants",NA,"","V170775","","","","PreservedSpecimen","Asteraceae","Packera indecora","Senecio indecorus",NA,"Senecio","","indecorus",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","N",NA,"Widespread in wetlands above 300 m on texada Island. Conservation Status:CDC: Not Listed.","","","N","N",NA,"Harvey Janszen","2792","Pam Janszen; Marie Fontaine",23,6,1997,"23/06/1997","Canada","British Columbia","Gulf Islands","Texada Island: Anderson Bay Road, at Angel Lake turnoff.","","590 m",590,NA,"","49.583333",-124.216667,"Y","","","","Gazetteer of Canada: British Columbia, 1985",""
"158",829221,"RBCM:Botany:V170776","V","Vascular Plants",NA,"","V170776","","","","PreservedSpecimen","Rubiaceae","Galium trifidum","Galium trifidum ssp. subbiflorum",NA,"Galium","","trifidum",NA,"ssp.",NA,"subbiflorum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","N",NA,"Conservation Status:CDC: Not Listed.","","","N","N",NA,"Harvey Janszen","2786B","Pam Janszen; Marie Fontaine",23,6,1997,"23/06/1997","Canada","British Columbia","Gulf Islands","Texada Island: Anderson Bay Road, 7.9 km S of Hydro Transmission Line Cut.","","600 m",600,NA,"","49.583333",-124.216667,"Y","","","","Gazetteer of Canada: British Columbia, 1985",""
"159",829222,"RBCM:Botany:V170777","V","Vascular Plants",NA,"","V170777","","","","PreservedSpecimen","Plantaginaceae","Veronica officinalis","Veronica officinalis",NA,"Veronica","","officinalis",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","N",NA,"Conservation Status:CDC: Not Listed.","","","N","N",NA,"Harvey Janszen","2781","Pam Janszen; Marie Fontaine",23,6,1997,"23/06/1997","Canada","British Columbia","Gulf Islands","Texada Island: Anderson Bay Road, 7.9 km S of Hydro Transmission Line Cut.","","625 m",625,NA,"","49.566667",-124.266667,"Y","","","","Gazetteer of Canada: British Columbia, 1985",""
"160",829223,"RBCM:Botany:V170778","V","Vascular Plants",NA,"","V170778","","","","PreservedSpecimen","Cyperaceae","Carex limosa","Carex limosa",NA,"Carex","","limosa",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","N",NA,"> 100 clumps. With Carex leptalea, Drosera rotundifolia, Oxycoccus oxycoccus & Tofieldia gluenosa. Conservation Status:CDC: Not Listed.","","","N","N",NA,"Harvey Janszen","2780","Pam Janszen; Marie Fontaine",23,6,1997,"23/06/1997","Canada","British Columbia","Gulf Islands","Texada Island: Anderson Bay Road, 7.9 km S of Hydro Transmission Line Cut.","","625 m",625,NA,"","49.566667",-124.266667,"Y","","","","Gazetteer of Canada: British Columbia, 1985",""
"161",829224,"RBCM:Botany:V170779","V","Vascular Plants",NA,"","V170779","","","","PreservedSpecimen","Cyperaceae","Carex brunnescens","Carex brunnescens",NA,"Carex","","brunnescens",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","N",NA,">500 clumps. With Carex leptalia, Drosers rotndifolia, Oxycoccus oxycoccus, and Tofieldia glutinosa. Conservation Status:CDC: Not Listed.","","","N","N",NA,"Harvey Janszen","2779","Pam Janszen; Marie Fontaine",23,6,1997,"23/06/1997","Canada","British Columbia","Gulf Islands","Texada Island: Anderson Bay Road, 7.9 km S of Hydro Transmission Line Cut.","","590 m",590,NA,"","49.566667",-124.266667,"Y","","","","Gazetteer of Canada: British Columbia, 1985",""
"162",829225,"RBCM:Botany:V170780","V","Vascular Plants",NA,"","V170780","","","","PreservedSpecimen","Poaceae","Agrostis exarata","Agrostis exarata",NA,"Agrostis","","exarata",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","N",NA,"Conservation Status:CDC: Not Listed.","","","N","N",NA,"Harvey Janszen","2775","Pam Janszen; Marie Fontaine",22,6,1997,"22/06/1997","Canada","British Columbia","Gulf Islands","Texada Island: E road to Pocahontas Ridge.","","410 m",410,NA,"","49.7",-124.433333,"Y","","","","",""
"163",829226,"RBCM:Botany:V170781","V","Vascular Plants",NA,"","V170781","","","","PreservedSpecimen","Woodsiaceae","Woodsia oregana","Woodsia oregana",NA,"Woodsia","","oregana",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","N",NA,"Slope: 80% aspect: 80 E. Also with Saxifraga ferruginea & Heuchera micrantha. Conservation Status:CDC: Not Listed.","","","N","N",NA,"Harvey Janszen","2776","Pam Janszen; Marie Fontaine",22,6,1997,"22/06/1997","Canada","British Columbia","Gulf Islands","Texada Island: At old fire lookout tower on N peak of Pocahontas Ridge.","","590 m",590,NA,"","49.7",-124.433333,"Y","","","","Gazetteer of Canada: British Columbia, 1985",""
"164",829227,"RBCM:Botany:V170782","V","Vascular Plants",NA,"","V170782","","","","PreservedSpecimen","Primulaceae","Lysimachia europaea","Trientalis arctica",NA,"Trientalis","","arctica",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","N",NA,"Conservation Status:CDC: Not Listed.","","","N","N",NA,"Harvey Janszen","2777","Pam Janszen; Marie Fontaine",23,6,1997,"23/06/1997","Canada","British Columbia","Gulf Islands","Texada Island: Anderson Bay Road, 4.3 km S of the Hydro Transmission Line Cut.","","610 m",610,NA,"","49.6",-124.266667,"Y","","","","Gazetteer of Canada: British Columbia, 1985",""
"165",829228,"RBCM:Botany:V170783","V","Vascular Plants",NA,"","V170783","","","","PreservedSpecimen","Cystopteridaceae","Gymnocarpium disjunctum","Gymnocarpium disjunctum",NA,"Gymnocarpium","","disjunctum",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","N",NA,"Conservation Status:CDC: Not Listed.","","","N","N",NA,"Harvey Janszen","2778","Pam Janszen; Marie Fontaine",23,6,1997,"23/06/1997","Canada","British Columbia","Gulf Islands","Texada Island: Anderson Bay Road, 4.3 km S of the Hydro Transmission Line Cut.","","610 m",610,NA,"","49.6",-124.266667,"Y","","","","Gazetteer of Canada: British Columbia, 1985",""
"166",829229,"RBCM:Botany:V170784","V","Vascular Plants",NA,"","V170784","","","","PreservedSpecimen","Pteridaceae","Cryptogramma acrostichoides","Cryptogramma acrostichoides",NA,"Cryptogramma","","acrostichoides",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","N",NA,"Single clump. Slope: 80%, aspect: 80 E. also with Heuchera micrantha & Woodsia oregana. Conservation Status:CDC: Not Listed.","","","N","N",NA,"Harvey Janszen","2774","Pam Janszen; Marie Fontaine",22,6,1997,"22/06/1997","Canada","British Columbia","Gulf Islands","Texada Island: At old fire lookout tower on N peak of Pochahontas Ridge.","","590 m",590,NA,"","49.7",-124.433333,"Y","","","","Gazetteer of Canada: British Columbia, 1985",""
"167",829230,"RBCM:Botany:V170785","V","Vascular Plants",NA,"","V170785","","","","PreservedSpecimen","Cupressaceae","Juniperus communis","Juniperus communis",NA,"Juniperus","","communis",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","N",NA,"Slope: 50%, Aspect: 240 SW. Found with Senicio macounii and Digitalis purpurea. Conservation Status:CDC: Not Listed.","","","N","N",NA,"Harvey Janszen","2773","Pam Janszen; Marie Fontaine",22,6,1997,"22/06/1997","Canada","British Columbia","Gulf Islands","Texada Island: At old fire lookout tower on N peak of Pocahontas Ridge.","","480 m",480,NA,"","49.7",-124.433333,"Y","","","","Gazetteer of Canada: British Columbia, 1985",""
"168",829231,"RBCM:Botany:V170786","V","Vascular Plants",NA,"","V170786","","","","PreservedSpecimen","Ericaceae","Arctostaphylos columbiana","Arctostaphylos columbiana",NA,"Arctostaphylos","","columbiana",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","N",NA,"10 plants. Slope: 50%, Aspect: 240 SW. Found with Juniperus communis, Senicio macounii and Digitalis purpurea. Conservation Status:CDC: Not Listed.","","","N","N",NA,"Harvey Janszen","2772","Pam Janszen; Marie Fontaine",22,6,1997,"22/06/1997","Canada","British Columbia","Gulf Islands","Texada Island: At old fire lookout tower on N peak of Pocahontas Ridge.","","480 m",480,NA,"","49.7",-124.433333,"Y","","","","Gazetteer of Canada: British Columbia, 1985",""
