"scientificName","taxonID","institutionCode","collectionCode","catalogNumber","occurrenceID","materialSampleID","references","recordedBy","recordNumber","gbifID","fieldNumber","eventDate","locality","coordinateUncertaintyInMeters","habitat","verbatimDepth","samplingProtocol","occurrenceRemarks","individualCount","identifiedBy","iNaturalistTaxonId","iNaturalistTaxonName","decimalLatitude","decimalLongitude","dataset"
Chaetoceros affinis,423795,,,,MGYA00590891_Eukaryota::Bacillariophyta:Coscinodiscophyceae:Chaetocerotales:Chaetocerotaceae:Chaetoceros:Chaetoceros_affinis,https://www.ebi.ac.uk/metagenomics/samples/SRS2340154,,,,3910345814,,2012-08-01,"Saanich Inlet, Vancouver Island, BC",,,,,,,,423795,Chaetoceros affinis,48.35,-123.3,
Chaetoceros affinis,423795,iNaturalist,,4876445,https://www.inaturalist.org/observations/4876445,,,"Mark Webber",,,,2004-07-28,,,,,,,,,423795,Chaetoceros affinis,48.994691,-123.585083,1
Chaetoceros brevis,411125,,,,MGYA00591350_Eukaryota::Bacillariophyta:Coscinodiscophyceae:Chaetocerotales:Chaetocerotaceae:Chaetoceros:Chaetoceros_brevis,https://www.ebi.ac.uk/metagenomics/samples/SRS2340146,,,,3910497813,,2012-08-27,"Saanich Inlet, Vancouver Island, BC",,,,,,,,411125,Chaetoceros brevis,48.35,-123.3,
Chaetoceros brevis,411125,,,,MGYA00591352_Eukaryota::Bacillariophyta:Coscinodiscophyceae:Chaetocerotales:Chaetocerotaceae:Chaetoceros:Chaetoceros_brevis,https://www.ebi.ac.uk/metagenomics/samples/SRS2340148,,,,3910493769,,2012-08-27,"Saanich Inlet, Vancouver Island, BC",,,,,,,,411125,Chaetoceros brevis,48.35,-123.3,
Chaetoceros brevis,411125,,,,MGYA00591330_Eukaryota::Bacillariophyta:Coscinodiscophyceae:Chaetocerotales:Chaetocerotaceae:Chaetoceros:Chaetoceros_brevis,https://www.ebi.ac.uk/metagenomics/samples/SRS2340121,,,,3910493767,,2012-08-27,"Saanich Inlet, Vancouver Island, BC",,,,,,,,411125,Chaetoceros brevis,48.35,-123.3,
Chaetoceros brevis,411125,,,,MGYA00590876_Eukaryota::Bacillariophyta:Coscinodiscophyceae:Chaetocerotales:Chaetocerotaceae:Chaetoceros:Chaetoceros_brevis,https://www.ebi.ac.uk/metagenomics/samples/SRS2340158,,,,3910493757,,2012-08-01,"Saanich Inlet, Vancouver Island, BC",,,,,,,,411125,Chaetoceros brevis,48.35,-123.3,
Chaetoceros brevis,411125,,,,MGYA00591331_Eukaryota::Bacillariophyta:Coscinodiscophyceae:Chaetocerotales:Chaetocerotaceae:Chaetoceros:Chaetoceros_brevis,https://www.ebi.ac.uk/metagenomics/samples/SRS2340122,,,,3910492919,,2012-08-27,"Saanich Inlet, Vancouver Island, BC",,,,,,,,411125,Chaetoceros brevis,48.35,-123.3,
Chaetoceros brevis,411125,,,,MGYA00590891_Eukaryota::Bacillariophyta:Coscinodiscophyceae:Chaetocerotales:Chaetocerotaceae:Chaetoceros:Chaetoceros_brevis,https://www.ebi.ac.uk/metagenomics/samples/SRS2340154,,,,3910492909,,2012-08-01,"Saanich Inlet, Vancouver Island, BC",,,,,,,,411125,Chaetoceros brevis,48.35,-123.3,
Chaetoceros brevis,411125,,,,MGYA00591332_Eukaryota::Bacillariophyta:Coscinodiscophyceae:Chaetocerotales:Chaetocerotaceae:Chaetoceros:Chaetoceros_brevis,https://www.ebi.ac.uk/metagenomics/samples/SRS2340124,,,,3910355715,,2012-08-27,"Saanich Inlet, Vancouver Island, BC",,,,,,,,411125,Chaetoceros brevis,48.35,-123.3,
Chaetoceros brevis,411125,,,,MGYA00591357_Eukaryota::Bacillariophyta:Coscinodiscophyceae:Chaetocerotales:Chaetocerotaceae:Chaetoceros:Chaetoceros_brevis,https://www.ebi.ac.uk/metagenomics/samples/SRS2340155,,,,3910351887,,2012-08-01,"Saanich Inlet, Vancouver Island, BC",,,,,,,,411125,Chaetoceros brevis,48.35,-123.3,
Chaetoceros brevis,411125,,,,MGYA00591355_Eukaryota::Bacillariophyta:Coscinodiscophyceae:Chaetocerotales:Chaetocerotaceae:Chaetoceros:Chaetoceros_brevis,https://www.ebi.ac.uk/metagenomics/samples/SRS2340152,,,,3910347765,,2012-08-27,"Saanich Inlet, Vancouver Island, BC",,,,,,,,411125,Chaetoceros brevis,48.35,-123.3,
Chaetoceros brevis,411125,,,,MGYA00590868_Eukaryota::Bacillariophyta:Coscinodiscophyceae:Chaetocerotales:Chaetocerotaceae:Chaetoceros:Chaetoceros_brevis,https://www.ebi.ac.uk/metagenomics/samples/SRS2340157,,,,3910347750,,2012-08-01,"Saanich Inlet, Vancouver Island, BC",,,,,,,,411125,Chaetoceros brevis,48.35,-123.3,
Chaetoceros ceratosporus,988734,Hakai,,,Hakai_phyto_QU39_2017-11-16_1m_1,,,,,4880035414,,2017-11-16,,,,,"Edler, L., and Elbrächter, M. (2010). The utermöhl method for quantitative phytoplankton analysis, in Microscopic and Molecular Methods for Quantitative Phytoplankton Analysis, eds B. Karlson, C. Cusack, and E. Bresnan (Paris:UNESCO), 13–20., https://repository.oceanbestpractices.org/bitstream/handle/11329/303/WKNCT_Handbook_ver5May2010_2.pdf?sequence=1#page=17",,,Louis Hobson,988734,Chaetoceros ceratosporus,50.0307,-125.0992,
Chaetoceros ceratosporus,988734,Hakai,,,Hakai_phyto_QU39_2020-09-01_5m_3,,,,,4880035071,,2020-09-01,,,,,"Edler, L., and Elbrächter, M. (2010). The utermöhl method for quantitative phytoplankton analysis, in Microscopic and Molecular Methods for Quantitative Phytoplankton Analysis, eds B. Karlson, C. Cusack, and E. Bresnan (Paris:UNESCO), 13–20., https://repository.oceanbestpractices.org/bitstream/handle/11329/303/WKNCT_Handbook_ver5May2010_2.pdf?sequence=1#page=17",,,Louis Hobson,988734,Chaetoceros ceratosporus,50.0307,-125.0992,
Chaetoceros ceratosporus,988734,Hakai,,,Hakai_phyto_QU39_2019-03-12_1m_1,,,,,4880034460,,2019-03-12,,,,,"Edler, L., and Elbrächter, M. (2010). The utermöhl method for quantitative phytoplankton analysis, in Microscopic and Molecular Methods for Quantitative Phytoplankton Analysis, eds B. Karlson, C. Cusack, and E. Bresnan (Paris:UNESCO), 13–20., https://repository.oceanbestpractices.org/bitstream/handle/11329/303/WKNCT_Handbook_ver5May2010_2.pdf?sequence=1#page=17",,,Louis Hobson,988734,Chaetoceros ceratosporus,50.0307,-125.0992,
Chaetoceros ceratosporus,988734,Hakai,,,Hakai_phyto_QU39_2019-05-02_5m_1,,,,,4880034448,,2019-05-02,,,,,"Edler, L., and Elbrächter, M. (2010). The utermöhl method for quantitative phytoplankton analysis, in Microscopic and Molecular Methods for Quantitative Phytoplankton Analysis, eds B. Karlson, C. Cusack, and E. Bresnan (Paris:UNESCO), 13–20., https://repository.oceanbestpractices.org/bitstream/handle/11329/303/WKNCT_Handbook_ver5May2010_2.pdf?sequence=1#page=17",,,Louis Hobson,988734,Chaetoceros ceratosporus,50.0307,-125.0992,
Chaetoceros ceratosporus,988734,Hakai,,,Hakai_phyto_QU39_2016-03-29_1m_1,,,,,4880034400,,2016-03-29,,,,,"Edler, L., and Elbrächter, M. (2010). The utermöhl method for quantitative phytoplankton analysis, in Microscopic and Molecular Methods for Quantitative Phytoplankton Analysis, eds B. Karlson, C. Cusack, and E. Bresnan (Paris:UNESCO), 13–20., https://repository.oceanbestpractices.org/bitstream/handle/11329/303/WKNCT_Handbook_ver5May2010_2.pdf?sequence=1#page=17",,,Louis Hobson,988734,Chaetoceros ceratosporus,50.0307,-125.0992,
Chaetoceros ceratosporus,988734,Hakai,,,Hakai_phyto_QU39_2020-06-11_5m_1,,,,,4880033816,,2020-06-11,,,,,"Edler, L., and Elbrächter, M. (2010). The utermöhl method for quantitative phytoplankton analysis, in Microscopic and Molecular Methods for Quantitative Phytoplankton Analysis, eds B. Karlson, C. Cusack, and E. Bresnan (Paris:UNESCO), 13–20., https://repository.oceanbestpractices.org/bitstream/handle/11329/303/WKNCT_Handbook_ver5May2010_2.pdf?sequence=1#page=17",,,Louis Hobson,988734,Chaetoceros ceratosporus,50.0307,-125.0992,
Chaetoceros ceratosporus,988734,Hakai,,,Hakai_phyto_QU39_2021-11-10_5m_1,,,,,4880033607,,2021-11-10,,,,,"Edler, L., and Elbrächter, M. (2010). The utermöhl method for quantitative phytoplankton analysis, in Microscopic and Molecular Methods for Quantitative Phytoplankton Analysis, eds B. Karlson, C. Cusack, and E. Bresnan (Paris:UNESCO), 13–20., https://repository.oceanbestpractices.org/bitstream/handle/11329/303/WKNCT_Handbook_ver5May2010_2.pdf?sequence=1#page=17",,,Louis Hobson,988734,Chaetoceros ceratosporus,50.0307,-125.0992,
Chaetoceros ceratosporus,988734,Hakai,,,Hakai_phyto_QU39_2021-08-03_5m_3,,,,,4880033520,,2021-08-03,,,,,"Edler, L., and Elbrächter, M. (2010). The utermöhl method for quantitative phytoplankton analysis, in Microscopic and Molecular Methods for Quantitative Phytoplankton Analysis, eds B. Karlson, C. Cusack, and E. Bresnan (Paris:UNESCO), 13–20., https://repository.oceanbestpractices.org/bitstream/handle/11329/303/WKNCT_Handbook_ver5May2010_2.pdf?sequence=1#page=17",,,Louis Hobson,988734,Chaetoceros ceratosporus,50.0307,-125.0992,
Chaetoceros ceratosporus,988734,Hakai,,,Hakai_phyto_QU39_2017-04-07_1m_3,,,,,4880033393,,2017-04-07,,,,,"Edler, L., and Elbrächter, M. (2010). The utermöhl method for quantitative phytoplankton analysis, in Microscopic and Molecular Methods for Quantitative Phytoplankton Analysis, eds B. Karlson, C. Cusack, and E. Bresnan (Paris:UNESCO), 13–20., https://repository.oceanbestpractices.org/bitstream/handle/11329/303/WKNCT_Handbook_ver5May2010_2.pdf?sequence=1#page=17",,,Louis Hobson,988734,Chaetoceros ceratosporus,50.0307,-125.0992,
Chaetoceros ceratosporus,988734,Hakai,,,Hakai_phyto_QU39_2021-06-15_5m_1,,,,,4880033126,,2021-06-15,,,,,"Edler, L., and Elbrächter, M. (2010). The utermöhl method for quantitative phytoplankton analysis, in Microscopic and Molecular Methods for Quantitative Phytoplankton Analysis, eds B. Karlson, C. Cusack, and E. Bresnan (Paris:UNESCO), 13–20., https://repository.oceanbestpractices.org/bitstream/handle/11329/303/WKNCT_Handbook_ver5May2010_2.pdf?sequence=1#page=17",,,Louis Hobson,988734,Chaetoceros ceratosporus,50.0307,-125.0992,
Chaetoceros ceratosporus,988734,Hakai,,,Hakai_phyto_QU39_2019-02-26_1m_1,,,,,4880032825,,2019-02-26,,,,,"Edler, L., and Elbrächter, M. (2010). The utermöhl method for quantitative phytoplankton analysis, in Microscopic and Molecular Methods for Quantitative Phytoplankton Analysis, eds B. Karlson, C. Cusack, and E. Bresnan (Paris:UNESCO), 13–20., https://repository.oceanbestpractices.org/bitstream/handle/11329/303/WKNCT_Handbook_ver5May2010_2.pdf?sequence=1#page=17",,,Louis Hobson,988734,Chaetoceros ceratosporus,50.0307,-125.0992,
Chaetoceros ceratosporus,988734,Hakai,,,Hakai_phyto_QU39_2017-07-11_1m_2,,,,,4880032648,,2017-07-11,,,,,"Edler, L., and Elbrächter, M. (2010). The utermöhl method for quantitative phytoplankton analysis, in Microscopic and Molecular Methods for Quantitative Phytoplankton Analysis, eds B. Karlson, C. Cusack, and E. Bresnan (Paris:UNESCO), 13–20., https://repository.oceanbestpractices.org/bitstream/handle/11329/303/WKNCT_Handbook_ver5May2010_2.pdf?sequence=1#page=17",,,Louis Hobson,988734,Chaetoceros ceratosporus,50.0307,-125.0992,
Chaetoceros ceratosporus,988734,Hakai,,,Hakai_phyto_QU39_2020-03-18_5m_1,,,,,4880032641,,2020-03-18,,,,,"Edler, L., and Elbrächter, M. (2010). The utermöhl method for quantitative phytoplankton analysis, in Microscopic and Molecular Methods for Quantitative Phytoplankton Analysis, eds B. Karlson, C. Cusack, and E. Bresnan (Paris:UNESCO), 13–20., https://repository.oceanbestpractices.org/bitstream/handle/11329/303/WKNCT_Handbook_ver5May2010_2.pdf?sequence=1#page=17",,,Louis Hobson,988734,Chaetoceros ceratosporus,50.0307,-125.0992,
Chaetoceros ceratosporus,988734,Hakai,,,Hakai_phyto_QU39_2017-07-07_1m_1,,,,,4880032309,,2017-07-07,,,,,"Edler, L., and Elbrächter, M. (2010). The utermöhl method for quantitative phytoplankton analysis, in Microscopic and Molecular Methods for Quantitative Phytoplankton Analysis, eds B. Karlson, C. Cusack, and E. Bresnan (Paris:UNESCO), 13–20., https://repository.oceanbestpractices.org/bitstream/handle/11329/303/WKNCT_Handbook_ver5May2010_2.pdf?sequence=1#page=17",,,Louis Hobson,988734,Chaetoceros ceratosporus,50.0307,-125.0992,
Chaetoceros ceratosporus,988734,Hakai,,,Hakai_phyto_QU39_2021-04-14_5m_3,,,,,4880032224,,2021-04-14,,,,,"Edler, L., and Elbrächter, M. (2010). The utermöhl method for quantitative phytoplankton analysis, in Microscopic and Molecular Methods for Quantitative Phytoplankton Analysis, eds B. Karlson, C. Cusack, and E. Bresnan (Paris:UNESCO), 13–20., https://repository.oceanbestpractices.org/bitstream/handle/11329/303/WKNCT_Handbook_ver5May2010_2.pdf?sequence=1#page=17",,,Louis Hobson,988734,Chaetoceros ceratosporus,50.0307,-125.0992,
Chaetoceros ceratosporus,988734,Hakai,,,Hakai_phyto_QU39_2017-05-29_1m_1,,,,,4880031847,,2017-05-29,,,,,"Edler, L., and Elbrächter, M. (2010). The utermöhl method for quantitative phytoplankton analysis, in Microscopic and Molecular Methods for Quantitative Phytoplankton Analysis, eds B. Karlson, C. Cusack, and E. Bresnan (Paris:UNESCO), 13–20., https://repository.oceanbestpractices.org/bitstream/handle/11329/303/WKNCT_Handbook_ver5May2010_2.pdf?sequence=1#page=17",,,Louis Hobson,988734,Chaetoceros ceratosporus,50.0307,-125.0992,
Chaetoceros ceratosporus,988734,Hakai,,,Hakai_phyto_QU39_2018-04-17_1m_4,,,,,4880031004,,2018-04-17,,,,,"Edler, L., and Elbrächter, M. (2010). The utermöhl method for quantitative phytoplankton analysis, in Microscopic and Molecular Methods for Quantitative Phytoplankton Analysis, eds B. Karlson, C. Cusack, and E. Bresnan (Paris:UNESCO), 13–20., https://repository.oceanbestpractices.org/bitstream/handle/11329/303/WKNCT_Handbook_ver5May2010_2.pdf?sequence=1#page=17",,,Louis Hobson,988734,Chaetoceros ceratosporus,50.0307,-125.0992,
Chaetoceros ceratosporus,988734,Hakai,,,Hakai_phyto_QU39_2020-08-19_5m_3,,,,,4880028991,,2020-08-19,,,,,"Edler, L., and Elbrächter, M. (2010). The utermöhl method for quantitative phytoplankton analysis, in Microscopic and Molecular Methods for Quantitative Phytoplankton Analysis, eds B. Karlson, C. Cusack, and E. Bresnan (Paris:UNESCO), 13–20., https://repository.oceanbestpractices.org/bitstream/handle/11329/303/WKNCT_Handbook_ver5May2010_2.pdf?sequence=1#page=17",,,Louis Hobson,988734,Chaetoceros ceratosporus,50.0307,-125.0992,
Chaetoceros ceratosporus,988734,Hakai,,,Hakai_phyto_QU39_2021-02-23_5m_4,,,,,4880028954,,2021-02-23,,,,,"Edler, L., and Elbrächter, M. (2010). The utermöhl method for quantitative phytoplankton analysis, in Microscopic and Molecular Methods for Quantitative Phytoplankton Analysis, eds B. Karlson, C. Cusack, and E. Bresnan (Paris:UNESCO), 13–20., https://repository.oceanbestpractices.org/bitstream/handle/11329/303/WKNCT_Handbook_ver5May2010_2.pdf?sequence=1#page=17",,,Louis Hobson,988734,Chaetoceros ceratosporus,50.0307,-125.0992,
Chaetoceros ceratosporus,988734,Hakai,,,Hakai_phyto_QU39_2021-07-20_5m_1,,,,,4880028783,,2021-07-20,,,,,"Edler, L., and Elbrächter, M. (2010). The utermöhl method for quantitative phytoplankton analysis, in Microscopic and Molecular Methods for Quantitative Phytoplankton Analysis, eds B. Karlson, C. Cusack, and E. Bresnan (Paris:UNESCO), 13–20., https://repository.oceanbestpractices.org/bitstream/handle/11329/303/WKNCT_Handbook_ver5May2010_2.pdf?sequence=1#page=17",,,Louis Hobson,988734,Chaetoceros ceratosporus,50.0307,-125.0992,
Chaetoceros ceratosporus,988734,Hakai,,,Hakai_phyto_QU39_2019-03-20_1m_1,,,,,4880027894,,2019-03-20,,,,,"Edler, L., and Elbrächter, M. (2010). The utermöhl method for quantitative phytoplankton analysis, in Microscopic and Molecular Methods for Quantitative Phytoplankton Analysis, eds B. Karlson, C. Cusack, and E. Bresnan (Paris:UNESCO), 13–20., https://repository.oceanbestpractices.org/bitstream/handle/11329/303/WKNCT_Handbook_ver5May2010_2.pdf?sequence=1#page=17",,,Louis Hobson,988734,Chaetoceros ceratosporus,50.0307,-125.0992,
Chaetoceros ceratosporus,988734,Hakai,,,Hakai_phyto_QU39_2017-06-05_1m_2,,,,,4880027312,,2017-06-05,,,,,"Edler, L., and Elbrächter, M. (2010). The utermöhl method for quantitative phytoplankton analysis, in Microscopic and Molecular Methods for Quantitative Phytoplankton Analysis, eds B. Karlson, C. Cusack, and E. Bresnan (Paris:UNESCO), 13–20., https://repository.oceanbestpractices.org/bitstream/handle/11329/303/WKNCT_Handbook_ver5May2010_2.pdf?sequence=1#page=17",,,Louis Hobson,988734,Chaetoceros ceratosporus,50.0307,-125.0992,
Chaetoceros ceratosporus,988734,Hakai,,,Hakai_phyto_QU39_2017-03-30_1m_3,,,,,4880026928,,2017-03-30,,,,,"Edler, L., and Elbrächter, M. (2010). The utermöhl method for quantitative phytoplankton analysis, in Microscopic and Molecular Methods for Quantitative Phytoplankton Analysis, eds B. Karlson, C. Cusack, and E. Bresnan (Paris:UNESCO), 13–20., https://repository.oceanbestpractices.org/bitstream/handle/11329/303/WKNCT_Handbook_ver5May2010_2.pdf?sequence=1#page=17",,,Louis Hobson,988734,Chaetoceros ceratosporus,50.0307,-125.0992,
Chaetoceros ceratosporus,988734,Hakai,,,Hakai_phyto_QU39_2021-11-26_5m_1,,,,,4880026376,,2021-11-26,,,,,"Edler, L., and Elbrächter, M. (2010). The utermöhl method for quantitative phytoplankton analysis, in Microscopic and Molecular Methods for Quantitative Phytoplankton Analysis, eds B. Karlson, C. Cusack, and E. Bresnan (Paris:UNESCO), 13–20., https://repository.oceanbestpractices.org/bitstream/handle/11329/303/WKNCT_Handbook_ver5May2010_2.pdf?sequence=1#page=17",,,Louis Hobson,988734,Chaetoceros ceratosporus,50.0307,-125.0992,
Chaetoceros ceratosporus,988734,Hakai,,,Hakai_phyto_QU39_2018-03-20_1m_1,,,,,4880026351,,2018-03-20,,,,,"Edler, L., and Elbrächter, M. (2010). The utermöhl method for quantitative phytoplankton analysis, in Microscopic and Molecular Methods for Quantitative Phytoplankton Analysis, eds B. Karlson, C. Cusack, and E. Bresnan (Paris:UNESCO), 13–20., https://repository.oceanbestpractices.org/bitstream/handle/11329/303/WKNCT_Handbook_ver5May2010_2.pdf?sequence=1#page=17",,,Louis Hobson,988734,Chaetoceros ceratosporus,50.0307,-125.0992,
Chaetoceros ceratosporus,988734,Hakai,,,Hakai_phyto_QU39_2017-04-11_1m_3,,,,,4880025760,,2017-04-11,,,,,"Edler, L., and Elbrächter, M. (2010). The utermöhl method for quantitative phytoplankton analysis, in Microscopic and Molecular Methods for Quantitative Phytoplankton Analysis, eds B. Karlson, C. Cusack, and E. Bresnan (Paris:UNESCO), 13–20., https://repository.oceanbestpractices.org/bitstream/handle/11329/303/WKNCT_Handbook_ver5May2010_2.pdf?sequence=1#page=17",,,Louis Hobson,988734,Chaetoceros ceratosporus,50.0307,-125.0992,
Chaetoceros ceratosporus,988734,Hakai,,,Hakai_phyto_QU39_2018-05-22_1m_3,,,,,4880025589,,2018-05-22,,,,,"Edler, L., and Elbrächter, M. (2010). The utermöhl method for quantitative phytoplankton analysis, in Microscopic and Molecular Methods for Quantitative Phytoplankton Analysis, eds B. Karlson, C. Cusack, and E. Bresnan (Paris:UNESCO), 13–20., https://repository.oceanbestpractices.org/bitstream/handle/11329/303/WKNCT_Handbook_ver5May2010_2.pdf?sequence=1#page=17",,,Louis Hobson,988734,Chaetoceros ceratosporus,50.0307,-125.0992,
Chaetoceros ceratosporus,988734,Hakai,,,Hakai_phyto_QU39_2017-06-29_1m_2,,,,,4880025476,,2017-06-29,,,,,"Edler, L., and Elbrächter, M. (2010). The utermöhl method for quantitative phytoplankton analysis, in Microscopic and Molecular Methods for Quantitative Phytoplankton Analysis, eds B. Karlson, C. Cusack, and E. Bresnan (Paris:UNESCO), 13–20., https://repository.oceanbestpractices.org/bitstream/handle/11329/303/WKNCT_Handbook_ver5May2010_2.pdf?sequence=1#page=17",,,Louis Hobson,988734,Chaetoceros ceratosporus,50.0307,-125.0992,
Chaetoceros ceratosporus,988734,Hakai,,,Hakai_phyto_QU39_2018-03-27_1m_2,,,,,4880025463,,2018-03-27,,,,,"Edler, L., and Elbrächter, M. (2010). The utermöhl method for quantitative phytoplankton analysis, in Microscopic and Molecular Methods for Quantitative Phytoplankton Analysis, eds B. Karlson, C. Cusack, and E. Bresnan (Paris:UNESCO), 13–20., https://repository.oceanbestpractices.org/bitstream/handle/11329/303/WKNCT_Handbook_ver5May2010_2.pdf?sequence=1#page=17",,,Louis Hobson,988734,Chaetoceros ceratosporus,50.0307,-125.0992,
Chaetoceros ceratosporus,988734,Hakai,,,Hakai_phyto_QU39_2021-07-27_5m_2,,,,,4880024958,,2021-07-27,,,,,"Edler, L., and Elbrächter, M. (2010). The utermöhl method for quantitative phytoplankton analysis, in Microscopic and Molecular Methods for Quantitative Phytoplankton Analysis, eds B. Karlson, C. Cusack, and E. Bresnan (Paris:UNESCO), 13–20., https://repository.oceanbestpractices.org/bitstream/handle/11329/303/WKNCT_Handbook_ver5May2010_2.pdf?sequence=1#page=17",,,Louis Hobson,988734,Chaetoceros ceratosporus,50.0307,-125.0992,
Chaetoceros ceratosporus,988734,Hakai,,,Hakai_phyto_QU39_2019-02-12_1m_1,,,,,4880024326,,2019-02-12,,,,,"Edler, L., and Elbrächter, M. (2010). The utermöhl method for quantitative phytoplankton analysis, in Microscopic and Molecular Methods for Quantitative Phytoplankton Analysis, eds B. Karlson, C. Cusack, and E. Bresnan (Paris:UNESCO), 13–20., https://repository.oceanbestpractices.org/bitstream/handle/11329/303/WKNCT_Handbook_ver5May2010_2.pdf?sequence=1#page=17",,,Louis Hobson,988734,Chaetoceros ceratosporus,50.0307,-125.0992,
Chaetoceros ceratosporus,988734,Hakai,,,Hakai_phyto_QU39_2021-04-26_5m_3,,,,,4880024070,,2021-04-26,,,,,"Edler, L., and Elbrächter, M. (2010). The utermöhl method for quantitative phytoplankton analysis, in Microscopic and Molecular Methods for Quantitative Phytoplankton Analysis, eds B. Karlson, C. Cusack, and E. Bresnan (Paris:UNESCO), 13–20., https://repository.oceanbestpractices.org/bitstream/handle/11329/303/WKNCT_Handbook_ver5May2010_2.pdf?sequence=1#page=17",,,Louis Hobson,988734,Chaetoceros ceratosporus,50.0307,-125.0992,
Chaetoceros ceratosporus,988734,Hakai,,,Hakai_phyto_QU39_2021-04-19_5m_3,,,,,4880023988,,2021-04-19,,,,,"Edler, L., and Elbrächter, M. (2010). The utermöhl method for quantitative phytoplankton analysis, in Microscopic and Molecular Methods for Quantitative Phytoplankton Analysis, eds B. Karlson, C. Cusack, and E. Bresnan (Paris:UNESCO), 13–20., https://repository.oceanbestpractices.org/bitstream/handle/11329/303/WKNCT_Handbook_ver5May2010_2.pdf?sequence=1#page=17",,,Louis Hobson,988734,Chaetoceros ceratosporus,50.0307,-125.0992,
Chaetoceros ceratosporus,988734,Hakai,,,Hakai_phyto_QU39_2017-06-19_1m_4,,,,,4880023633,,2017-06-19,,,,,"Edler, L., and Elbrächter, M. (2010). The utermöhl method for quantitative phytoplankton analysis, in Microscopic and Molecular Methods for Quantitative Phytoplankton Analysis, eds B. Karlson, C. Cusack, and E. Bresnan (Paris:UNESCO), 13–20., https://repository.oceanbestpractices.org/bitstream/handle/11329/303/WKNCT_Handbook_ver5May2010_2.pdf?sequence=1#page=17",,,Louis Hobson,988734,Chaetoceros ceratosporus,50.0307,-125.0992,
Chaetoceros ceratosporus,988734,Hakai,,,Hakai_phyto_QU39_2020-07-29_5m_3,,,,,4880023312,,2020-07-29,,,,,"Edler, L., and Elbrächter, M. (2010). The utermöhl method for quantitative phytoplankton analysis, in Microscopic and Molecular Methods for Quantitative Phytoplankton Analysis, eds B. Karlson, C. Cusack, and E. Bresnan (Paris:UNESCO), 13–20., https://repository.oceanbestpractices.org/bitstream/handle/11329/303/WKNCT_Handbook_ver5May2010_2.pdf?sequence=1#page=17",,,Louis Hobson,988734,Chaetoceros ceratosporus,50.0307,-125.0992,
Chaetoceros compressus,488049,Hakai,,,Hakai_phyto_QU39_2021-06-28_5m_5,,,,,4880034817,,2021-06-28,,,,,"Edler, L., and Elbrächter, M. (2010). The utermöhl method for quantitative phytoplankton analysis, in Microscopic and Molecular Methods for Quantitative Phytoplankton Analysis, eds B. Karlson, C. Cusack, and E. Bresnan (Paris:UNESCO), 13–20., https://repository.oceanbestpractices.org/bitstream/handle/11329/303/WKNCT_Handbook_ver5May2010_2.pdf?sequence=1#page=17",,,Louis Hobson,488049,Chaetoceros compressus,50.0307,-125.0992,
Chaetoceros compressus,488049,Hakai,,,Hakai_phyto_QU39_2021-09-02_5m_4,,,,,4880034405,,2021-09-02,,,,,"Edler, L., and Elbrächter, M. (2010). The utermöhl method for quantitative phytoplankton analysis, in Microscopic and Molecular Methods for Quantitative Phytoplankton Analysis, eds B. Karlson, C. Cusack, and E. Bresnan (Paris:UNESCO), 13–20., https://repository.oceanbestpractices.org/bitstream/handle/11329/303/WKNCT_Handbook_ver5May2010_2.pdf?sequence=1#page=17",,,Louis Hobson,488049,Chaetoceros compressus,50.0307,-125.0992,
Chaetoceros compressus,488049,Hakai,,,Hakai_phyto_QU39_2021-04-05_5m_4,,,,,4880034160,,2021-04-05,,,,,"Edler, L., and Elbrächter, M. (2010). The utermöhl method for quantitative phytoplankton analysis, in Microscopic and Molecular Methods for Quantitative Phytoplankton Analysis, eds B. Karlson, C. Cusack, and E. Bresnan (Paris:UNESCO), 13–20., https://repository.oceanbestpractices.org/bitstream/handle/11329/303/WKNCT_Handbook_ver5May2010_2.pdf?sequence=1#page=17",,,Louis Hobson,488049,Chaetoceros compressus,50.0307,-125.0992,
Chaetoceros compressus,488049,Hakai,,,Hakai_phyto_QU39_2021-08-03_5m_5,,,,,4880033522,,2021-08-03,,,,,"Edler, L., and Elbrächter, M. (2010). The utermöhl method for quantitative phytoplankton analysis, in Microscopic and Molecular Methods for Quantitative Phytoplankton Analysis, eds B. Karlson, C. Cusack, and E. Bresnan (Paris:UNESCO), 13–20., https://repository.oceanbestpractices.org/bitstream/handle/11329/303/WKNCT_Handbook_ver5May2010_2.pdf?sequence=1#page=17",,,Louis Hobson,488049,Chaetoceros compressus,50.0307,-125.0992,
Chaetoceros compressus,488049,Hakai,,,Hakai_phyto_QU39_2017-04-07_1m_5,,,,,4880033391,,2017-04-07,,,,,"Edler, L., and Elbrächter, M. (2010). The utermöhl method for quantitative phytoplankton analysis, in Microscopic and Molecular Methods for Quantitative Phytoplankton Analysis, eds B. Karlson, C. Cusack, and E. Bresnan (Paris:UNESCO), 13–20., https://repository.oceanbestpractices.org/bitstream/handle/11329/303/WKNCT_Handbook_ver5May2010_2.pdf?sequence=1#page=17",,,Louis Hobson,488049,Chaetoceros compressus,50.0307,-125.0992,
