Taxon,Author,Author of Sub Species or Variety,Common Name,Kingdom,Phylum,Sub-phylum,Super-class,Class,Subclass,Super-order,Order,Sub-order,Super-family,Family,Subfamily,Origin,Status,Reporting,Documented,Last Collected/Reported (y-m-d),Collector/Source,Collection/List,Catalogue Number,First Documented,Documenter,iNaturalist Link,iNaturalist photo,Notes,ID,Stats Code,,,,
Alnus alnobetula ssp. sinuata,(Ehrh.) K. Koch,(Regel) Raus,thinleaf alder,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Fagales,,,Betulaceae, ,native,S5 (2000) ,confirmed,documented,2012-07-25,Erin R. Manton,UBC,UBC: V238603,2014-05-24,judithofsquamish,https://www.inaturalist.org/observations/5946345,https://static.inaturalist.org/photos/7425641/medium.jpeg?1493083228,historical record A. viridis (Chaix) DC. ssp. sinuata (Regel) Á. Löve & D. Löve,939032, ,,,,
Alnus rubra,Bong.,,red alder,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Fagales,,,Betulaceae,,native,S5 (2015) ,confirmed,documented,2015-06-26,B. Brett,2015 Squamish Bioblitz part of Whistler BB Bob Brett),,2017-07-02,judithofsquamish,https://www.inaturalist.org/observations/6940158,https://static.inaturalist.org/photos/8868816/medium.jpeg?1499317569,,56034,,,,,
Alopecurus geniculatus,L.,,marsh foxtail,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,, ,Poales,,,Poaceae,,exotic,SNA (2000),reported ,undocumented,1916-06-09,John M. Macoun ,UBC,UBC: V: V000426,,,,,,71140,,,,,
Amaranthus retroflexus,L.,,redroot pigweed,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Caryophyllales,,,Amaranthaceae,Amaranthoideae,native,S5 (2015) ,new,documented,,,,,2018-09-26,benkeen,https://www.inaturalist.org/observations/16935468,https://static.inaturalist.org/photos/25624373/medium.jpg?1538014890,,58776,,,,,
Amelanchier alnifolia,(Nutt.) Nutt. ex M. Roem.,,saskatoon,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Rosales,,,Rosaceae,,native,S4S5 (2001),confirmed,documented,2015-06-26,B. Brett,2015 Squamish Bioblitz part of Whistler BB Bob Brett),,2015-05-17,hillanddale,https://www.inaturalist.org/observations/9528777,https://static.inaturalist.org/photos/12993599/medium.jpg?1516378603,,75415,,,,,
Anaphalis margaritacea,(L.) Benth. & Hook.,,pearly everlasting,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,Asteraceae,Asteroideae,native,S5 (2015),confirmed,documented,2015-12-30,Frank Lomer,UBC,UBC: V247105,2017-09-26,judithofsquamish,https://www.inaturalist.org/observations/8230889,https://static.inaturalist.org/photos/10913369/medium.jpeg?1506997403,,52833,,,,,
Anemone parviflora ,Michx.,,small-flower anemone,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Ranunculales,,,Ranunculaceae,Ranunculoideae,native,S5,reported ,undocumented,2014-08-00,F. Perry ,UBC,UBC: V238245,,,,,,158365,,,,,
Angelica lucida,L.,,sea-watch,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Apiales,,,Apiaceae,Apioideae,native,S5 (2015),confirmed,documented,2015-06-26,A. Lynn,2015 Squamish Bioblitz part of Whistler BB Bob Brett),,2015-05-17,hillanddale,https://www.inaturalist.org/observations/9528810,https://static.inaturalist.org/photos/12993655/medium.jpg?1516378858,,75453,,,,,
Antennaria alpina,Greene,,alpine pussytoes,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,Asteraceae,Asteroideae,native,S5 (2015) ,reported ,undocumented,1966-08-00,B. Fraser,UBC,UBC: V158269,,,,,BC CDC updated this to A. pallida,75466,,,,,
Antennaria neglecta,Greene,,field pussytoes,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,Asteraceae,Asteroideae,native,S4 (2018),reported,undocumented,1986-05-29,W. J. Merilees ,RBCM,V: V155110,,,,,,127005,,,,,
Antennaria parvifolia ,Nutt.,,small-leaf pussytoes,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,Asteraceae,Asteroideae,native,S5 (2015),reported,undocumented,1955-06-16,V. J. Krajina ,UBC  ,UBC: V80232,,,,, AB320,158414,,,,,
Antennaria rosea                          ,Greene,,rosy pussytoes,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,Asteraceae,Asteroideae,native,SNR (2015) ,reported,undocumented,1965-08-16,B. Fraser,UBC  ,UBC: V158246,,,,,,53096,,,,,
Antennaria rosea subsp. pulvinata ,Greene ,(Greene) R.J. Bayer,pulvinate pussytoes,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,Asteraceae,Asteroideae,native,S4S5 (2016) ,reported,undocumented,1938-08-12,John W. Eastham,UBC,UBC: V125197,,,,,aka A. pulvinata,444567,,,,,
Antennaria umbrinella,Rydb.,,umber pussytoes,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,Asteraceae,Asteroideae,native,S5 (2015)  ,confirmed,documented,1964-09-20,V.J. Krajina,UBC,UBC: V108987,2015-05-10,hillanddale,https://www.inaturalist.org/observations/9535369,https://static.inaturalist.org/photos/13005309/medium.jpeg?1516424322,,75471,,,,,
Anthemis cotula,L.,,stinking chamomile,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,Asteraceae,Asteroideae,exotic,SNA (2001) ,reported,undocumented,1911-07-02,John Davidson ,UBC,UBC: V44823,,,,,,52841,,,,,0
Anthoxanthum hirtum,(Schrank) Y. Schouten & Veldkamp,,northern sweetgrass,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Poaceae,Pooidiae,native,S5 (2015),confirmed,documented,2006-05-27,Jeffery M. Saarela ,UBC  ,UBC: V236836,2016-04-09,judithofsquamish,https://www.inaturalist.org/observations/12643313,https://static.inaturalist.org/photos/18290353/medium.jpeg?1526833885,herbarium record A. odoratum,204239,,,,,
Aphanes arvensis,L.,,field parsley piert,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Rosales,,,Rosaceae,,exotic,SNA (2006),confirmed,documented,1973-01-00,Anonymous,UBC  ,UBC: V228126,2018-12-15,benkeen,https://www.inaturalist.org/observations/19035564,https://static.inaturalist.org/photos/29196222/medium.jpg?1544909988,,158445,,,,,
Aphanes occidentalis,(Nutt.) Rydb.,,western lady's mantle,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Rosales,,,Rosaceae,Rosoideae,native,S5 (2015),confirmed,documented,1993-05-24,Terry Taylor,RBCM,V182025,2019-04-13,benkeen,https://www.inaturalist.org/observations/22435878,https://static.inaturalist.org/photos/34750199/medium.jpg?1555194429,,64548,,,,,
Apocynum androsaemifolium,L.,,spreading dogbane,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Gentianales,,,Apocynaceae,Apocynoideae,native,S5 (2000),confirmed,documented,1965-07-09,J. P. Luitjens ,UBC,UBC: V162172,2017-06-19,judithofsquamish,https://www.inaturalist.org/observations/8893322,https://static.inaturalist.org/photos/11965188/medium.jpeg?1511324652,,47359,,,,,
Aquilegia formosa,Fisch. ex DC.,,western columbine,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Ranunculales,,,Ranunculaceae,Thalictroideae,native,S5 (2015),confirmed,documented,2015-06-26,B. Hircock/S. Hirst,2015 Squamish Bioblitz part of Whistler BB Bob Brett),,2017-07-30,judithofsquamish,https://www.inaturalist.org/observations/7356124,https://static.inaturalist.org/photos/9536849/medium.jpeg?1501906142,,48244,,,,,
Aquilegia vulgaris,L.,,common columbine,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Ranunculales,,,Ranunculaceae,Thalictroideae,exotic,SNA (2019),new 2019,documented,,,,,2019-05-17,judithofsquamish,https://www.inaturalist.org/observations/25291895,https://static.inaturalist.org/photos/39157782/medium.jpeg?1558142512,,51807,,,,,
Arabidopsis lyrata subsp. kamchatica ,(Fisch. ex DC.) K. Shimizu & Kudoh,,lyreleaf rockcress,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Brassicales,,,Brassicaceae,,native,S4 (2001,reported,undocumented,1914-08-05,John Davidson ,UBC,UBC: V12369,,,,,herbarium record Arabidopsis kamchatica ,333497, ,,,,
Arabidopsis thaliana,(L.) Heynh.,,mouse-ear cress,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Brassicales,,,Brassicaceae,,exotic,SNA (2019),new 2019,documented,,,,,2019-04-02,benkeen,https://www.inaturalist.org/observations/21930810,https://static.inaturalist.org/photos/33985464/medium.jpg?1554254947,,55021,,,,,
Arabis sp.,L.,,none,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Brassicales,,,Brassicaceae,,,,new 2018,,,,,,2018-07-03,judithofsquamish,https://www.inaturalist.org/observations/14170644,https://static.inaturalist.org/photos/21009014/medium.jpeg?1531069363,,58068,,,,,
Arbutus menziesii,Pursh,,arbutus,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Ericales,,,Ericaceae,Arbutoideae,native,S4? (2014),confirmed,documented,1974-04-30,Jim Pojar,UBC,UBC: V157148,2018-08-21,alexc243,https://www.inaturalist.org/observations/15794682,https://static.inaturalist.org/photos/23605054/medium.jpeg?1534974911,,51046,,,,,
Arbutus unedo,L.,,strawberry tree,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Ericales,,,Ericaceae,Arbutoideae,exotic,"not in CDC records, see 'notes'",new 2018,documented,,,,,2018-11-12,benkeen,https://www.inaturalist.org/observations/18360548,https://static.inaturalist.org/photos/28061650/medium.jpg?1542063143,,82689,,,,,
Arceuthobium campylopodum,Engelmann,,western dwarf mistletoe,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Santalales,,,Santalaceae,,native,"not in CDC records, see 'notes'",new 2014,documented,,,,,2014-07-26,elsemikkelsen,https://www.inaturalist.org/observations/9228336,https://static.inaturalist.org/photos/12488857/medium.jpg?1513895757,"accepted by Nature Serve, FNA & I.T.I.S.",55422,,,,,
Arctium minus,(Hill) Bernh.,,lesser burdock,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,Asteraceae,Carduoideae,exotic,SNA (2001),confirmed,documented,1967-06-16,P. Warrington ,LEA,,2018-09-17,judithofsquamish,https://www.inaturalist.org/observations/16647222,https://static.inaturalist.org/photos/25097604/medium.jpeg?1537236103,,59570,,,,,
Arctostaphylos columbiana,Piper,,Columbia manzanita,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Ericales,,,Ericaceae,Arbutoideae,native,S4 (2014) ,confirmed,documented,1989-11-05,P.Kroeger,UBC,UBC: V202097,2017-08-26,rainwalker,https://www.inaturalist.org/observations/7659852,https://static.inaturalist.org/photos/10026483/medium.jpg?1503768982,,75505,,,,,
Arctostaphylos uva-ursi,(L.) Spreng.,,bearberry,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Ericales,,,Ericaceae,Arbutoideae,native,S5 (2015) ,confirmed,documented,2015-06-26,D. Mosquin,2015 Squamish Bioblitz part of Whistler BB Bob Brett),,2016-07-31,judithofsquamish,https://www.inaturalist.org/observations/5948333,https://static.inaturalist.org/photos/7428707/medium.jpeg?1493090747,,68049,,,,,
Arctostaphylos x media,Greene ,,hybrid manzanita,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,, ,Ericales,,,Ericaceae,Arbutoideae,native,S4 (2015) ,reported,undocumented,1974-04-26,W.H. Parker ,UBC,UBC: V146357,,,,,not recognized by iNaturalist,181436,,,,,
Argentina anserina,(L.) Rydb.,,common silverweed,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Rosales,,,Rosaceae,Rosoideae,native,S5 (2000),new 2016,documented,,,,,2016-09-14,judithofsquamish,http://www.inaturalist.org/observations/4468818,https://static.inaturalist.org/photos/5391031/medium.jpeg?1477924786,,158615,,,,,
Argentina pacifica,(Howell) Rydb.,,Pacific silverweed,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Rosales,,,Rosaceae,Rosoideae,native,S5 (2000) ,confirmed,documented,2015-06-26,B. Brett,2015 Squamish Bioblitz part of Whistler BB Bob Brett),,2016-09-14,judithofsquamish,http://www.inaturalist.org/observations/4468702,https://static.inaturalist.org/photos/5390886/medium.jpeg?1477923040,historical record Potentilla anserina L. ssp. pacifica (Howell) Rousi,524900,,,,,
Arnica cordifolia,Hook.,,heartleaf arnica,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,Asteraceae,Asteroideae,native,S5 (2015),confirmed,documented,1956-08-07,Vernon C. Brink,UBC,UBC: V55449,2017-09-26,judithofsquamish,https://www.inaturalist.org/observations/8231339,https://static.inaturalist.org/photos/10914090/medium.jpeg?1506999870,,75569,,,,,
Arnica gracilis ,Rydb.,,slender leopardbane,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,Asteraceae,Asteroideae,native,S5 (2000),reported,undocumented,1961-08-19,E.B. Peterson ,UBC,UBC: V97820,,,,,,158686,,,,,
Arnica lanceolata ,Nutt. , ,clasping arnica,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,Asteraceae,Asteroideae,native,S5? (2015)  ,reported,undocumented,1951-09-11,W. Cottle ,UBC,UBC: V27388,,,,,,75572,,,,,
Arnica latifolia,Bong.,,broadleaf arnica,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,Asteraceae,Asteroideae,native,S5 (2015) ,confirmed,documented,1979-07-21,Gerald B. Straley,UBC,UBC: V166358,2017-07-30,judithofsquamish,https://www.inaturalist.org/observations/8891577,https://static.inaturalist.org/photos/11962080/medium.jpeg?1511313857,,75573,,,,,
Arnica mollis,Hook.,,hairy arnica,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,Asteraceae,Asteroideae,native,S5 (2015),reported,undocumented,1938-08-08,John W. Eastham,UBC,UBC: V9215,,,,,,75575,,,,,
Arnica ovata ,Greene,,sticky leaf arnica,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,Asteraceae,Asteroideae,native,S5 (2015),reported,undocumented,1965-08-14,B. Fraser ,UBC,UBC: V158316,,,,,,75577,,,,,
Arnica parryi ,A. Gray,,nodding arnica,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,Asteraceae,Asteroideae,native,S5 (2015) ,reported,undocumented,1912-08-13,J. Davidson ,UBC,UBC: V9224,,,,,,75578,,,,,
Arnica rydbergii,Greene,,subalpine arnica,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,Asteraceae,Asteroideae,native,S5 (2019),new 2019,documented,,,,,2019-08-24,kmfret,https://www.inaturalist.org/observations/31817915,https://static.inaturalist.org/photos/49836866/medium.jpeg?1567204955,,153042,,,,,
Artemisia norvegica  subsp. saxatilis,Fr.,(Besser) H.M. Hall & Clem.,Norwegian mugwort,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,Asteraceae,Asteroideae,native,S5 (2015) ,reported,undocumented,1917-08-07,John Davidson ,UBC,UBC: V9352,,,,,,79631,,,,,
Artemisia norvegica var. longepedunculata?,Fr. ,Rudolphi. ,Norwegian mugwort,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,Asteraceae,Asteroideae,,"not in CDC records, see 'notes'",reported,undocumented,1912-08-00,John Davidson ,UBC,UBC: V9353,,,,,"variety no longer recognized by CDC, NatureServe, FNA, I.T.I.S. or iNaturalist",0,,,,,
Aruncus dioicus,(Walter) Fernald,,goatsbeard,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Rosales,,,Rosaceae, ,native,S5 (2015),confirmed,documented,1965-07-14,B. Fraser ,UBC,UBC: V158317,2016-05-17,judithofsquamish,https://www.inaturalist.org/observations/6018513,https://static.inaturalist.org/photos/7531195/medium.jpeg?1493523457,,75600,,,,,
Asarum caudatum,Lindl.,,western wild ginger,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Piperales,,,Aristolochiaceae,,native,S5 (2015) ,confirmed,documented,2012-05-05,Paul Kroeger,UBC,UBC: V245578,2017-05-28,hillanddale,https://www.inaturalist.org/observations/8505001,https://static.inaturalist.org/photos/11348935/medium.jpeg?1508687449,,52858,,,,,
Asparagus officinalis,L.,,wild asparagus,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Asparagales,,,Asparagaceae,Asparagoideae,exotic,SNA (2001),new 2011,documented,,,,,2015-07-14,judithofsquamish,https://www.inaturalist.org/observations/9971627,https://static.inaturalist.org/photos/13700100/medium.jpeg?1519431210,,60265,,,,,
Aspidotis densa,(Brack.) Lellinger,,serpentine fern,Plantae,Tracheophyta,,,Polypodiopsida,Polypodiidae,,Polypodiales,,,Pteridaceae,Cheilanthoideae,native,S5 (2015),confirmed,documented,1993-05-24,Terry Taylor ,RBCM,V182028,2018-12-15,benkeen,https://www.inaturalist.org/observations/19035660,https://static.inaturalist.org/photos/29196493/medium.jpg?1544910337,,63868,,,,,
Asplenium trichomanes,L.,,maidenhair spleenwort,Plantae,Tracheophyta,Angiospermae,,Polypodiopsida,,,Polypodiales,,,Aspleniaceae,,native,S4S5 (2008),confirmed,documented,1946-04-13,Terry Taylor,UBC,UBC: V51390,2016-10-18,judithofsquamish,http://inaturalist.ca/observations/4386193,https://static.inaturalist.org/photos/5263379/medium.jpg?1476818087,"2 subspecies in BC not clearly defined, according to CDC",75609,,,,,
Athyrium distentifolium  subsp. americanum ,Tausch ex Opiz,(Butters) Hultén,American alpine lady fern,Plantae,Tracheophyta,Angiospermae,,Polypodiopsida,,,Polypodiales,,,Athyriaceae,,native,S5 (2015),confirmed,documented,1960-08-16,E.B. Peterson ,UBC,UBC: V100639,2017-09-05,judithofsquamish,https://www.inaturalist.org/observations/8275046,https://static.inaturalist.org/photos/10977282/medium.jpeg?1507249640,Athyrium alpestre subsp. americanum in CDC,80451,,,,,
Athyrium filix-femina subsp. cyclosorum,(L.) Roth ex Mertens, (Rupr.) C. Chr.,lady fern,Plantae,Tracheophyta,Angiospermae,,Polypodiopsida,,,Polypodiales,,,Athyriaceae,,native,S5 (2015) ,confirmed,documented,2013-09-08,Carl J. Rothfels,UBC,UBC: V245629,2017-05-05,chlorophilia,https://www.inaturalist.org/observations/6113065,https://static.inaturalist.org/photos/7648140/medium.jpeg?1494087563,,52669,,,,,
Atriplex patula,L.,,common orache,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Caryophyllales,,,Amaranthaceae,,exotic,SNA (2001),confirmed,documented,2015-06-26,B. Johnson,2015 Squamish Bioblitz part of Whistler BB Bob Brett),,,judithofsquamish,https://www.inaturalist.org/observations/10484143,https://static.inaturalist.org/photos/14577315/medium.jpeg?1522293663,,60175,,,,,
Atriplex prostrata,Moq.,,creeping saltbush,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Caryophyllales,,,Amaranthaceae,Chenopodioideae,exotic,SNA (2019),new 2019,documented,,,,,2019-09-18,benkeen,https://www.inaturalist.org/observations/32989345,https://static.inaturalist.org/photos/51779254/medium.jpeg?1568859339,,60176,,,,,
Aucuba sp.,Thunb.,,acuba,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Garryales,,,Garryaceae,,,,new 2018,documented,,,,,2018-11-12,benkeen,https://www.inaturalist.org/observations/18362907,https://static.inaturalist.org/photos/28065730/medium.jpg?1542071155,,56207,,,,,
Barbarea orthoceras,Ledeb.,,American yellowrocket,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Brassicales,,,Brassicaceae,,native,S5 (2015),confirmed,documented,2004-05-05,T. Taylor ,report,,2016-04-25,judithofsquamish,https://www.inaturalist.org/observations/9971751,https://static.inaturalist.org/photos/13700267/medium.jpeg?1519431872,,52976,,,,,
Barbarea verna ,(P. Mill.) Asch.,,early wintercress,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Brassicales,,,Brassicaceae,,exotic,SNA (2019),reported,undocumented,1943-05-23,,RBCM,V016333,,,,,,71136,,,,,
Barbarea vulgaris ,W.T. Aiton,,bittercress,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,, ,Brassicales,,,Brassicaceae,,exotic,SNA (2001),reported,undocumented,1967-06-10,P. Warrington ,LEA,,,,,,,56126,,,,,
Bellis perennis,L.,,common daisy,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,Asteraceae,Asteroideae,exotic,SNA (2001),new 2018,documented,,,,,2018-09-11,benkeen,https://www.inaturalist.org/observations/16442100,https://static.inaturalist.org/photos/24740293/medium.jpg?1536720487,,55563,,,,,
Berberis aquifolium,Pursh,,Oregon grape,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Ranunculales,,,Berberidaceae,,native,S5 (2015)  ,confirmed,documented,2015-06-26,A. Lynn,2015 Squamish Bioblitz part of Whistler BB Bob Brett),,2017-10-27,gwenlh,https://www.inaturalist.org/observations/8595536,https://static.inaturalist.org/photos/11490459/medium.jpg?1509242715,,126887,,,,,
Berberis Ã— hortensis,,,,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Ranunculales,,,Berberidaceae,Berberidoideae,,not in CDC records,new 2019,documented,,,,,2019-12-25,benkeen,https://www.inaturalist.org/observations/36949665,https://static.inaturalist.org/photos/58492119/medium.jpeg?1577312186,,868721,,,,,
Berberis nervosa,Pursh,,Cascade D522Oregon-grape,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Ranunculales,,,Berberidaceae,,native,S5 (2000),confirmed,documented,1967-06-24,P. Warrinton ,LEA,,2017-06-24,vanezo,http://inaturalist.ca/observations/6863005,https://static.inaturalist.org/photos/8747622/medium.jpg?1498851580,,75756,,,,,
Berberis thunbergii ,DC.,,Japanese barberry,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Ranunculales,,,Berberidaceae,,exotic,SNA (2008),reported,undocumented,2011-04-17,Frank Lomer,UBC,UBC: V236396,,,,,,58727,,,,,
Betula glandulosa,Michx.,,dwarf resin birch,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Fagales,,,Betulaceae,,native,S5 (2015) ,new 2017,documented,,,,,2017-06-11,alicia49,https://www.inaturalist.org/observations/6597870,https://static.inaturalist.org/photos/8376107/medium.jpeg?1497224775,,75763,,,,,
Betula papyrifera,Marshall,,paper birch,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Fagales,,,Betulaceae,,native,S4 (2001),confirmed,documented,2004-05-05,T. Taylor ,report,,2018-07-12,judithofsquamish,https://www.inaturalist.org/observations/14556424,https://static.inaturalist.org/photos/21685360/medium.jpeg?1532129487,,49883,,,,,
Betula papyrifera commutata,Marsh. (Regel) Fernald,,western paper birch,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Fagales,,,Betulaceae,,native,S5 (2019),new 2018,documented,,,,,2018-10-19,judithofsquamish,https://www.inaturalist.org/observations/17715117,https://static.inaturalist.org/photos/27006599/medium.jpeg?1540144991,,239617,,,,,
Bidens amplissima,Greene,,Vancouver Island beggarticks,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,Asteraceae,Asteroideae,native,S3 (2015) ,confirmed,documented,2014-08-07,Anne Anderson,UBC,UBC: V244536,2016-09-15,judithofsquamish,http://www.inaturalist.org/observations/4366532,https://static.inaturalist.org/photos/5231946/medium.jpeg?1476582635,,159233,,,,,
Bidens cernua,L.,,nodding beggarticks,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,Asteraceae,Asteroideae,native,S5 (2015),new 2016,documented,,,,,2016-09-14,judithofsquamish,https://www.inaturalist.org/observations/10489112,https://static.inaturalist.org/photos/14585854/medium.jpeg?1522331705,,75765,,,,,
Bidens frondosa,L.,,devil's beggarticks,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,Asteraceae,Asteroideae,exotic,SNA (2001),reported,undocumented,1978-09-17,R.C. Summerbell,UBC,UBC: V167632,,,,,,51712,,,,,
Bistorta vivipara ,(L.) Delarbre,,alpine bistort,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Caryophyllales,,,Polygonaceae,,native,S5 (2015),reported,undocumented,1917-08-10,John Davidson,UBC,UBC: V35634,,,,,,130545,,,,,
Boechera lyallii ,(S. Watson) Dorn,,Lyall's rockcress,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,, ,Brassicales,,,Brassicaceae,,native,S5 (2015),reported ,undocumented,1926-10-08,G. A. Hardy ,RBCM,V: V008032,,,,,,75799,,,,,
Boechera stricta ,(Graham) Al-Shehbaz,,Drummond's rockcress,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,, ,Brassicales,,,Brassicaceae,,native,S5 (2015) ,reported,undocumented,1967-08-17,V. Bednar ,UBC,UBC: V158312,,,,,,75824,,,,,
Bolboschoenus maritimus,(L.) Palla,,sea clubrush,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Cyperaceae,Cyperoideae,native,S4 (2000),confirmed,documented,2007-08-19,F. Lomer,UBC,UBC: V233607,2015-06-17,judithofsquamish,https://www.inaturalist.org/observations/8737843,https://static.inaturalist.org/photos/13740414/medium.jpeg?1519597490,,58345,,,,,
Botrychium sp.,,,moonworts,Plantae,Tracheophyta,,,Polypodiopsida,Ophioglossidae,,Ophioglossales,,,Ophioglossaceae,Botrychioideae,,,new 2011,documented,,,,,2011-07-29,bstarzomski,https://www.inaturalist.org/observations/7651268,https://static.inaturalist.org/photos/10012664/medium.jpg?1503704669,,55327,,,,,
Botrypus virginianus ,(L.) Michx.,,rattlesnake fern,Plantae,Tracheophyta, ,,Polypodiopsida,Ophioglossidae,,Ophioglossales,,,Ophioglossaceae,,native,S4S5 (2015,reported,undocumented,1963-05-17,Thomas M.C. Taylor ,UBC,UBC: V101055,,,,,,75855,,,,,
Boykinia occidentalis,Torr. & A. Gray,,coastal brookfoam,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Saxifragales,,,Saxifragaceae,,native,S5 (2015) ,confirmed,documented,2012-07-25,E. R. Manton,UBC,UBC: V239473,2018-08-18,citizen1,https://www.inaturalist.org/observations/15727184,https://static.inaturalist.org/photos/23481294/medium.jpg?1534783342,,68213,,,,,
Brasenia schreberi,J.F. Gmel.,,watershield,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Nymphaeales,,,Cabombaceae,,native,S5 (2015),new 2018,documented,,,,,2018-09-06,benkeen,https://www.inaturalist.org/observations/16276550,https://static.inaturalist.org/photos/24440994/medium.jpg?1536286594,,75867,,,,,
Brassica napus subsp. rapifera ,L.,Metzg.,turnip,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Brassicales,,,Brassicaceae,,exotic,SNA (2001),reported,undocumented,2015-12-30,Frank Lomer,UBC,UBC: V247101,,,,,,450737,,,,,
Brassica oleracea,L.,,cabbage,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Brassicales,,,Brassicaceae,,exotic,SNA,reported,undocumented,2015-03-27,Frank Lomer,UBC,UBC: V246473,,,,,,54516,,,,,
Brassica rapa,L.,,field mustard,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Brassicales,,,Brassicaceae,,exotic,SNA (2001)  ,confirmed,documented,1991-05-18,G. B. Straley,UBC,s.n.,2019-04-02,benkeen,https://www.inaturalist.org/observations/21930513,https://static.inaturalist.org/photos/33984812/medium.jpg?1554254190,,53271,,,,,
