iNaturalist taxon name,iNaturalist taxon ID,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Superfamily,Family,Subfamily,Tribe,Genus,Species,Taxon name,Origin,Status,Reporting Status,Collected/Reported (y-m-d),Collector/Source,Collection/List,First Observed,Observer,Accession Number,iNaturalist Observation Link,iNaturalist Obs Photo Link,Notes,Critical Notes,Common name
Pyrobombus,538900,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hymenoptera,Apocrita,Apoidea,Apidae,Apinae,Bombini,Bombus,,Pyrobombus sp.,,genus is in CDC records,new 2016,,,SQUAMISH,2016-09-03,sea2skynaturebc,,https://www.inaturalist.org/observations/8944773,https://static.inaturalist.org/photos/12052447/medium.jpeg?1511730395,,,a subgenus of bumblebees
Pyrgus ruralis,83543,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Papilionoidea,Hesperiidae,Pyrginae,Pyrgini,Pyrgus,Pyrgus ruralis,Pyrgus ruralis,Native,S5 (2013),reported,1935-05-14,unrecorded online,SQUAMISH,,,ENT991-081304,,,historical record West Vancouver,,two-banded checker skipper
Pyrrharctia isabella,59675,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Noctuoidea,Erebidae,Arctiinae,Arctiini,Pyrrharctia,Pyrrharctia isabella,Pyrrharctia isabella,Native,SNR,confirmed,1935-06-24,unrecorded online,SQUAMISH,2017-10-15,sea2skynaturebc,ENT991-124046,https://www.inaturalist.org/observations/8416105,https://static.inaturalist.org/photos/11203062/medium.jpg?1508094689,historical record West Vancouver,,Isabella tiger moth
Pyrrhia exprimens,142246,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Noctuoidea,Noctuidae,Heliothinae,,Pyrrhia,Pyrrhia exprimens,Pyrrhia exprimens,Native,S4S5 (2017),new 2019,,,SQUAMISH,2019-07-04,benkeen,,https://www.inaturalist.org/observations/28162512,https://static.inaturalist.org/photos/43883303/medium.jpeg?1562226749,,,purple-lined sallow
Quedius transparens,458480,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Staphylinoidea,Staphylinidae,Staphylininae,Staphylinini,Quedius,Quedius transparens,Quedius transparens,Unknown,SU (2017) ,reported,1981-08-01,R.J. Cannings,SQUAMISH,,,SEM-UBC COL-27333,,,,,none
Ranatra fusca,133757,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hemiptera,Heteroptera,Nepoidea,Nepidae,Ranatrinae,,Ranatra,Ranatra fusca,Ranatra fusca,,not in CDC records,new 2019,,,SQUAMISH,2019-06-25,rachelshephard,,https://www.inaturalist.org/observations/27724018,https://static.inaturalist.org/photos/43165535/medium.jpg?1561590537,,,brown waterscorpion
Rhagonycha fulva,62456,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Elateroidea,Cantharidae,Cantharinae,Cantharini,Rhagonycha,Rhagonycha fulva,Rhagonycha fulva,Exotic,SNA (2017),new 2015,,,SQUAMISH,2015-07-15,judithofsquamish,,https://www.inaturalist.org/observations/6017092,https://static.inaturalist.org/photos/7528919/medium.jpeg?1493516945,,,common red soldier beetle
Rheumaptera hastata,205039,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Geometroidea,Geometridae,Larentiinae,Rheumapterini,Rheumaptera,Rheumaptera hastata,Rheumaptera hastata,Native,S4S5 (2017),reported,1928-07-01,unrecorded online,SQUAMISH,,,ENT991-126271,,,historical record Bowen Island,,spear-marked black moth
Rheumaptera undulata,229898,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Geometroidea,Geometridae,Larentiinae,Rheumapterini,Rheumaptera,Rheumaptera undulata,Rheumaptera undulata,Native,S4S5 (2017),confirmed,1935-07-31,unrecorded online,SQUAMISH,2019-08-10,benkeen,ENT991-084232,https://www.inaturalist.org/observations/30551458,https://static.inaturalist.org/photos/47735471/medium.jpeg?1565457617,,,scallop shell moth
Rhionaeschna californica,67736,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Odonata,Anisoptera,,Aeshnidae,,,Rhionaeschna,Rhionaeschna californica,Rhionaeschna californica,Native,S5? (2015),reported,1996-07-07,unrecorded online,SQUAMISH,,,ENT001-003448,,,Bowen Island Crippen Regional Park; the meadows,,California darner
Rhionaeschna multicolor,67737,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Odonata,Anisoptera,,Aeshnidae,,,Rhionaeschna,Rhionaeschna multicolor,Rhionaeschna multicolor,Native,S5 (2015),new 2019,,,SQUAMISH,2019-08-10,benkeen,,https://www.inaturalist.org/observations/30564867,https://static.inaturalist.org/photos/47757214/medium.jpeg?1565469373,,,blue-eyed darner
Rhopobota naevana,324275,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Tortricoidea,Tortricidae,Olethreutinae,Eucosmini,Rhopobota,Rhopobota naevana,Rhopobota naevana,Native,SNR (2017)  ,new 2014,,,SQUAMISH,2014-07-27,elsemikkelsen,,https://www.inaturalist.org/observations/9215683,https://static.inaturalist.org/photos/12466240/medium.jpg?1513752056,,,holly tortrix
Rivula propinqualis,81674,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Noctuoidea,Erebidae,Rivulinae,,Rivula,Rivula propinqualis,Rivula propinqualis,Native,S4 (2017),new 2019,,,SQUAMISH,2014-07-27,elsemikkelsen,,https://www.inaturalist.org/observations/9214202,https://static.inaturalist.org/photos/12463805/medium.jpg?1513738585,,,spotted grass moth
Sabulodes edwardsata,346118,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Geometroidea,Geometridae,Ennominae,,Sabulodes,Sabulodes edwardsata,Sabulodes edwardsata,Native,S4S5 (2017),reported,1927-08-14,unrecorded online,SQUAMISH,,,ENT991-128287,,,historical record West Vancouver,,none
Saldula pallipes,454107,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hemiptera,Heteroptera,Leptopodoidea,Saldidae,,,Saldula,Saldula pallipes,Saldula pallipes,,not in CDC records,reported,1984-07-02,B. Harrison,SQUAMISH,,,SEM-UBC SAL-1605,,,,,none
Saprinus oregonensis,230405,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Histeroidea,Histeridae,Saprininae,,Saprinus,Saprinus oregonensis,Saprinus oregonensis,Native,S5 (2017),reported,1937-09-21,unrecorded online,SQUAMISH,,,ENT991-040522,,,historical record AA556West Vancouver,,clown beetle sp.
Scaeva pyrastri,52160,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Diptera,Brachycera,,Syrphidae,Syrphinae,Syrphini,Scaeva,Scaeva pyrastri,Scaeva pyrastri,,not in CDC records,reported,1964-01-01,G.J. Spencer,SQUAMISH,,,SEM-UBC SYR-5457,,,,,none
Scaphinotus angulatus,143918,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Adephaga,Caraboidea,Carabidae,Carabinae,Cychrini,Scaphinotus,Scaphinotus angulatus,Scaphinotus angulatus,Native,S3S5 (2017),new 2019,,,SQUAMISH,2019-05-14,benkeen,,https://www.inaturalist.org/observations/25143289,https://static.inaturalist.org/photos/38918017/medium.jpeg?1557888293,,,none
Scaphinotus angusticollis,63575,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Adephaga,Caraboidea,Carabidae,Carabinae,Cychrini,Scaphinotus,Scaphinotus angusticollis,Scaphinotus angusticollis,Native,S5 (2017) ,new 2017,,,SQUAMISH,2017-09-30,rainwalker,,https://www.inaturalist.org/observations/8187208,https://static.inaturalist.org/photos/10845348/medium.jpg?1506796774,,,none
Sceliphron caementarium,121821,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hymenoptera,Apocrita,Apoidea,Sphecidae,Sceliphrinae,Sceliphrini,Sceliphron,Sceliphron caementarium,Sceliphron caementarium,,not in CDC records,confirmed,2015-06-26,SEM Team,SQUAMISH,2018-06-29,thuja,SEM-UBC HYM-10942,https://www.inaturalist.org/observations/13899616,https://static.inaturalist.org/photos/20529699/medium.jpeg?1530321265,,,yellow-legged mud-dauber wasp
Schizura ipomaeae,204014,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Noctuoidea,Notodontidae,Heterocampinae,,Schizura,Schizura ipomaeae,Schizura ipomaeae,,genus is in CDC records,new 2019,,,SQUAMISH,2019-07-12,benkeen,,https://www.inaturalist.org/observations/28671023,https://static.inaturalist.org/photos/44709024/medium.jpeg?1562941457,,,morning-glory prominent
Scoliopteryx libatrix,134078,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Noctuoidea,Erebidae,Scoliopteryginae,Scoliopterygini,Scoliopteryx,Scoliopteryx libatrix,Scoliopteryx libatrix,Native,S5 (2017) ,new 2019,,,SQUAMISH,2019-07-21,benkeen,,https://www.inaturalist.org/observations/29227616,https://static.inaturalist.org/photos/45606176/medium.jpeg?1563696632,,,the herald
Scoparia biplagialis,146963,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Pyraloidea,Crambidae,Scopariinae,,Scoparia,Scoparia biplagialis,Scoparia biplagialis,Native,SNR (2017) ,confirmed,1937-08-27,unrecorded online,SQUAMISH,2019-06-27,benkeen,ENT991-142849,https://www.inaturalist.org/observations/27791878,https://static.inaturalist.org/photos/43279116/medium.jpeg?1561689825,"historical record S. biplagialis pacificalis, West Vancouver",,double-striped Scoparia moth
Selatosomus montanus,456435,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Elateroidea,Elateridae,Dendrometrinae,Prosternini,Selatosomus,Selatosomus montanus,Selatosomus montanus,Unknown,SU (2017) ,reported,1955-08-08,R. Stace-Smith,SQUAMISH,,,SEM-UBC COL-30259,,,,,none
Sericomyia chalcopyga,68132,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Diptera,Brachycera,,Syrphidae,Eristalinae,Eristalini,Sericomyia,Sericomyia chalcopyga,Sericomyia chalcopyga,,not in CDC records,confirmed,1975-05-05,H.A. Wilson,SQUAMISH,2018-08-18,citizen1,SEM-UBC SYR-5583,https://www.inaturalist.org/observations/15756198,https://static.inaturalist.org/photos/23534409/medium.jpg?1534866982,,,western pond fly
Sigara lineata,230898,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hemiptera,Heteroptera,Corixoidea,Corixidae,Corixinae,Corixini,Sigara,Sigara lineata,Sigara lineata,,not in CDC records,reported,1927-05-10,G.S. Walley,SQUAMISH,,,SEM-UBC COR-2914,,,,,none
Smerinthus cerisyi,119492,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Bombycoidea,Sphingidae,Smerinthinae,Smerinthini,Smerinthus,Smerinthus cerisyi,Smerinthus cerisyi,Native,SNR,reported,1955-08-18,J.R. Pinkerton,SQUAMISH,,,SEM-UBC SPH-0059,,,,,none
Somatochlora albicincta,112782,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Odonata,Anisoptera,,Corduliidae,,,Somatochlora,Somatochlora albicincta,Somatochlora albicincta,Native,S5 (2015) ,reported,1996-08-08,S.G. Cannings,SQUAMISH,,,ENT001-003522,,,historical record Cypress PP,,none
Somatochlora semicircularis,112806,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Odonata,Anisoptera,,Corduliidae,,,Somatochlora,Somatochlora semicircularis,Somatochlora semicircularis,Native,S5 (2015),reported,1983-08-27,S.G. Cannings,SQUAMISH,,,SEM-UBC ODO-5352,,,,,none
Spargania magnoliata,231256,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Geometroidea,Geometridae,Larentiinae,Larentiini,Spargania,Spargania magnoliata,Spargania magnoliata,Native,S4S5 (2017),new 2017,,,SQUAMISH,2017-09-23,elsemikkelsen,,https://www.inaturalist.org/observations/9190440,https://static.inaturalist.org/photos/12439708/medium.jpg?1513582953,,,double-banded carpet moth
Speyeria hydaspe,68266,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Papilionoidea,Nymphalidae,Heliconiinae,Argynnini,Speyeria,Speyeria hydaspe,Speyeria hydaspe,Native,S5 (2013),recorded,1980-08-25,unrecorded online,SQUAMISH,,,ENT989-009406,,,historical record Squamish;Diamond Head,,Hydaspe fritillary
Sphaerites politus,361545,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Histeroidea,Sphaeritidae,,,Sphaerites,Sphaerites politus,Sphaerites politus,Unknown,SU (2017),recorded,1981-08-01,R.J. Cannings,SQUAMISH,,,SEM-UBC COL-18039,,,,,hairy spider weevil
Spilomyia interrupta,320510,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Diptera,Brachycera,,Syrphidae,Eristalinae,Milesiini,Spilomyia,Spilomyia interrupta,Spilomyia interrupta,,not in CDC records,recorded,1934-08-19,unrecorded online,SQUAMISH,,,ENT991-119099,,,historical record West Vancouver,,interrupted hornet fly
Spilosoma virginica,60839,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Noctuoidea,Erebidae,Arctiinae,Arctiini,Spilosoma,Spilosoma virginica,Spilosoma virginica,Native,SNR,recorded,1937-06-28,unrecorded online,SQUAMISH,,,ENT991-124173,,,historical record West Vancouver,,none
Stamnoctenis pearsalli,452688,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Geometroidea,Geometridae,Larentiinae,Stamnodini,Stamnoctenis,Stamnoctenis pearsalli,Stamnoctenis pearsalli,Native,S3S5 (2017) ,recorded,1936-08-09,unrecorded online,SQUAMISH,,,ENT991-104815,,,historical record West Vancouver,,none
Stenoporpia excelsaria,452659,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Geometroidea,Geometridae,Ennominae,Boarmiini,Stenoporpia,Stenoporpia excelsaria,Stenoporpia excelsaria,Native,S4S5 (2017),new 2019,,,SQUAMISH,2019-06-04,benkeen,,https://www.inaturalist.org/observations/26405751,https://static.inaturalist.org/photos/40999223/medium.jpeg?1559682343,,,none
Stenoporpia pulmonaria,231577,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Geometroidea,Geometridae,Ennominae,Boarmiini,Stenoporpia,Stenoporpia pulmonaria,Stenoporpia pulmonaria,Native,S4S5 (2017),confirmed,1935-08-16,unrecorded online,SQUAMISH,2016-08-21,elsemikkelsen,ENT991-127398,https://www.inaturalist.org/observations/7437343,https://static.inaturalist.org/photos/9668668/medium.jpg?1502392818,"historical record S. pulmonaria albescens, West Vancouver",,none
Stenotus binotatus,321690,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hemiptera,Heteroptera,Miroidea,Miridae,Mirinae,Mirini,Stenotus,Stenotus binotatus,Stenotus binotatus,,not in CDC records,new 2019,,,SQUAMISH,2019-07-16,benkeen,,https://www.inaturalist.org/observations/28977453,https://static.inaturalist.org/photos/45200332/medium.jpeg?1563330107,,,two-spotted grass bug
Sthereus horridus,361533,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Curculionoidea,Curculionidae,Molytinae,Molytini,Sthereus,Sthereus horridus,Sthereus horridus,Unknown,SU (2017) ,new 2019,,,SQUAMISH,2019-05-27,benkeen,,https://www.inaturalist.org/observations/25927449,https://static.inaturalist.org/photos/40214621/medium.jpeg?1559019847,,,none
Strophosoma melanogrammum,231837,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Curculionoidea,Curculionidae,Entiminae,Brachyderini,Strophosoma,Strophosoma melanogrammum,Strophosoma melanogrammum,Exotic,SNA (2017),new 2019,,,SQUAMISH,2019-04-16,benkeen,,https://www.inaturalist.org/observations/22594928,https://static.inaturalist.org/photos/35008734/medium.jpg?1555477397,,,none
Strymon melinus,50931,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Papilionoidea,Lycaenidae,Theclinae,Eumaeini,Strymon,Strymon melinus,Strymon melinus,Native,S5 (2013,confirmed,1936-06-03,unrecorded online,SQUAMISH,2019-05-03,chrisob,ENT991-141357,https://www.inaturalist.org/observations/24995678,https://static.inaturalist.org/photos/38674618/medium.jpeg?1557671060,historical record West Vancouver,,grey hairstreak
Sunira decipiens,176068,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Noctuoidea,Noctuidae,Noctuinae,Xylenini,Sunira,Sunira decipiens,Sunira decipiens,Native,S4S5 (2017),new 2019,,,SQUAMISH,2019-10-01,benkeen,,https://www.inaturalist.org/observations/33741045,https://static.inaturalist.org/photos/53025678/medium.jpeg?1569996418,,,shield-backed cutworm moth
Sympetrum costiferum,113502,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Odonata,Anisoptera,,Libellulidae,,,Sympetrum,Sympetrum costiferum,Sympetrum costiferum,Native,S5 (2015),confirmed,1998-09-06,R.D. Kenner,SQUAMISH,2018-08-15,sea2skynaturebc,SEM-UBC ODO-5951,https://www.inaturalist.org/observations/15467933,https://static.inaturalist.org/photos/23209039/medium.jpeg?1534388347,,,saffron-winged meadowhawk
Sympetrum pallipes,113521,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Odonata,Anisoptera,,Libellulidae,,,Sympetrum,Sympetrum pallipes,Sympetrum pallipes,Native,S5 (2015),recorded,0000-00-00,,SQUAMISH,,,SEM-UBC ODO-8020,,,,,none
Sympetrum vicinum,68139,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Odonata,Anisoptera,,Libellulidae,,,Sympetrum,Sympetrum vicinum,Sympetrum vicinum,Native,S3S4 (2015),confirmed,1998-08-20,R.D. Kenner,SQUAMISH,2018-11-04,benkeen,SEM-UBC ODO-8032,https://www.inaturalist.org/observations/18102769,https://static.inaturalist.org/photos/27678520/medium.jpg?1541368083,,,Autumn meadowhawk
Sympistis dunbari,452582,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Noctuoidea,Noctuidae,Oncocnemidinae,,Sympistis,Sympistis dunbari,Sympistis dunbari,Native,S3S5 (2017) ,new 2019,,,SQUAMISH,2019-09-03,benkeen,,https://www.inaturalist.org/observations/32093733,https://static.inaturalist.org/photos/50303826/medium.jpeg?1567579101,,,none
Synaphaeta guexi,321461,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Cerambycoidea,Cerambycidae,Lamiinae,Mesosini,Synaphaeta,Synaphaeta guexi,Synaphaeta guexi,Native,S4S5 (2017) ,recorded,1925-08-06,B.S.G.,SQUAMISH,,,SEM-UBC COL-08725,,,,,none
Syngrapha celsa,424121,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Noctuoidea,Noctuidae,Plusiinae,Plusiini,Syngrapha,Syngrapha celsa,Syngrapha celsa,Native,S4S5 (2017),recorded,1935-08-20,unrecorded online,SQUAMISH,,,ENT991-094211,,,historical record West Vancouver,,western conifer looper moth
Syngrapha rectangula,232156,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Noctuoidea,Noctuidae,Plusiinae,Plusiini,Syngrapha,Syngrapha rectangula,Syngrapha rectangula,Native,S4S5 (2017),confirmed,1937-09-07,unrecorded online,SQUAMISH,2019-07-21,benkeen,ENT991-094071,https://www.inaturalist.org/observations/29303033,https://static.inaturalist.org/photos/45726863/medium.jpeg?1563778561,historical record West Vancouver,,salt-and-pepper looper moth
Syngrapha selecta,232157,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Noctuoidea,Noctuidae,Plusiinae,Plusiini,Syngrapha,Syngrapha selecta,Syngrapha selecta,Native,S2S4 (2017),recorded,1935-08-20,unrecorded online,SQUAMISH,,,ENT991-093974,,,historical record West Vancouver,,chosen looper moth
Syrphus opinator,322368,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Diptera,Brachycera,,Syrphidae,Syrphinae,Syrphini,Syrphus,Syrphus opinator,Syrphus opinator,,not in CDC records,recorded,1953-08-18,E. Mason,SQUAMISH,,,SEM-UBC SYR-6599,,,,,none
Tamalia coweni,49046,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hemiptera,Sternorrhyncha,Aphidoidea,Aphididae,Tamaliinae,,Tamalia,Tamalia coweni,Tamalia coweni,,not in CDC records,new 2018,,,SQUAMISH,2018-09-03,judithofsquamish,,https://www.inaturalist.org/observations/16190329,https://static.inaturalist.org/photos/24284072/medium.jpeg?1536024134,,,manzanita leafgall aphid
Tehama bonifatella,232347,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Pyraloidea,Crambidae,Crambinae,Crambini,Tehama,Tehama bonifatella,Tehama bonifatella,Native,SNR (2017),recorded,1934-08-12,unrecorded online,SQUAMISH,,,ENT991-143382,,,historical record West Vancouver,,western lawn moth
Temnoscheila chlorodia,120559,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Cleroidea,Trogossitidae,Trogossitinae,Trogossitini,Temnoscheila,Temnoscheila chlorodia,Temnoscheila chlorodia,Native,S4S5 (2017)  ,new 2018,,,SQUAMISH,2018-09-23,benkeen,,https://www.inaturalist.org/observations/16860105,https://static.inaturalist.org/photos/25462550/medium.jpg?1537759363,,,pine trogossitid beetle
Tetracis cervinaria,232396,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Geometroidea,Geometridae,Ennominae,Ourapterygini,Tetracis,Tetracis cervinaria,Tetracis cervinaria,Native,S4S5 (2017),new 2019,,,SQUAMISH,2019-05-24,benkeen,,https://www.inaturalist.org/observations/25689626,https://static.inaturalist.org/photos/39817295/medium.jpeg?1558726047,,,none
Tetracis jubararia,232399,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Geometroidea,Geometridae,Ennominae,Ourapterygini,Tetracis,Tetracis jubararia,Tetracis jubararia,,,new 2019,,,SQUAMISH,2019-08-28,benkeen,,https://www.inaturalist.org/observations/31667509,https://static.inaturalist.org/photos/49585218/medium.jpeg?1566999954,,,October Thorn
Tetrix subulata,129129,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Orthoptera,Caelifera,Tetrigoidea,Tetrigidae,Tetriginae,Tetrigini,Tetrix,Tetrix subulata,Tetrix subulata,Native,S5 (2012) ,new 2019,,,SQUAMISH,2019-07-18,benkeen,,https://www.inaturalist.org/observations/29096631,https://static.inaturalist.org/photos/45396067/medium.jpeg?1563518983,,,slender groundhopper
Thallophaga hyperborea,232458,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Geometroidea,Geometridae,Ennominae,Lithinini,Thallophaga,Thallophaga hyperborea,Thallophaga hyperborea,Native,S4S5 (2017) ,confirmed,1969-05-31,unrecorded online,SQUAMISH,2016-03-26,elsemikkelsen,ENT991-127918,https://www.inaturalist.org/observations/7437421,https://static.inaturalist.org/photos/9668824/medium.jpg?1502393265,historical record Bowen Island,,northern thallophaga
Thereva fucatoides,346844,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Diptera,Brachycera,Asiloidea,Therevidae,Therevinae,,Thereva,Thereva fucatoides,Thereva fucatoides,Native,S5 (2019),recorded,1969-08-19,J.L. Gordon,SQUAMISH,,,SEM-UBC THE-0348,,,,,none
Tipula,548112,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Diptera,Nematocera,Tipuloidea,Tipulidae,Tipulinae,,Tipula,,Tipula sp.,,genus not in CDC records,new 2018,,,SQUAMISH,2018-09-15,benkeen,,https://www.inaturalist.org/observations/16564559,https://static.inaturalist.org/photos/24945592/medium.jpg?1537043641,,,a genus of flies
Tolype distincta,209785,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Lasiocampoidea,Lasiocampidae,Poecilocampinae,,Tolype,Tolype distincta,Tolype distincta,Native,S4S5 (2017),new 2019,,,SQUAMISH,2019-07-25,benkeen,,https://www.inaturalist.org/observations/29514305,https://static.inaturalist.org/photos/46067336/medium.jpeg?1564069475,,,none
Tortricidia testacea,232759,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Zygaenoidea,Limacodidae,Limacodinae,,Tortricidia,Tortricidia testacea,Tortricidia testacea,Native,SNR (2017) ,new 2019,,,SQUAMISH,2019-06-27,benkeen,,https://www.inaturalist.org/observations/27794003,https://static.inaturalist.org/photos/43282603/medium.jpeg?1561693371,,,early button slug moth
Toxomerus occidentalis,58752,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Diptera,Brachycera,,Syrphidae,Syrphinae,Toxomerini,Toxomerus,Toxomerus occidentalis,Toxomerus occidentalis,,not in CDC records,recorded,1977-06-16,G.G.E. Scudder,SQUAMISH,,,SEM-UBC SYR-7320,,,,,none
Trachykele blondeli,455266,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Buprestoidea,Buprestidae,Buprestinae,Buprestini,Trachykele,Trachykele blondeli,Trachykele blondeli,Unknown,SU (2017) ,recorded,1960-05-09,Bell-Irving,SQUAMISH,,,SEM-UBC COL-26606,,,,,none
Trachypachus inermis,458684,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Adephaga,Caraboidea,Trachypachidae,,,Trachypachus,Trachypachus inermis,Trachypachus inermis,Native,S5 (2017),recorded,1961-05-22,G.J. Spencer,SQUAMISH,,,SEM-UBC COL-17763,,,,,none
Trechus ovipennis,232820,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Adephaga,Caraboidea,Carabidae,Trechinae,Trechini,Trechus,Trechus ovipennis,Trechus ovipennis,Unknown,SU (2017) ,recorded,1962-02-20,G.J. Spencer,SQUAMISH,,,SEM-UBC COL-20993,,, ,,none
Triaenodes baris,232840,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Trichoptera,Integripalpia,Leptoceroidea,Leptoceridae,,,Triaenodes,Triaenodes baris,Triaenodes baris,Unknown,SU (2016),new 2019,,,SQUAMISH,2019-07-21,benkeen,,https://www.inaturalist.org/observations/29227598,https://static.inaturalist.org/photos/45657774/medium.jpeg?1563735228,,,none
Trichocnemis spiculatus spiculatus,321623,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Cerambycoidea,Cerambycidae,Prioninae,Callipogonini,Trichocnemis,Trichocnemis spiculatus,Trichocnemis spiculatus spiculatus,Native,S4S5 (2017) species level,recorded,2002-04-09,"Vanberokel, A.",SQUAMISH,,,SEM-UBC COL-05037,,,historical record Ergates spiculatus spiculatus,,none
Trichodezia albovittata,52943,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Geometroidea,Geometridae,Larentiinae,Asthenini,Trichodezia,Trichodezia albovittata,Trichodezia albovittata,Native,S4S5 (2017) ,recorded,1937-08-17,unrecorded online,SQUAMISH,,,ENT991-103397,,,historical record West Vancouver,,white-striped black moth
