Group,Scientific.name,Taxonomic.level,Common.name ,Hulquminum.name.Thom.2011,Hulquminum.name.Luschim.2021,Alt.Hulquminum.name.Cowichan.dialect.1.Turner.2014,Alt.Hulquminum.name.Cowichan.dialect.2.Turner.2014,Alt.Hulquminum.name.Cowichan.dialect.3.Turner.2014,Alt.Hulquminum.name.Cowichan.dialect.4.Turner.2014,Alt.Hulquminum.name.Cowichan.dialect.5.Turner.2014,Alt.Hulquminum.name.Cowichan.dialect.meaning.Turner.2014,Alt.Hulquminum.name.upriver.Fraser.Turner.2014,Alt.Hulquminum.name.upriver.Fraser.2.Turner.2014,Alt.Hulquminum.name.upriver.Fraser.meaning.Turner.2014,Alt.Hulquminum.name.upriver.Fraser.meaning.2.Turner.2014,Alt.Hulquminum.name.Island.1.Turner.2014,Alt.Hulquminum.name.Island.2.Turner.2014,Alt.Hulquminum.name.Chilliwack.1.Turner.2014,Alt.Hulquminum.name.Chilliwack.1.meaning.Turner.2014,French.name.Thom.2011,Ecosystem.guide.content.Thom.2011,Ecosystem.guide.value.Fd.Thom.2011,Ecosystem.guide.value.Md.Thom.2011,Ecosystem.guide.value.Sp.Thom.2011,Ecosystem.guide.value.Mt.Thom.2011,Ecosystem.guide.value.Tr.Thom.2011,Ecosystem.guide.value.Id.Thom.2011,Turner 2014; Turner & Charlie (2021); Luschim 2021,Curator.notes
Ferns and Allies,Polypodium glycyrrhiza,species,licorice fern,tlu'siip,tl'usiip,tł’əsíip,,,,,(? see also Dryopteris expansa),,,,,,,,,la fougere a la reglisse,"Tlu'siip can be found in wet, mossy areas on rocks and logs, or on tree trunks and branches (usually of ts'alhulhp). Tlu'siip is a good medicine and the root or rhizome has a strong licorice flavour. The preferred plants for use are usually found on ts'alhulhp or kwulala'ulhp trees, and is a good lozenge when found on these trees. The root/rhizome, when growing on a rock, is a good tea. This rock-root/rhizome, mixed with rose hip and wild mint, makes a strong medicinal tea to help in weight gain. ",1,1,1,0,1,0,Thom 2011; Turner 2014; Luschim 2021,
Ferns and Allies,Dryopteris expansa,species,spiny wood fern,,,sthxélem,,,,,(? ident as Blechnum spicant; see also Polystichum),,,,,,,,,,,,,,,,,Turner 2014,
Ferns and Allies,Polystichum munitum,species,western sword fern,,sthxelum,sthxélem,,,,,(? ident as Blechnum spicant; see also Polystichum),,,,,,,,,,,,,,,,,Turner 2014; Luschim 2021,
Flowering Plants,Vaccinium alaskaense,species,Alaska blueberry,,lhew'qím',,,,,,,,,,,,,,,,,,,,,,,Luschim 2021,
Flowering Plants,Leymus mollis,species,American dunegrass,,slhukw'aa'iy,,,,,,,,,,,,,,,,,,,,,,,Luschim 2021,
Flowering Plants,Lysichiton americanus,species,American skunk-cabbage,,ts'a'kw'a',ts’ákw’aʔ,,,,,(also Musqueam) (cf. Proto-Coast-Salish kw’ukw’ ‘skunk-cabbage’),,,,,,,,,,,,,,,,,Turner 2014; Luschim 2021,
Flowering Plants,Arbutus menziesii,species,arbutus,qaanlhp,qaanlhp,qáanłp,,,,,,,,,,,,,,l'arbousier,"A tree with distinctive orange-red bark, qaanlhp is very tolerant of extremely dry areas and is common on dry rockly bluffs throughout southern Vancouver Island and the Gulf Islands. It is a broad leaf evergreen that loves the sun. Qaanlhp leaves are used as a flavour addititve and preservative. As soon as wild game is harvested, the leaves are placed in the gut of the animal. ",1,1,1,1,0,1,Thom 2011; Turner 2014; Luschim 2021,
Flowering Plants,Sagittaria cuneata,species,arumleaf arrowhead,,,sqáwth,sqəәw’théen,sqawítheł,,,"same as name for potato, and Lomatium [?] wild potato (cf. Proto-Salish s-qawts (Indian) potato – Kuipers 2002)",,,,,,,,,,,,,,,,,Turner 2014,
Flowering Plants,Rosa gymnocarpa,species,baldhip rose ,xwiinlhp,xwiinlhp,qél’qəәłp,"qélqəәłp, qél’qəәłp",,,,"(cf. Local Coast Salish elements with limited distribution, incl. Stl’atl’imx, Nlaka’pamux: qal’q ‘wild rose’ – Kuipers 2002)",,,,,,,,,le rosier à fruits nus,"Xwiinlhp is the more subtle of the wild roses, with a smaller leaves, thorns and hips. The thorns are much more numerous but are not as solid and as well established as qel'quhlp. Xwiilhp is found in a wide range of habitats. Xwiinlhp hips are smaller than those of qel'qulhp but are edible as a whole as the seeds are rather small. They have a sweeter taste. The flowers are edible as well. ",1,1,1,1,1,0,Thom 2011; Turner 2014; Luschim 2021,
Flowering Plants,Populus balsamifera ssp. balsamifera,species,balsam poplar,,tsuw'nulhp,tsəәw’iiłp,,,,,,,,,,,,,,,,,,,,,,Turner 2014; Luschim 2021,
Flowering Plants,Lomatium nudicaule,species,barestem desert-parsley,q'uxmin,q'uxmin,q’əәxmín,,,,,,,,,,,,,,le lomatium nudicaule,"A member of the carrot family, q'uxmin grows in open areas, grasslands, ocean frontage and rocky bluffs. It is a small plant with oval-shaped leaves. It develops seed clusters that have a distinctive strong, pleasant smell. Loss of habitat has decimated many of the areas in which it was once harvested. The plant is locally becoming much more scarce because of the way properties are being developed. Most of the plants used today are traded or collected from other areas. Q'uxmin has strong medicinal values, and is said to have strong antibiotic properties. Q'uxmin also has food and spiritual values.",1,1,1,0,1,0,Thom 2011; Turner 2014; Luschim 2021,
Flowering Plants,Lathyrus japonicus,species,beach pea,,tl'ikw'un' or tl'ikw'um,,,,,,,,,,,,,,,,,,,,,,,Luschim 2021,
Flowering Plants,Corylus cornuta,species,beaked hazlenut,p'qw'axw,p'qw'axw,st’thítsəm,st’thitsm,,,,"[cf. Proto-Salish q’ap’xw , q’ap’xw ‘(hazel)nut’ – Kuipers 2002; cf. also q’əpxw , q’əp’xw , q’əpkw , q’əp’kw ’ ‘to crunch (when chewed)’ – Kuipers 2002]",,,,,,,,,le noisetier à long bec,"P'qw'axw prefers moist but well-drained sites. They can also occur on rocky areas that are quite dry as well as in open meadows. P'qu'axw develops a nut encased in a husk that forms a beak-like shaoe, usually in clusters of two or more hanging from the branches. If you listen to the squirrels chattering and fighting in a p'qw'axw tree, they will start chattering when the hazlenuts are ready. If you want a share of the nuts, you have to rush in and get some while you can. P'qw'axw are not that plentiful but you can still find them. ",1,0,1,1,1,0,Thom 2011; Turner 2014; Luschim 2021,Thom (2011) lists Corylus cornuta var. californica
Flowering Plants,Carex rostrata,species,beaked sedge,,,psháyʔ,,,,,sharp grass' [poss. Carex]; tł’ə́tł’ (C. obnupta),,,,,,,,,,,,,,,,,Turner 2014,
Flowering Plants,Acer macrophyllum,species,big leaf maple,"ts'alhulhp, q'um'-unulhp",q'umun'ulhp,ts’áləłp,"qə́mənəłp, q’aməléłp, q’ə́mələłp",,,,paddle tree,,,,,,,,,l'érable grandifolié,"Ts'alhulhp is among the first to sprout and grow after forests have been logged. Ts'alhulhp generally prefer moist or wet areas (such as at or near water sources) but can tolerate some drier areas. There are two different names used for this species: ts'alhulhp is the general name and q'um'unulhp is the name used for the ones that have straight flexible wood ideal for making paddles (sq'umul is the word for paddle). It is used to make toys, tools, masks and whistles. Many parts are medicine, including the sxe'mut (running sap), sxamutus (cambium), and shoots. The leaves were used in steaming pits to flavour deer, seal or porpoise meat. ",1,1,1,1,1,0,Thom 2011; Turner 2014; Luschim 2021,Thom 2011 lists the same Hul'qumi'num name as Turner & Charlie (2021)
Flowering Plants,Oemleria cerasiformis,species,bird cherry,,tth'uxwun',məә́ łxəәl’,skwthəәngíłch,,,,(fruit) (also Prunus emarginata),,,,,,,,,,,,,,,,,Turner 2014; Luschim 2021,
Flowering Plants,Prunus emarginata,species,bitter cherry,,t'ulum'ulhp,st’əә́ ləәm,t’əә́ ləәməәłp,,,,(cherry bark),(tree),,,,,,,,,,,,,,,,Turner 2014; Luschim 2021,
Flowering Plants,Rumex obtusifolius,species,bitter dock,,t'umasu,,,,,,,,,,,,,,,,,,,,,,,Luschim 2021,
Flowering Plants,Populus trichocarpa,species,black cottonwood,tsuw'nulhp,,tsəәw’iiłp,,,,,,,,,,,,,,le peuplier de l'ouest,"Tsuw'nulhp is common in wetlands, riverbeds, and riparian areas. They can grow in gravel bars along rivers and are often among the first to sprout up in disturbed sites. If you can find red tsuw'nulhp roots from an undercut bank, you can brew them to make a shampoo. Tsuw'nulhp's heavy outer bark is soft and has been used to carve soft figures (toys) as it has no slivers; it is fine (ts'i-tsum). The heavy outer bark of an older cottonwood is called qwoonulhp. ",1,1,1,1,1,1,Thom 2011; Turner 2014,Turner (2014) lists Populus balsamifera ssp. trichocarpa
Flowering Plants,Crataegus douglasii,species,black hawthorn,metth'unulhp,metth'unulhp,méts’ənəłp,,,,,(bush),,,,,,,,,l'aubépine noire,"Metth'unulhp is a tall shrub or small tree. It has small blackish ""apples"". Its thorns are 1-2cm in length. Metth'unulhp generally grows in riparian and other wet areas but may be found on rocky slopes as well. The fruits are sometimes eaten in times of need. The taste is bland (tth'ewun) but not offensive. Metth'unulhp wood, if well-cured, can be very useful when you need hard and strong wood, and was valuable for trading. ",1,1,1,1,1,1,Thom 2011; Turner 2014; Luschim 2021,
Flowering Plants,Vaccinium membranaceum,species,black mountain huckleberry,,yey'xum',,,,,,,,,,,,,,,,,,,,,,,Luschim 2021,
Flowering Plants,Lonicera involucrata,species,black twinberry,,shaal'ulhp,,,,,,,xáaləәłp,,(cognate with sháal’əәłp ‘red osier dogwood’ in Cowichan),,,,,,,,,,,,,,Turner 2014; Luschim 2021,
Flowering Plants,Rubus leucodermis,species,blackcap raspberry ,tsulqama',tsulqama',"t’thqw’am’əәʔ, tsəәlqáma, tsəәlqáamaʔ",,,,,(fruit),,,,,,,,,le framboisier noir,"Tsulqama' grows in a wide range of habitats but prefers drier habitat with good drainage. They are found at sea level to mid-elevations especially in areas that have been logged, and are now also occuring in the lower reaches of the valleys. The berries are first red then turn purple or black. Tsulqama' is the term used for both blackcaps and raspberries. Today the name is commonly used for raspberries. They are easy to dry, alone or mixed with salal. ",1,1,1,0,1,1,Thom 2011; Turner 2014; Luschim 2021,
Flowering Plants,Camassia quamash,species,blue camas,speenhw,speenhw,,,,,,,"spéelxw , spéelxw ",q’éq’t’əm sqéwth,"w (cf. píil ‘bury, buried’)",sweet potato',,,,,le petit camas,"Speenhw was at one time very common in open grasslands and p'hwulhp meadows. Today speenhw is not nearly as common and is found mainly on more remote mountain slopes, p'hwulhp meadows and small pockets of rocky grassland. There are two species: common camas (C. quamash) and giant camas (C. leichtlinii). Speenhw are a root crop that has been a traditional staple. Beds of speenhw can be managed (tilling soil, fertilizing, burning) to encourage growth and discourage death camas and other unwanted plants. Extreme caution should be used when harvesting speenhw as death camas–which has cream-coloured flowers–has bulbs that look very much the same, and their ingestion can be fatal. Death camas was used with extreme caution in a mix with other medicines. ",1,0,0,0,1,0,Thom 2011; Turner 2014; Luschim 2021,
Flowering Plants,Sambucus caerulea,species,blue elderberry,"tth'ikwikw, tth'uykwikw",tth'uykwikw,,,,,,,,,,,,,,,le sureau bleu ,"Tth'ikwikw (also pronounced tth'uykwikw) is common to riparian areas and is more tolerant of open sun than its red counterpart (tth'iwuq'). The large hollow stems are used by children as a toy like a pea-shooter. It bears an abundance of blue waxy or powdery looking berries. The berries start out very light coloured and later become blue, and mature later than tth'iwuq'. Tth'ikwikw/tth'uykwikw berries are edible and is more likely than tth'iwuq' to have its berries used for food as the berries have sweeter taste. All parts of this plant have medicinal value. ",1,1,1,1,1,0,Thom 2011; Luschim 2021,
Flowering Plants,Sambucus nigra,species,blue elderberry,,,t’thikwikw,t’thíkwəәkw,,,,"(cf. Proto-Coast-Salish ts’ikw, ts’iwq’ ‘elderberry’ – Kuipers 2002)",,,,,,,,,,,,,,,,,Turner 2014,
Flowering Plants,Vaccinium,genus,blueberries,ye'xum,,,,,,,,,,,,,,,,les bluets ,"The name ye'xum is used as a general name for several species found in different habitats, from ocean side to subalpine to alpine. They also range in size from small dwarf plants of just a few inches to shrubs 2 metres tall. Other species include black huckleberry, Alaskan blueberry and dwarf blueberry. Ye'xum is a species that is often harvested when in the same habitat as other resources. ",1,1,0,0,0,0,Thom 2011,
Flowering Plants,Fragaria virginiana,species,blueleaf strawberry,,stsi'yu,schiʔya,t’íʔləqw əłp,,,,"(‘berry of any kind, wild strawberry’), (strawberry plant)(cf. Central Salish root t’iliqw ‘strawberry’ – Kuipers 2002)",,,,,,,,,,,,,,,,,Turner 2014; Luschim 2021,
Flowering Plants,Vaccinium uliginosum,species,bog blueberry,,maal'sum,mál’səәm,(berries),,,,"(cf. Local Coast Salish elements, with Squamish to Lushootseed: mul’sm, mal’sm ‘blueberry sp.’ – Kuipers 2002)",,,,,,,,,,,,,,,,,Turner 2014; Luschim 2021,
Flowering Plants,Vaccinium oxycoccos,species,bog cranberry,qwum'tsal's,qwum'tsal's,qwəәm’tsáls,,,,,also Musqueam (i.d. as Viburnum) (cf. Local Coast Salish terms with Stl’atl’imx and/or Nlaka’pamux elements: qwmchul’s ‘cranberry sp.’ – Kuipers 2002),,,,,,,,,l'airelle canneberge ,"Qwum'tsa'ls is a low, slender creeping evergreen vine of peat bogs. The flowers are small and pink. The name qwum'tal-s tells you what happens to you when you eat something sour and your eyes squint. If you pick the berries after autumn frosts, the cold weather will sweeten them. ",1,1,1,1,1,0,Thom 2011; Turner 2014; Luschim 2021,
Flowering Plants,Opuntia fragilis,species,brittle pricklypear,,thuthuhw,,,,,,,,,,,,,,,,,,,,,,,Luschim 2021,
Flowering Plants,Bromus carinatus,species,bromegrass,,,,,,,,,téqeł,,(cf. Squamish) – fruits get into berries,,,,,,,,,,,,,,Turner 2014,
Flowering Plants,Cirsium vulgare,species,bull thistle,,,xəw’xəwíłp,xəw’xəw’ínłp,,,,,,,,,,,,,,,,,,,,,Turner 2014,
Flowering Plants,Cornus canadensis,species,bunchberry,kwii-kwi't-xulhp,,,,,,,,,,,,,,,,le cornouiller du Canada,"Kwii-kwi't-xulhp is a small plant that lives in moist mixed and coniferous forests. It has flowers that resemble the much larger dogwood tree. After flowering, it develops a small cluster of berries that form in the center of the plant. Kwii-kwi't-xulhp is a food item although it's very bland–a food that can be used when available and when nothing else is...a tide-you-over kind of food. ",1,1,1,0,0,0,Thom 2011,
Flowering Plants,Viburnum opulus,species,bush cranberry,,,,,,,,,"kwúkwəәls, kwúkwəәwəәls",,,,,,,,,,,,,,,,Turner 2014,
Flowering Plants,Mentha canadensis,species,Canada mint,,stul'a'tuxw,,,,,,,,,,,,,,,,,,,,,,,Luschim 2021,"Luschim (2021) lists Mentha arvensis, though this name is commonly misapplied to Mentha canadensis in SW BC"
Flowering Plants,Cirsium arvense,species,Canada thistle,,,xəw’xəwíłp,xəw’xəw’ínłp,,,,,,,,,,,,,,,,,,,,,Turner 2014,
Flowering Plants,Frangula purshiana,species,cascara,q'ey'xulhp,q'ey'xulhp,q’əy’xəłp,,,,,"(cf. Local Coast Salish elements, with Squamish to Lushootseed: q’ayx ‘cascara’ – Kuipers 2002)",,,,,,,,,la cascara,Q'ey'xulhp is a small to medium-sized tree generally found at lower elevations in riparian areas or shaded mixed or coniferous forests. Q'ey'xulhp can be used a medicine alone or mixed with many ingredients. Caution must be exercised as it can be a very strong laxative. ,0,1,0,1,1,0,Thom 2011; Turner 2014; Luschim 2021,
Flowering Plants,Typha angustifolia,species,cattail,stth'e'qun,"stt'e'qun (plant), slhup-nuts (fibrous edge of the leaf)",stł’áʔqəәn,st’théʔqəәn,sáalats,"sáalets, saləәʔəәts",,(mat) [cf. Proto-Coast-Salish suliʔch (cattail wall-)mat – Kuipers 2002],,,,,,,,,ka quenouille à feuilles larges ,Stth'e'qun grows in marshy wet areas and places with slow-moving or still water. The brown fluffy part at the top of the plant is sthxa'ya'qe. It is mixed with mountain goat wool and cedar bark for insulation. ,1,1,1,1,1,1,Thom 2011; Turner 2014; Luschim 2021,"Only the native Typha latifolia is assigned the Hul'qumi'num name in the source references; however, Florence James calls the introduced T. angustifolia present at Laughlin Lake (which she collected with her family when young) by the same name"
Flowering Plants,Typha latifolia ,species,cattail,stth'e'qun,"stt'e'qun (plant), slhup-nuts (fibrous edge of the leaf)",stł’áʔqəәn,st’théʔqəәn,sáalats,"sáalets, saləәʔəәts",,(mat) [cf. Proto-Coast-Salish suliʔch (cattail wall-)mat – Kuipers 2002],,,,,,,,,ka quenouille à feuilles larges ,Stth'e'qun grows in marshy wet areas and places with slow-moving or still water. The brown fluffy part at the top of the plant is sthxa'ya'qe. It is mixed with mountain goat wool and cedar bark for insulation. ,1,1,1,1,1,1,Thom 2011; Turner 2014; Luschim 2021,
Flowering Plants,Fritillaria affinis,species,chocolate lily,,lhasem,stł’əәlts’əә́ ləәqw’əәs,,,,,(also Fritillaria affinis),,,,,,,,,,,,,,,,,Turner 2014; Luschim 2021,
Flowering Plants,Prunus virginiana,species,choke cherry,,,,,,,,,łəәxwłəә́ xw,,"‘spit out many times’ (see also P. emarginata, P. pensylvanica) (cognate with Interior Salish)",,,,,,,,,,,,,,Turner 2014,
Flowering Plants,Streptopus amplexifolius,species,clasping twistedstalk,,,,,,,,,xəәxq’əәléełp,st’thíms təә éłqəәy,"(poss. fr. xəә́ y-xəәq’-əәls ‘scratching’: “scratching tree, or tree to alleviate scratching”)(also S. lanceolatus, Maianthemum stellatum, M. racemosum)","‘the snake’s berry’ (also for Disporum, Maianthemum stellatum, M. racemosum, Streptopus lanceolatus)",,,,,,,,,,,,,Turner 2014,
Flowering Plants,Galium aparine,species,cleavers,,,xw ə́ m’kw ’eyathən,,,,,,,,,,,,,,,,,,,,,,Turner 2014,
Flowering Plants,Cirsium brevistylum,species,clustered thistle,,xuw'xuw'iinlhp,xəw’xəwíłp,xəw’xəw’ínłp,,,,,,,,,,,,,,,,,,,,,Turner 2014; Luschim 2021,
Flowering Plants,Ribes divaricatum,species,coastal black gooseberry,,,t’eməәxw,t’áamxwełp,,,,(bush) (cf. Proto-Coast-Salish t’aməәxw gooseberry’; Proto-Salish t’am-; extension –xw is Coast-Salish – Kuipers 2002),,,,,,,,,,,,,,,,,Turner 2014,
Flowering Plants,Fragaria chiloensis,species,coastal strawberry,,stsi'yu,schiʔya,t’íʔləqw əłp,,,,"(‘berry of any kind, wild strawberry’), (strawberry plant)(cf. Central Salish root t’iliqw ‘strawberry’ – Kuipers 2002)",,,,,,,,,,,,,,,,,Turner 2014; Luschim 2021,
Flowering Plants,Petasites frigidus var. palmatus,species,coltsfoot,,sq'une'yux,,,,,,,,,,,,,,,,,,,,,,,Luschim 2021,
Flowering Plants,Xerophyllum tenax,species,common beargrass,,,"ch’áxəәy’, t’thexəәy’",,,,,"[white grass used for basketry imbrication, poss. Xerophyllum (El60)] (cf. also Carex, Phalaris, Phragmites) [cf Proto-Salish ts’ayx, ts’uyx ‘fireweed’ – Kuipers 2002)]",,,,,,,,,,,,,,,,,Turner 2014,
Flowering Plants,Arctium minus,species,common burdock,sexum,,,,,,,,xəә́ yxəәməәls,,‘grabbing continuously’,,,,,,la grande bardane/la bardane mineure,"Sexum grows in both shaded and open mixed forests. The flowers resemble and can be easily mistaken for thistles, but can be distinguished by their extremely large leaves and hooked bracts. It has an extremely deep taproot that can extend down 30 cm. Sexum is an introduced species that was not commonly utilized in the past but its food and medicinal properties have more recently been utilized. Its fibres can also be used as a kind of strong twine. ",1,1,0,1,0,0,Thom 2011; Turner 2014,
Flowering Plants,Heracleum maximum,species,common cow parsnip,"saaqw',yaala'","saaqw' (flowering plants, or plants with one stalk and one leaf), yaala' (non-flowering leafy plants or leaf stalks)",,yaalaʔ,,,,,(edible stems),,,,,,,,le berce laineuse,"Yaala'is found in shaded riparian areas such as flood plains, stream banks, moist clearings and roadsides. Yaala' is the name for the plant in its mature form; next to it growing a plant with one leaf (from same plant) is the saaqw'. When the plant matures from the saaqw' or immature form, it will develop a husk or casing that envelopes the top of the main stem. The main stem of yaala' can be eaten once the stem is semi-mature enough to be peeled. It must be eaten in less than two weeks from the time it matures or it will be too fribrous to eat. It can be eaten cooked or raw and has sometimes been called ""native rhubarb"". Care must be taken not to mistake saaqw' for sq'une'yux (Palmate Coltsfoot), which is not edible and is toxic. ",1,1,0,0,0,0,Thom 2011; Turner 2014; Luschim 2021,Thom (2011) lists as Heracleum lanatum
Flowering Plants,Taraxacum,genus,common dandelion,,,səәxwsəәxwʔéʔł,,,,,,,,,,,,,,,,,,,,,,Turner 2014,
Flowering Plants,Plantago major,species,common plantain,sxu'enhween,sxu'enhween,,,,,,,pipəәhaméeləәws,słéwəәls te pípəәháam,‘frog leaf’,‘frog’s mat’ (also P. lanceolata) (cf. Central Salish root s-ław-in bedmat’ – Kuipers 2002),,,,,le plantain majeur,"Sxu'enhween is a common non-native plant that grows in moist to somewhat dry areas especially with low grassy cover, such as alongside trails and roads. The uses of sxu'enhween are generally medicinal in nature. It is often used as a children's game as well: when you pull the leaves off the plant, it is said to forecast how many children you will have. ",0,1,0,0,1,0,Thom 2011; Turner 2014; Luschim 2021,
Flowering Plants,Phragmites australis,species,common reed grass,,,ch’áxəәy’,,,,,"white grass used for basketry imbrication, poss. Xerophyllum (El60) or Phalaris arundinacea [cf. also Proto-Salish ts’ayx, ts’uyx ‘fireweed’ – Kuipers 2002)]",,,,,,,,,,,,,,,,,Turner 2014,
Flowering Plants,Juncus effusus,species,common rush,,"p-shey' (""sharp grass"")",,,,,,,,,,,,,,,,,,,,,,,Luschim 2021,
Flowering Plants,Rumex acetosella,species,common sheep sorrel,,t'umasu,,,,,,,t’ét’əәts’əәm ts’əәsəә́ məәləәp,,"(a two-word name), ‘sour-weed’",,,,,,,,,,,,,,Turner 2014; Luschim 2021,
Flowering Plants,Symphoricarpos albus,species,common snowberry,"p'up'q'iyasulhp, p'up'q'iyas, t'ets'ulhp","p'up'q'iyaasulhp (bush), p'up'q'iyaas (berries), t'ets'ulhp (straight stem suitable for fish spreader)",pəәpq’eyásiłp,,,,,,,,,,,,,,la symphorine blanche,"P'up'q'iyas grows in open dry to moist grasslands and open forests, ravines and disturbed areas. It bears white waxy berries that are an important winter food source for quail, pheasant, and grouse, but are considered poisonous to humans. P'up'q'iyasulhp is the name for the plant itself and p'up'q'iyas refers to the berries. Both the plant and berries have many uses. If you can find straight-stemmed plants, they are called t'e-ts'ulhp and are used as spreaders or holders for drying or smoking meat and fish. ",0,1,1,1,0,0,Thom 2011; Turner 2014; Luschim 2021,
Flowering Plants,Perideridia gairdneri,species,common yampah,,,sháwəәq,,,,,"(wild carrot, or garden carrot)",,,,,,,,,,,,,,,,,Turner 2014,
Flowering Plants,Achillea millefolium,species,common yarrow,,t'uliqw'ulhp,tł’əlíqw’əłp,,,,,"(cf. Proto-Coast- Salish tł’əl ‘to crackle, pop’, ‘a plant providing berries or seeds’ – Kuipers 2002; see also Arctostaphylos, Pisum, Viburnum, Sambucus…)",,,,,,,,,,,,,,,,,Turner 2014; Luschim 2021,
Flowering Plants,Rubus laciniatus,species,cutleaf blackberry,,"ayum sqw'iil'muhw (""ripens late"")",,,,,,,,,,,,,,,,,,,,,,,Luschim 2021,
Flowering Plants,Rubus laciniatus,species,cutleaf blackberry,,,,,,,,,sqw’óolməәxw,sqw’óolməәxwəәłp,(berries),"(vine) (some use kw’ instead of qw’ (also used for trailing blackberries, R. ursinus), (white man’s blackberries) (also Himalayan blackberries, R. armeniacus)",,,,,,,,,,,,,Turner 2014,
Flowering Plants,Toxicoscordion venenosum,species,death camas,,"to'p'uq'tu sp'eq'um-s st'e 'ukw' speenhw' 'i qul-lhulh tth'ux-tun (""like speenhw' but bad"")",,,,,,,,,,,,,,,,,,,,,,,Luschim 2021,
Flowering Plants,Oplopanax horridus,species,devils club,qwa'pulhp,qwa'pulhp,qwáʔpəәłp,,,,,,,,,,,,,,le bois piquant,"Qwa'pulhp is a 1 - 3 m tall shrub with yellow stining spines 5-10 mm long on both its stalk and leaves. Its grows in wet moist stream banks and rich moist forests. It has clusters of bright red berries.Qwa'pulhp has multiple uses. The berries, stalks, bark, roots and needles are all used. Caution should be exercised as some people may have severe allergies to it–even a minor scratch can cause a reaction in those who are sensitive to it. This plant is also an indicator species for the presence of Indian Hellebore and other plants.",0,1,1,1,1,1,Thom 2011; Turner 2014; Luschim 2021,
Flowering Plants,Prunus domestica,species,domesticated plum,,plems,,,,,,,,,,,,,,,,,,,,,,,Luschim 2021,
Flowering Plants,Fragaria ,genus,domesticated strawberry,,,schiʔya,t’íʔləqw əłp,,,,"(‘berry of any kind, wild strawberry’), (strawberry plant)(cf. Central Salish root t’iliqw ‘strawberry’ – Kuipers 2002)",,,,,,,,,,,,,,,,,Turner 2014,
Flowering Plants,Berberis nervosa,species,dull Oregon grape,suniiulhp / lulutth'sulhp,sunii'ulhp,selíy,,,,,"also Musqueam (plant) (cf. Local Coast Salish terms with Stl’atl’imx and/or Nlaka’pamux elements: səәləәy, səәnəәy ‘lowbush Oregon grape’ – Kuipers 2002)",,,,,,,,,le mahonia a nervures saillantes/le mahonia a feuilles de houx,"Suniiulhp (dull Oregon grape) is particularly common in second-growth closed-canopy forests of ts'sey'. Lulutth'sulhp (tall Oregon grape) is found in drier, more open and often rocky sites than suniiulhp. Both plants have yellow flowers and blue berries. Suniiulhp and lulutth'ulhp berries are tart and sour and not often eaten. The berries are used in a children's game, seeing who can put the most berries in their mouth without responding to the sour taste and making a face. The plant's bark and berries have medicinal values. Suniiulhp has medicinal and spiritual uses, including the green flower for stomach trouble, and the roots for yellow paint. ",1,1,1,0,0,0,Thom 2011; Turner 2014; Luschim 2021,Thom (2011) and Turner (2014) list Mahonia; recognized as Berberis
Flowering Plants,Cirsium edule,species,edible thistle,,,xəw’xəwíłp,xəw’xəw’ínłp,,,,,,,,,,,,,,,,,,,,,Turner 2014,
Flowering Plants,Zostera marina,species,eelgrass,,,chəәləәm,,,,,,,,,,,,,,,,,,,,,,Turner 2014,
Flowering Plants,Vaccinium ovatum,species,evergreen huckleberry,,yey'xum',,,,,,,,,,,,,,,,,,,,,,,Luschim 2021,
Flowering Plants,Veratrum viride,species,false hellebore,,qwun'ulhp,,,,,,,,,,,,,,,,,,,,,,,Luschim 2021,
Flowering Plants,Calypso bulbosa,species,false lady slipper,,"ti'tuqw-el'tun, ti'tuqw-el'tun'",tiʔtəqw ’əl’tən’,,,,,(a good luck flower),,,,,,,,,,,,,,,,,Turner 2014; Luschim 2021,
Flowering Plants,Maianthemum racemosum ssp. amplexicaule,species,false Solomon's-seal,,,,,,,,,xəәxq’əәléełp,st’thíms təә éłqəәy,"(poss. fr. xéy-xəәq’-əәls ‘scratching’: “scratching plant, or plant to alleviate scratching”) (M. racemosum, M. stellatum, Streptopus amplexifolius, S. lanceolatus (roseus))","‘the snake’s berry’ (M. racemosum, M. stellatum, Disporum spp., Streptopus amplexifolius, S. roseus)",,,,,,,,,,,,,Turner 2014,
Flowering Plants,Crataegus columbiana ,species,fireberry hawthorn,,,méts’ənəłp,,,,,(bush),,,,,,,,,,,,,,,,,Turner 2014,
Flowering Plants,Chamaenerion angustifolium,species,fireweed,xats'et,,,,,,,,xéts’ət,,,,,,,,l'epilobe a feuilles etroites,"Xáts’et is often found in logging sites, burned areas, roadsides, river bars and meadows. It quickly colonizes disturbed areas, and grows and flowers as long as there is open space and light. The veins on the leaves form circular loops and join together inside the outer leaf margins, a unique feature that makes the plant easy to identify in all stages of growth. Xáts’et fluff is used a filler and bedding and also is woven into cedar clothing or combined with mountain goat wool to fill the weave and fibres. The plant is also used as seasoning for meat: hunters fill the internal cavity of a freshly caught animal with xáts’et to improve its flavour and keep it fresh. If going a long distance, this seasoning is changed several times. ",1,1,0,1,0,1,Thom 2011; Turner 2014,listed as Epilobium angustifolium
Flowering Plants,Hordeum jubatum,species,foxtail barley,,teeqe'lh,,,,,,,,,,,,,,,,,,,,,,,Luschim 2021,
