Group,Scientific.name,Common.name ,Hulquminum.name,French.name,Ecosystem.guide.content,Ecosystem.guide.value.Fd,Ecosystem.guide.value.Md,Ecosystem.guide.value.Sp,Ecosystem.guide.value.Mt,Ecosystem.guide.value.Tr,Ecosystem.guide.value.Id
Plants,Daucus pusillus,wild carrot,Shewuq,la carotte sauvauge,"Shewuq is the indigenous wild carrot which is smaller and more subtle than the introduced Daucus carota. There are several kinds, but the main one is found along the beach. You can also find shewuq in open fields or grasslands or in dry rocky sites. Shewuq is the Hul'q'umi'num' word used for the modern carrot. It comes from the name for the indigenous carrot that is much smaller but very flavourful. It is used as a food but also has medicinal value as well. If it is harvested too late, the plant becomes too hard, like wood. ",1,1,1,1,1,1
Plants,Asarum caudatum,wild ginger,Tth'uletth'ule'/ Tth'uletth'ule'een,l'asaret caude,"Tth'uletth'ule'een generally occurs in well-shaded understory with leafy ground. You usually notice the heart-shaped leaves first. In the spring, if you move aside the ground cover, you'll see the unique flowers: distinct hairy cup-shaped, brown-purple to green-yellow flowers which end in three long gracefully curved lobes. The plant remains green year-round. Tth'uletth'ule'een has strong medicinal and spiritual values.",1,1,1,1,1,0
Plants,Fragaria vesca,woodland strawberries,Stsi'yu,le fraisier,"The habitat in which stsi'yu is found can vary from sandy or rocky seashore to mountain slopes. Most occur in rocky or gravelly areas and on beaches (in areas of salt spray) but they also grow in woodlands, in areas that get some sun and are drier at least some of the time. The plants are short, and stay low to the ground. The plants that grow by the beach have waxy leaves. You can smell the scent when they are growing. There are four different species of strawberries found in the Hul'q'umi'num' area. The species differ by habitat and appearance and each have their own Hul'q'umi'num name (e.g., the tall ones with dangling fruit are called st'i'luqw). The leaves and vines can be traded for medicine. The leaves make a good tea. The vine is good for treating diarrhea. ",1,1,1,0,1,0
Plants,Callitropsis nootkatensis,yellow cedar (nootka cypress),Pashaluqw,le cyprès de nootka,"Pashaluqw is most frequently found at higher elevations on Vancouver Island. It prefers rocky moist areas. The father north you go, the lower down in elevation pashaluqw grows. Pashaluqw is considered one of the finer fibre materials. The pounded bark is softer and makes finer strands than xpey'. It makes a wooly fabric that is waterproof after it is spun and knit. Using pashaluqw, especially for clothing, is a sign of that a family had the ability to travel high into the mountains to collect the bark. The wood is a preferred choice for carving today as it is easy to carve yet still holds detail.",0,1,1,1,1,0
Marine Life,Clinocardium nuttalli,basket cockle,Stl'ula'um,la coque de nuttall,"Stl'ula'um can be found in sand-gravel at or near the surface, in sheltered waters such as the upper reaches of eelgrass beds or seaweed beds. They travel with the tide like xi hwa. Stl'ula'um is a favourite food by many and is dried over the fire or above the woodstove. At the right time of year, it can be much easier to harvest. Remove white tip and the sqeelux from the tummy, and squeeze out sqeelux before or after boiling. The siphon has often been used as a soother or pacifier. ",1,1,1,0,1,1
Marine Life,Mytillus edulis,bay mussel (blue mussel),Lhew'qum',la moule bleue,"Lhew'qum' is a mid-tidal inhabitant of gravely beaches in sheltered waters, often where freshwater and seawater meet. Lhew'qum' need rock or solid objects to anchor themselves to. They are small–only up to 10cm in length–and usually occur in colonies that can blanket areas of beach. There are certain cultural restrictions to lhew'qum' for younger people in their child-bearing years. Lhew'qum' cleanses the ocean (as do prawns). In the past they have been transplanted, as they were part of the system that cleansed the water. Lhew'qum' is also used for bait. ",1,1,1,1,1,0
Marine Life,Raja binoculata,big skate,Q'eq'o',la raie biocellee,"Q'eq'o' can be found in the sand or mud on the seafloor, buried with just their eyes showing. Q'eq'o' are most commonly harvested in the flats or estuaries of river mouths, flat bays or shallow areas. Q'eq'o' can sometimes be caught and fished at night. Q'eq'o' are often by-catch or caught while crabbing or fishing for other fish in the flats. Q'eq'o' are slow moving and can be caught with a crab rake or by hook and line. Q'eq'o' can sometimes be caught at night, using a spear or gaff, in places such as Clam Bay (Penelakut Island) and Shell Beach (Stz'uminus First Nation). You need to cut them up immediately after harvesting, using a spear. ",1,1,1,0,1,0
Marine Life,Katharina tunnicata,black katy chiton,Xulum',le chiton katharina tunicata,"Xulum' can be up to 10cm in length. They are the easiests of the chitons to find as they are not light-sensitive and so can often be found in plain sight clinging to the rocks, especially in the mid-tidal zone. Xulum' is a delicacy that has been considered scarce in many areas since the 1940s and 1950s. It is important some of our people have travelled great distances to get them and made sure to bring them back to share with Elders who could not travel as far. ",1,1,1,0,1,0
Marine Life,Sebasttes melanops,black rockfish,Syenyehw,le sebaste noir,"Syenyehw are commonly found swimming in schools off of reefs in shallower water, as well as in more open water. They are plentiful at the bluffs area of Montague Harbour (Galiano Island). Syenyehw have characteristics that are very recognizable to fishermen who are trying to catch them: when schooling near the surface, you can recognize its tail flip. There are 3 different species of syenyehw. These fat fish are very good eating although rather bony. There are stories relating to these fish as well as to practical cultural uses. ",1,1,0,0,0,0
Marine Life,Fucus gardneri,bladderwrack,Qw'aqwuqw,le fucus vesiculeux,"Qw'aqwuqw is a common algae that occurs high in the intertidal zone. Mature qw'aqwuqw form small bulbous bladders that float when the tide comes in. These bladders ""pop"" when stepped on. The inside fluid of the qw'aqwuqw can be used as a basic salve. The plant also has special cleansing uses that can be particular to the user. ",1,1,1,1,0,1
Marine Life,Nereocystis,Bull kelp,Q'am' ,neurocystis de lutke,"Q'am'  is found in rocky areas just offshore at depths of 21 metres or more, and on offshore reefs. If you are looking for reefs for collecting resources or as a navigational aid, q'am' is an important indicator. Q'am'  is also an important habitat for fish and other marine organisms. One of the practical uses of q'am' is to use the hollow stock steaming wooden hooks, bows and hoops. The shuyutun or leaf portion is used to line your canoe or container, and cover to keep your catch cool and fresh, especially in the summer. It is also a place to anchor or tie up and lets you know where to spear fish. It has been used as a foghorn in the past. Q'am'  is also very spiritual; children are told to keep their hands in the canoe for protection from q'am'. ",1,1,1,1,0,1
Marine Life,Saxidomus giganteus,butter clams,S-axwa',la palourde jaune,"S-axwa' is one of the more sizeable clams, and if you know where to harvest them, they can be plentiful. S-axwa' is one of the sweeter clams. Because they live farther down the beach, they must be harvested at a lower tide. They are also buried deeper than other clams–usually deeper than 25 or 30 cm. S-axwa' is a preferred shellfish–easy to dry, large and tasty. Those harvested in some areas are sweeter in taste than others. Fresh s-axwa' have been traded to the Interior and are an extremely valuable trade item. Shellfish are valuable to communities that do not readily have access to the ocean. If you hang a sack/bucket of s-ts'eyhw for 2-3 days, the clams clean themselves. S-ts'eyhw s-axwa' (dried butter clams) are also an important food for winter stores. S-ts'eyhw s-axwa' can be either smoked by putting them on long flexible skewers above a fire or in a smokehouse. In more recent times, they are often dired above wood stoves or in the oven. ",1,1,1,1,1,0
Marine Life,Oncorhynchus keta,chum salmon,Kw'a'luhw,le saumon keta ,"Kw'a'luhw move into the river systems in the fall. They will have already developed the tiger striping that easily identifies them. After the striping appears, Kw'a'luhw start to develop spawning characteristics: hooked nose, dark colour and enlarged teeth. Spawning usually occurs in the main channel of rivers and lower side channels. Kw'a'luhw are considered suntl'e (eldest) of the salmon species. They are called kw'a'luhw in their tiger-striped stage or as their appearance changes coming into the river system. They are called xi'le'ts when their scales start coming off–the time when they are ready to be made into a real delicacy. While not as rich as other salmon, they are one of the preferred species for smoking. ",1,1,1,0,1,0
Marine Life,Oncorhynchus kisutch,coho salmon,The'wun,le saumon coho,"The'wun travel back to the original spawning bed from which they emerged. There are three runs of the'wun, in December, March and April. It used to be very important, in March/April when we had runs in our creeks and rivers; those runs are becoming extinct. The'wun run high up into the side channels or the upper reaches of the river system–Shaw Creek above Lake Cowichan for example. They were always abundant on some of the Gulf Islands such as Lyackson, Penelakut, North Pender and other islands. This makes the'wun an important resource species during winter months when waters are high and it is harder to catch fresh salmon. The'wun is one of the richer salmon species and if smoked, it is recommended it be cut thinly to allow for curing. If you catch the'wun when it is leaner, it is easier to cure. ",1,1,1,0,1,0
Marine Life,Cancer magister,dungeness crab,Ey'x,le crabe dormeur,"Ey'x is generally found in much deeper water than kwakwatl'shun. If you are trapping ey'x, you can most often catch them from 30 to 60 metres. The 'hot spots' differ from season and area. Ey'x will also follow the ride into estuaries and bays and are often collected in the shallows before they get to the eelgrass beds. Ey'x is an important food species often harvested with the traditional 3-pronged spear. Since the 1950s, metal rakes have been used to catch them live. Some Elders have harvested them by walking along the beach on a low tide and stepping ('umutsun) on it barefoot, then grab it and place them in a basket or canoe. Today they are both trapped and raked. ",1,1,1,0,1,0
Marine Life,Parophrys vetulus,english sole,Lhumuq'e',le carlottin anglais,"Lhumuq'e' is generally found in areas with a flat sandy bottom, and most easily fished for from the beach. Lhumuq'e' is generally considered to be of a harvestable size if it is the size of an adult's foot. Compared to other flatfish species, lhumuq'e' can be found much higher up in the intertidal zone or in much shallower water. Lhumuq'e' is sometimes referred to as puli'hwus, meaning light-coloured head or hair. Lhumuq'e' are often caught with a spear or by wading barefoot in the shallows and catching them by holding them down with your toes. Once caught, they are sometimes used as bait to catch larger fish. ",1,1,0,1,0,0
Marine Life,Thaleichthys pacificus,eulachon,Shwi'wi,l'eulakane,"Shwi'wi lives in the ocean but returns to its rivers or stream of origin to spawn. Shwi'wi seem to respond negatively to pollution, and as a result are in steep decline in most areas. Shwi'wi were once a very important trade species, imported into Hul'q'umi'num territory from other areas although at one time they were common here. They used to be abundant north of us, and there were also some in Cowichan creeks and rivers and other places, and in the vicinity of Penelakutand on the Fraser River. Shwi'wi are rendered down into a rich grease (eulachon oil–tl'l'nu). Trade corridors across Vancouver Island and the Mainland are referred to as grease trails–a name resulting from the greasy stain often left behind on the ground. ",1,1,1,1,1,0
Marine Life,,fish eggs (roe),T'emkw',les oeufs de poisson,"T'emkw' is commonly harvested from salmon during salmon harvest. It is also harvested during or after spawning using a rake or three-pronged spear. T'emkw' is a special food that can be prepared by boiling, drying, smoking or squishing. When dried, it is called spa' and can be made from the eggs of the salmon species, kw'suts, qwtaythun, etc. It can be made into butter by mixing with oil. Lingcod roe is xuy-xuytl'; herring roe is ts'umush. ",1,1,1,0,1,0
Marine Life,Panopea generosa,geoduck clam,Pun'eq',la panope du pacifque,Pun'eq' is the largest clam (up to 22 cm and 3.6 kg). It is also one of the most difficult to harvest because their burrows can be 1.2 metres below the surface. They occur in subtidal beaches in flat sandy areas. Its siphon in relation to the size of its shell is so large that it cannot be retracted into the shell. These clams turn green after April. Pun'eq' must be harvested during the lowest tides–generally in January. The word for January is named for the harvest of pun'eq'. They can also be harvested during the lowest summer tides if you know where to harvest them. You can learn to find them by the shape of the siphon hole or dimple left behind in the sand. ,1,1,1,1,1,0
Marine Life,Balanus nubilis,giant barnacle,Qumine',la bernache geante,"Qumine' is harvested in certain swift-flowing waters at extreme low tides where they can be found within a harvestable depth. They often form large colonies, making it easier to find and harvest them. Qumine' is considered a real delicacy and very tasty. They are roasted by the fire and are easier to pull apart after cooking. Roasting or steaming qumine' makes it easier to separate the shell from the bottom to draw out the soft meat from within. ",1,1,1,0,1,0
Marine Life,Mytilus californianus,giant mussel,Lhew'qum'u,la moule californienne,"Lhew'qum'u are found on the west coast of Vancouver Island as well as the North Coast. Lhew'qum'u prefers rocky areas exposed to the surf. At sizes up to 15-20cm, they are much larger than lhew'qum'. Lhew'qum'u is a sought-after food that is not common as lhew'qum' but was preferred for its taste. Do not eat the red ones; they are poisonous. ",1,1,1,1,1,1
Marine Life,Octopus dofleini,giant pacific octopus,Sqi'mukw,la pieuvre geante du pacifique,"Sqi'mukw can be found in dens in rocky areas that provide some protection, in areas where there is an abundance of kelp and foods like crab. The length of their body plus their longest arm can be up to 5 metres. Females live up to 3 years and lay eggs and aerate and protect them until they are about to hatch. Sqi'mukw is a preferred delicacy but you must know how to cook it. The preferred size for food is usually the smaller ones, as opposed to full-sized. Sqi'mukw is featured in many of our stories. The most common way of catching sqi'mukw is tradtionally to use a gaff. ",1,1,1,1,1,0
Marine Life,Pantinopecten cauronus,giant pacific scallop,Kwuneem'mun',le peigne geant du pacifique,"Kwuneem'mun' live in deep waters in areas with a soft bottom. They can be harvested in shallower waters if you know how and where to harvest them. The shells can also be collected after storms in areas where their habitat is exposed nect to open shores or beaches. They can be up to 30 cm across. Kwuneem'mun' is a highly-valued item for cultural use. The shell has great significance to some and is one of the harder species to collect. The shell was collected in special areas and was important for use in regalia, and was traded for. Kwuneem'mun' is also eaten as a food and is thought of as a delicacy. ",1,1,1,1,1,0
Marine Life,Parastichopus californicus,giant red sea cucumber,Thikwt,le concombre rose,"Thikwt is a common species that occurs in a wide range of habitats. You will generally find higher concentrations of thikwt if you search in moderate current areas with solid bottoms as opposed to low-current with soft bottoms. Thikwt can be found as deep as 250 m but also as shallow as the intertidal zone. Thikwt is usually cleaned then eaten whole in stews or as a stock base. On the inside, there are 5 bands of meat that are good lightly fried in butter. They can be harvested by rake or 3-pronged spear and also by diving. Thikwt is considered by many to be a delicacy. ",1,1,1,1,1,0
Marine Life,Strongylocentrotus droebbachiensis,green sea urchin,Skw'itth'i',l'oursin vert,"As little as 30 to 40 years ago, skw'itth'i' were common and plentiful enough that they could be found on rocky shores and in kelp beds in many areas in the Gulf Islands. Their diet is primarily kelp and other seaweeds. Skw'itth'i' was already getting scarce in the 1940s and were harvested by hand on low tides. Today it is a rare delicacy. To harvest skw'itth'i' today, you must travel to distant areas that have fast-moving waters. ",1,1,1,1,1,1
Marine Life,Cryptonchiton stelleri,gumboot chiton,Ukws',le chiton geant de pacifique,"Ukws' is a subtidal species found in rocky areas. They are the largest of the chitons. A large 'ukws' can be up to 35 cm long. There are specific cultural teachings about 'ukws' and when they are safe to eat, particularly in regards to age. Special care must be taken when preparing 'ukws' for cooking as they can be tough if cooked improperly. ",1,1,1,0,1,0
Marine Life,Tresus supp.,horse clam,Sweem,la fausse-mactre,Sweem are found buried up to 1 metre deep in areas that are sandy with bits of gravel and broken shell mixed in. Sweem are easier to get in some areas and its taste may vary with where it's found as well. Sweem are more plentiful and accessible than pun'eq' but are not as tasty. They also dry well. ,1,1,0,1,1,0
Marine Life,Hexagrammos decagrammus,kelp greenling,Tth'umuqwa',le sourcil de vareech,"Tth'umuqwa' is often found in rocky reef areas and kelp beds, in water 3 to 20 metres deep. It is one of the fish most likely to be seen in shallower waters in the Gulf Islands. The male and female are distinctly different in colouration, a difference that becomes more pronounced during mating season (male is brown with blue spots; female is golden-brown with reddish spots). Tth'umuqwa' is a food that is preferred by some but used only for bait by others. Tth'umuqwa' are often caught by spear by breaking open sea urchins under water, which then act as bait to attract Tth'umuqwa'. ",1,1,1,1,1,0
Marine Life,Ophiodon elongatus,lingcod,Eeyt,la morue-lingue,Eeyt are large bottom fish that are most commonly found at or near reefs in areas with abundant food or areas with fast-moving water. You can catch 'Eeyt by fishing in the deeper water near a reef and working your way into shallower areas or vice versa. The largest fish were not always the preferred for eating. 'Eeyt were once plentiful and easily caught. A special wooden lure (s-keq'up) or live bait is used to lure them up from the bottom to a waiting spear thrown from a canoe or rocky shore. The lure is pushed down by pole then let go to draw fish up from the bottom. 'Eeyt are also caught by line and or reef net. ,1,1,1,1,1,0
Marine Life,Ophiodon elongatus,lingcod eggs,Xuy'xuy'tl,les oeufs de morue-lingue,"Xuy'xuy'tl can be seen in white clusters in faster-moving sub-tidal waters throughout the Gulf Islands. Xuy'xuy'tl is usually harvested in water 3 to 5 metres deep. 'Eeyt create nests December to March, and the males often keep watch over the nest after the eggs are laid. Traditionally only a portion of the eggs are taken, using a three-pronged spear (shtl'e'lhunum') commonly used for harvesting many different kinds of seafood. People with special knowledge use xuy'xuy'tl to forecast or affect the weather. ",1,1,1,0,1,1
Marine Life,Protothaca staminea,littleneck clam,Skw'lhey,la palourde du pacifique,"Skw'lhey are found in the midrange of a beach, in course sandy mud. It is one of the smaller clams (up to 6 cm in length) and can occur in large quantities relatively near the surface. Skw'lhey are a favourite for steaming. The juice from cooking is used as a preventative medicine.",1,1,0,0,1,0
Marine Life,Haliotis kamtschatkana,northern abalone,S-eyo',l'ormeau nordique,"S-eyo' are found in rocky areas in fast-moving exposed waters, often well camouflaged by algae on their shells. S-eyo' is a threatened species due to past overharvesting, and harvesting s-eyo' is illegal. You can see the outline of the s-eyo' as one oblong bowl-like shell. If you are up close, you can sometimes see the filter holes that line one edge of the shell. S-eyo' has been used for trade–sometimes as far away as California. The differing colours of species from different areas had special uses; thick ones are often preferred and used for jewelery. Listed as ""threatened"" under SARA.",1,1,1,1,1,1
Marine Life,Hippoglossus stenolepis,pacific halibut,Stsa'tx,le fletan du pacifique,"Once an important food source, stsa'tx is no longer a common species in the Gulf Islands. It is the largest of the flatfish, weighing up to 180 kg or more, although today they seldom reach a large size. Generally stsa'tx is a deeper water fish but if you knew where to go, you could find them at spearing depths (less than 5 metres). The largest stsa'tx are not always the preferred size to be caught. The meat can be smoked and dried to make a jerky that preserves quite well and has a great flavour. Stsa'tx are often speared or caught by hook and line. They were speared at night with no light, using the sparkles in saltwater to see the stsa'tx.",1,1,1,0,1,0
Marine Life,Clupea pallasi,pacific herring,Slhewut',le hareng du pacifique,"Slhewut' have both resident and transient populations. They spawn in early spring in large schools and one can often see spawn in white clouds along the shallows. The gathering of seabirds, eagles and sea lions in an area can be a distinctive indicator of slhewut' and their spawn. Once a very abundant species and a very important resource, slhewut' is often caught using a special rake from either a canoe or–in certain fishing locations–from shore. An important resource, slhewut' are often smoked by hanging them on a stick like bananas.",1,1,0,1,1,1
Marine Life,"Crassostrea gigas, Ostrea conchaphila","pacific oyster, olympia oyster",Tl'uxwtl'uxw,l'huitre creuse du pacifique/ l'huitre plate pacifique,"Tl'uxwtl'uxw are usually found on rocky beaches and can grow as large as 30-45 cm in length. The native Olympia oyster (Ostrea conchaphila) is much smaller in size (5-9 cm). Both oysters are intertidal but the Olympia oyster can be found as deep as 50 metres. Crassostrea gigas (Pacific oyster) was introduced to the West Coast in the early 1900s. Tl'uxw literally means ""hard"". Tl'uxwtl'uxw then translates as ""hard hard"". This is the name for the Olympia oyster but the name is now commonly used for the introduced Pacific oyster. Tl'uxwtl'uxw can be steamed, roasted and then dried, or eaten raw straight out of the shell. Listed as ""special concern"" under SARA.",1,1,1,1,1,0
Marine Life,Pandalus platyceros,pacific prawn,Mam'ul/ Maal-mul',la crevette tachetee,"Mam'ul' (prawns, generically, are called maal-mul') are generally found in rocky habitats, in the deeper waters (adults prefer 70-90 metres) off of the Gulf Islands. They are the largest of the North Pacific shrimp species, and can reach a length of up to 25 cm. The Hul'q'umi'num name for prawn has been documented but requires future corroboration. ",1,1,0,0,1,1
Marine Life,Oncorhynchuus gorbuscha,pink salmon,Haan,le saumon rose,"Haan live only two years, starting the return trip to their spawning grounds after only 18 months in the ocean. On average, haan are a small salmon (1-2.5 kg), recognizable by their small scales and the black spots on the tail and upper body. Males develop a humped back during spawning migration. After hatching, fry head downstream to the ocean right away. Shallow inshore and freshwater estuaries are important habitat for juveniles. Haan is leaner than other salmon species and easier to preserve. Haan are not a commercial species as they are harder to process because the meat goes soft and mushy very easily. Haan has been fished by Cowichan as far up the Fraser as Yale. Like thuqi', haan is present in the Cowichan River system; they were once rare in the Cowichan River, but are now found in huge numbers. ",1,1,0,0,1,0
Marine Life,Siliqua patula,razor clam,P'ulq'i'us,le couteau du pacifique,"Although it looks much like a small sweem, p'ulq'us is usually found higer up in the intertidal zone. They often occur in areas where there is freshwater influence and/or muddy substrate. P'ulq'us is not generally a preferred food and is often thought ot only as a survival food–a food that is often left in an area to be harvested only when needed, as in an emergency. ",1,0,0,0,0,0
Marine Life,Porphyra spp.,red laver,Lhuq'us,la porphyre,"Lhuq'us is found in shallow water, often in bays, in the low to mid-tide level on rocky shores. Lhuq'us is the thin, green plant; pulh ta lus is thicker. Lhuq'us is harvested at the young growing stage in the spring, usually around May. Older plants are too tough to be eaten. Winter growth is tastier than spring growth but tedious to harvest because it is so short. Historically, lhuq'us was harvested and sold to Chinese and Japanese people in the Victoria area. ",1,0,0,0,1,0
Marine Life,Cancer productus,red rock crab,Kwakwatl'shun,le tourteau rouge du pacifique,"Kwakwatl'shun can be caught along the beach in wading depth much more readily than ey'x. If you are trapping in shallow waters, kwakwatl'shun can be caught as a bycatch. Kwakwatl'shun does not have as much meat for the effort as ey'x but it is easier to find. Although kwakwatl'shun is not generally one of the preferred species, it is sometimes eaten in times of need. ",1,0,0,0,0,0
Marine Life,Sebastes ruberrimus ,red snapper ,Tuqwtuqw,le sebaste a queue jaunne,"Tuqwtuqw–like stsa'tx–are now rare in the Gulf Islands. Tuqwtuqw are a solitary, deep-water fish (found at depths of 100-200 metres) found in good feeding areas. They can weigh up to 4 kg and live for up to 50 years. For many people, tuqwtuqw is a real delicacy. Traditionally they are harder to catch as they are usually found in much deeper waters. People who prefer tuqwtuqw and are good fisherman know special areas to find them in shallower, more accessible waters. Their internal organs are also used for bait. ",1,1,0,1,1,0
Marine Life,Sebastes spp.,Rockfish (in general),T'q'as,le sebaste,"T'q'as are mostly found in rocky areas, bays and kelp beds although some are found farther offshore at depths up to 1500 metres. T'q'as is a general name for all rockfish. Rockfish are caught using reef nets, lure and spear. They are also by-catch on hook and line. Listed as ""special concern"" under SARA; rockfish conservation areas are in place in the waters of our region.",1,1,1,1,1,0
Marine Life,strongylocentrotus franciscanus/ Stongylocentrotus purpuratus,sea urchins (red & purple),Xihwu,"l'oursin (rouge, pourpre)","Xihwu (red sea urchins) occur in areas of good water flow and at depths greater than 3 m. Xihwu prefer rocky areas (often with drop-offs), ledges and areas next to bull kelp beds. Xihwu feed on various kinds of kelp but prefer the base of q'am'. The purple ones are found in rocky surf zones on the west coast of Vancouver Island, often in small holes they carve into the soft sandstone bedrock. The holes make it necessary to use a pointed object to extract the small tennis ball-sized urchins from their protective substrate. Xihwu is a delicacy and is harvested using a 3-pronged spear or rake, although they can often be found in more accessible areas at lower tides. Xihwu are thin-shelled and can be either eaten or used for bait. You can spear them in the water and break them open underwater to attract fish which can then be speared. Purple sea urchins are a rare delicacy that have a sweet taste much like the skw'itth'i' found in the inside waters. ",1,1,1,1,0,0
Marine Life,,snails & periwinkles,Tth'uqw'iye,l'escargot/ le bigorneau,"Tth'uqw'iye are found in shallow rocky areas and are common throughout the Gulf Islands. Tth'uqw'iye can be used as food, a flavour additive or as survival food. ",1,0,1,0,0,0
Marine Life,Oncorhynchus nerka,sockeye salmon,Thuqi',le saumon rouge,"Thuqi' can be found in the Gulf Islands before they start up the Fraser River. Catching thuqi' in the Gulf Islands early in the season is a great advantage. Fishing in areas such as the waters west of Pender Island mean that we can supply salmon to other communities before thuqi' began running into the river systems. Thuqi' caught by trolling, traps and nets, are often smoked and used for community purposes or traded. Hul'q'umi'num people often traded smoked sockeye salmon to the mainland. Thuqi' is one of the richer salmon species and more care is required when smoking them. There are three ways to dry salmon: sh-shamus (lightly smoked); s-ts'ehw (smoked really dry); and s-t-eel (cut a certain way to make very thin, so as to dry more easily). ",1,1,0,1,1,0
Marine Life,Oncorhynchus tshaytscha,spring salmon,Stth'a'qwi',le saumon quinnat,"One of the first salmon to head up-river (they used to arrive in Cowichan in early May each year), stth'a'qwi' have suffered dramatic over-fishing and as a result no longer arrive in spring time. Stth'a'qwi' do not generally arrive to lay their eggs until mid to late summer. Stth'a'qwi' spawn in the upper reaches of river systems. Smaller or medium-sized stth'a'qwi' are preferred for their taste. Stth'a'qwi' that have traveled up river become dark or black and are called si-ne'uts. Because these fish are not as rich or fat, they are preferred for smoking. Stth'a'qwi' from the Shaw Creek area are sought after for this reason. The skin of larger stth'a'qwi' can be used for raincoats because of their size and waterproof nature. ",1,1,1,1,1,0
Marine Life,Platichthys stellatus,starry flonder,P'uwi',le flet etoile,"At 25 to 45 cm long, p'uwi' is larger than lhumuq'e. P'uwi' is also darker in coloration, with a dark grey to dark green upper body and a white underbelly. The lateral (side) fins have black and white stripes that help to differentiate them from other similar species. P'uwi' is an important food species that can be caught at times when salmon is not available. P'uwi' are often caught with a spear or hook and line. ",1,1,0,0,1,0
Marine Life,Oncorhynnchus mykiss,Steelhead,S-xuw'q'um'/ Sh-ya',le truite arc-en-ciel,"S-xuw'q'um' (sh-ya') are actually a sea-run kw'suts that return to the rivers from the ocean during the winter high waters. As the high waters flood the river system creating clouded waters, s-xuw'q'um are most often caught by hook and line. S-xuw'q'um is the name for the fish when they are fresh and silver. Sh-ya' refers to the fish when they are getting silver and returning to the sea. The name sh-ya' comes from the word ya'thut, which translates literally to 'back up'. Sh'ya' are the only trout to go out to sea and then come back up the river to spawn. They are a type of rainbow trout. ",1,1,1,0,1,0
Marine Life,Embiotoca lateralis,striped seaperch,Wiitsi',Le ditreme raye,"Wiitsi' is a colourful surfperch with orange and blue stripes. Its preferred habitats are reefs, piers and kelp beds. Wiitsi' is one of the largest members of the perch family. They are often caught near rocky shores in places that have nearby sand or gravel beaches where you can use beach seine nets. ",1,1,0,0,1,0
Marine Life,Hypomesus pretiosus,surf smelt,Stsa'kwum,l'eperlan argente,Stsa'kwum were at one time much more numerous but can still be found in inshore areas as well as deep water. They come into extreme shallow water on fine gravel beaches to spawn. They can spawn almost year round but most commonly spawn in winter and in summer. They are an important food for stsa'tx and the salmon species. Stsa'kwum is a fish that can be eaten fresh or smoked. The name stsa'kwum comes from the word tsam–which means to go uphill. This come from the spawning activity of stsa'kwum. They swim up the beach to spawn on the sand or fine gravel. ,1,1,0,0,1,0
Marine Life,Oncorhynchus spp.,trout (in general),Kw'suts,la truite,"Each trout species has its own specific type of habitat but kw'suts can be found in all reaches of the rivers and small connecting streams. Kw'suts, like the'wun, suffer from habitat loss and are not nearly as numerous or as sizeable as they once were. It was once considered the norm to find kw'suts in small creeks that would reach up to a metre in size. Kw'suts is the general term used for the various trout species except steelhead. Kw'suts are considered very important at times of the year when it was not possible to harvest salmon or other food resources. Kw'suts re often found in side channels and the higer reaches of rivers that are not as affected as the main channel of a river during floods.",1,1,0,0,1,0
Marine Life,Acipenser transmontanus,white sturgeon,Qwtaythun,l'estrgeon blanc,"Qwtaythun are found in flat bottom areas especially in estuaries or areas where a steady flow or current creates a ready food source. They are often caught in river systems but may be caught in the ocean as well. Qwtaythun are a delicacy, and are sometimes seen in the Cowichan River system but more commonly in the Fraser River. Qwtaythun in the Cowichan River are seen in the spring and summer. Qwtaythun are also taken as bycatch in the same areas fished for q'eq'o'. ",1,1,1,0,1,0
Birds,Cinclus mexicanus ,American dipper,Mulmul-hwitth'e',le cincle d'Amerique ,Mulmul-hwitth'e' is always found at or near fast-moving clear water such as small streams and rivers. Mulmul-hwitth'e' has a distinct bobbing body movement that helps to identify it. Mulmul-hwitth'e' has an extra eyelid on its eyes that lets it see underwater to find the small insects it feeds on. Its presence indicates good water quality. There are specific stories that include or refer to this bird and its special cultural/spiritual significance. Mulmul-hwitth'e' means oily (clothes) feathers. ,0,1,1,1,1,0
Birds,Anas americana,American widgeon,Sése,le canard d'Amérique ,"Widgeons have a distinct heavy body and large head, a blue bill and a white crown with a green eye stripe. The female has a grey bill and is grayish-brown with a pinkish front. Common and widespread in the winter, they are often found with other ducks in wetlands, marshes, fields and in parks in urban areas. American widgeon travel bunched up so you can catch many of them at once when you are hunting them.",1,1,1,0,1,1
Birds,Haliaeetus leucocephalus ,bald eagle,Yuxwule',le pygarge à tête blanche,"The winter food supply for many yuxwule' is the die-off from fall/winter salmon runs. You can find yuxwule' near the lower reaches of a river and side channels as they wait for this winter food. If you learn to watch for hunting or fishing perches, you may find yuxwule' feathers. Holding a yuxwule' feathew bestows a peek at the virtues of its original owner. Cultural value is not always immediately visible, and yuxwule' is an example of this–not because of its food or material value but as a result of its ability to hunt and provide for its young, its ability to fish and catch game much larger than itself, and its ability to soar effortlessly above the highest mountains. Yuxwule' pervades our stories, language and culture. ",0,1,1,1,1,1
