Common name,Taxon name,Date observed,Description,Place name,Latitude,Longitude,Tags,Geoprivacy,Max. depth,Bottom time
Callophyllis-like dulse,Palmaria callophylloides,2006-09-28T11:21:00,,Spanish Hills Store,48.99,-123.58,some,open,82,51
beautiful leaf seaweed,Callophyllis spp.,2006-09-28T11:21:00,,Spanish Hills Store,48.99,-123.58,some,open,82,51
Turkish towel,Chondracanthus exasperatus,2006-09-28T11:21:00,,Spanish Hills Store,48.99,-123.58,some,open,82,51
hidden-ribbed red seaweed,Cryptopleura lobulifera,2006-09-28T11:21:00,,Spanish Hills Store,48.99,-123.58,very many,open,82,51
black-lined red seaweed,Hymenena spp.,2006-09-28T11:21:00,,Spanish Hills Store,48.99,-123.58,many,open,82,51
succulent seaweed,Sarcodiotheca gaudichaudii,2006-09-28T11:21:00,,Spanish Hills Store,48.99,-123.58,some,open,82,51
slimy leaf,Schizymenia pacifica,2006-09-28T11:21:00,huge,Spanish Hills Store,48.99,-123.58,some,open,82,51
network red seaweed,Polyneura latissima,2006-09-28T11:21:00,,Spanish Hills Store,48.99,-123.58,very many,open,82,51
"seaweed C, orange-coloured red alga",Griffithsia pacifica?,2006-09-28T11:21:00,,Spanish Hills Store,48.99,-123.58,many,open,82,51
yellow boring sponge,Cliona californiana,2006-09-28T11:21:00,,Spanish Hills Store,48.99,-123.58,some,open,82,51
red velvety sponge 1,Clathria pennata,2006-09-28T11:21:00,,Spanish Hills Store,48.99,-123.58,very many,open,82,51
giant plumose anemone,Metridium farcimen,2006-09-28T11:21:00,,Spanish Hills Store,48.99,-123.58,some,open,82,51
tube-dwelling anemone,Pachycerianthus fimbriatus,2006-09-28T11:21:00,,Spanish Hills Store,48.99,-123.58,abundant,open,82,51
orange zoanthid,Epizoanthus scotinus,2006-09-28T11:21:00,patches,Spanish Hills Store,48.99,-123.58,some,open,82,51
orange cup coral,Balanophyllia elegans,2006-09-28T11:21:00,,Spanish Hills Store,48.99,-123.58,abundant,open,82,51
orange soft coral,Alcyonium sp.?,2006-09-28T11:21:00,,Spanish Hills Store,48.99,-123.58,few,open,82,51
orange sea pen,Ptilosarcus gurneyi,2006-09-28T11:21:00,,Spanish Hills Store,48.99,-123.58,few,open,82,51
embedded sea fir hydroids,Thuiaria spp.,2006-09-28T11:21:00,,Spanish Hills Store,48.99,-123.58,some,open,82,51
lion's mane,Cyanea capillata,2006-09-28T11:21:00,,Spanish Hills Store,48.99,-123.58,1,open,82,51
water jellies,Aequorea spp.,2006-09-28T11:21:00,,Spanish Hills Store,48.99,-123.58,few,open,82,51
sea gooseberry,Pleurobrachia bachei,2006-09-28T11:21:00,,Spanish Hills Store,48.99,-123.58,few,open,82,51
purple ribbon worm,Micrura verrilli,2006-09-28T11:21:00,in goodies,Spanish Hills Store,48.99,-123.58,1,open,82,51
red-trumpet calcareous tubeworm,Serpula columbiana,2006-09-28T11:21:00,,Spanish Hills Store,48.99,-123.58,very many,open,82,51
fringed filament-worm,Dodecaceria fewkesi,2006-09-28T11:21:00,,Spanish Hills Store,48.99,-123.58,very abundant,open,82,51
Vancouver feather-duster,Eudistylia vancouveri,2006-09-28T11:21:00,on float,Spanish Hills Store,48.99,-123.58,very many,open,82,51
slime-tube feather-duster,Myxicola infundibulum,2006-09-28T11:21:00,solitary,Spanish Hills Store,48.99,-123.58,some,open,82,51
curly-head spaghetti-worm,Thelepus spp.,2006-09-28T11:21:00,,Spanish Hills Store,48.99,-123.58,1,open,82,51
orange encrusting bryozoan,Schizoporella japonicus,2006-09-28T11:21:00,?,Spanish Hills Store,48.99,-123.58,very many,open,82,51
white tuft bryozoans,Crisia spp.,2006-09-28T11:21:00,,Spanish Hills Store,48.99,-123.58,some,open,82,51
lined chiton,Tonicella lineata,2006-09-28T11:21:00,,Spanish Hills Store,48.99,-123.58,few,open,82,51
white-line chiton,Tonicella insignis,2006-09-28T11:21:00,,Spanish Hills Store,48.99,-123.58,few,open,82,51
spiny pink scallop,Chlamys hastata,2006-09-28T11:21:00,,Spanish Hills Store,48.99,-123.58,2,open,82,51
giant rock scallop,Crassadoma gigantea,2006-09-28T11:21:00,,Spanish Hills Store,48.99,-123.58,very many,open,82,51
green false-jingle,Pododesmus macrochisma,2006-09-28T11:21:00,,Spanish Hills Store,48.99,-123.58,few,open,82,51
Nuttall's cockle,Clinocardium nuttalli,2006-09-28T11:21:00,shells,Spanish Hills Store,48.99,-123.58,few,open,82,51
rock entodesma,Entodesma navicula,2006-09-28T11:21:00,,Spanish Hills Store,48.99,-123.58,few,open,82,51
wrinkled dogwinkle,Nucella lamellosa,2006-09-28T11:21:00,,Spanish Hills Store,48.99,-123.58,very many,open,82,51
leafy hornmouth,Ceratostoma foliatum,2006-09-28T11:21:00,,Spanish Hills Store,48.99,-123.58,many,open,82,51
lurid rocksnail,Ocinebrina lurida,2006-09-28T11:21:00,,Spanish Hills Store,48.99,-123.58,1,open,82,51
freckled pale sea lemon,Diaulula lentiginosa,2006-09-28T11:21:00,,Spanish Hills Store,48.99,-123.58,2,open,82,51
yellow-rimmed nudibranch,Cadlina luteomarginata,2006-09-28T11:21:00,,Spanish Hills Store,48.99,-123.58,very many,open,82,51
Hudson's dorid,Acanthodoris hudsoni,2006-09-28T11:21:00,,Spanish Hills Store,48.99,-123.58,few,open,82,51
giant nudibranch,Dendronotus iris,2006-09-28T11:21:00,,Spanish Hills Store,48.99,-123.58,few,open,82,51
coonstripe shrimp,Pandalus danae,2006-09-28T11:21:00,,Spanish Hills Store,48.99,-123.58,few,open,82,51
pygmy rock crab,Cancer oregonensis,2006-09-28T11:21:00,,Spanish Hills Store,48.99,-123.58,few,open,82,51
red rock crab,Cancer productus,2006-09-28T11:21:00,,Spanish Hills Store,48.99,-123.58,1,open,82,51
northern kelp crab,Pugettia producta,2006-09-28T11:21:00,,Spanish Hills Store,48.99,-123.58,few,open,82,51
sharpnose crab,Scyra acutifrons,2006-09-28T11:21:00,,Spanish Hills Store,48.99,-123.58,many,open,82,51
Bering hermit,Pagurus beringanus,2006-09-28T11:21:00,,Spanish Hills Store,48.99,-123.58,many,open,82,51
common acorn barnacles,Balanus glandula/Balanus crenatus,2006-09-28T11:21:00,,Spanish Hills Store,48.99,-123.58,very many,open,82,51
giant acorn barnacle,Balanus nubilus,2006-09-28T11:21:00,,Spanish Hills Store,48.99,-123.58,many,open,82,51
mottled star,Evasterias troschelii,2006-09-28T11:21:00,,Spanish Hills Store,48.99,-123.58,few,open,82,51
rainbow star,Orthasterias koehleri,2006-09-28T11:21:00,including i with divided arm,Spanish Hills Store,48.99,-123.58,some,open,82,51
velcro star,Stylasterias forreri,2006-09-28T11:21:00,,Spanish Hills Store,48.99,-123.58,1,open,82,51
leather star,Dermasterias imbricata,2006-09-28T11:21:00,,Spanish Hills Store,48.99,-123.58,very many,open,82,51
vermilion star,Mediaster aequalis,2006-09-28T11:21:00,,Spanish Hills Store,48.99,-123.58,many,open,82,51
blood star,Henricia leviuscula leviuscula,2006-09-28T11:21:00,,Spanish Hills Store,48.99,-123.58,some,open,82,51
sunflower star,Pycnopodia helianthoides,2006-09-28T11:21:00,,Spanish Hills Store,48.99,-123.58,many,open,82,51
morning sun star,Solaster dawsoni,2006-09-28T11:21:00,,Spanish Hills Store,48.99,-123.58,2,open,82,51
feather star,Florometra serratissima,2006-09-28T11:21:00,,Spanish Hills Store,48.99,-123.58,very many,open,82,51
red sea urchin,Mesocentrotus franciscanus,2006-09-28T11:21:00,,Spanish Hills Store,48.99,-123.58,abundant,open,82,51
green sea urchin,Strongylocentrotus droebachiensis,2006-09-28T11:21:00,,Spanish Hills Store,48.99,-123.58,2,open,82,51
giant sea cucumber,Apostichopus californicus,2006-09-28T11:21:00,,Spanish Hills Store,48.99,-123.58,very many,open,82,51
stiff-footed sea cucumber,Eupentacta quinquesemita,2006-09-28T11:21:00,,Spanish Hills Store,48.99,-123.58,few,open,82,51
creeping pedal sea cucumber,Psolus chitonoides,2006-09-28T11:21:00,,Spanish Hills Store,48.99,-123.58,few,open,82,51
transparent tunicate,Corella willmeriana,2006-09-28T11:21:00,,Spanish Hills Store,48.99,-123.58,very abundant,open,82,51
broadbase tunicate,Cnemidocarpa finmarkiensis,2006-09-28T11:21:00,,Spanish Hills Store,48.99,-123.58,some,open,82,51
brown tunicate,Styela gibbsii,2006-09-28T11:21:00,,Spanish Hills Store,48.99,-123.58,few,open,82,51
yellow social tunicate,Perophora annectens,2006-09-28T11:21:00,patches,Spanish Hills Store,48.99,-123.58,few,open,82,51
white glove leather,Didemnum/Trididemnum complex,2006-09-28T11:21:00,some with brown tinge,Spanish Hills Store,48.99,-123.58,very many,open,82,51
tubesnout,Aulorhynchus flavidus,2006-09-28T11:21:00,long open schools,Spanish Hills Store,48.99,-123.58,few,open,82,51
blackeye goby,Rhinogobiops nicholsii,2006-09-28T11:21:00,,Spanish Hills Store,48.99,-123.58,very many,open,82,51
decorated warbonnet,Chirolophis decoratus,2006-09-28T11:21:00,,Spanish Hills Store,48.99,-123.58,1,open,82,51
striped seaperch,Embiotoca lateralis,2006-09-28T11:21:00,,Spanish Hills Store,48.99,-123.58,very many,open,82,51
pile perch,Damalichthys vacca,2006-09-28T11:21:00,,Spanish Hills Store,48.99,-123.58,very many,open,82,51
shiner perch,Cymatogaster aggregata,2006-09-28T11:21:00,,Spanish Hills Store,48.99,-123.58,very many,open,82,51
kelp perch,Brachyistius frenatus,2006-09-28T11:21:00,,Spanish Hills Store,48.99,-123.58,some,open,82,51
copper rockfish,Sebastes caurinus,2006-09-28T11:21:00,juvs adults and yoy,Spanish Hills Store,48.99,-123.58,abundant,open,82,51
quillback rockfish,Sebastes maliger,2006-09-28T11:21:00,"mostly juvs, no yoy",Spanish Hills Store,48.99,-123.58,very many,open,82,51
yellowtail rockfish,Sebastes flavidus,2006-09-28T11:21:00,"school of about 30 adults at same spot, 75 ft begining",Spanish Hills Store,48.99,-123.58,many,open,82,51
Puget Sound rockfish,Sebastes emphaeus,2006-09-28T11:21:00,,Spanish Hills Store,48.99,-123.58,very many,open,82,51
yelloweye rockfish,Sebastes ruberrimus,2006-09-28T11:21:00,juvs,Spanish Hills Store,48.99,-123.58,3,open,82,51
tiger rockfish,Sebastes nigrocinctus,2006-09-28T11:21:00,1 juv,Spanish Hills Store,48.99,-123.58,2,open,82,51
kelp greenling,Hexagrammos decagrammus,2006-09-28T11:21:00,,Spanish Hills Store,48.99,-123.58,some,open,82,51
lingcod,Ophiodon elongatus,2006-09-28T11:21:00,large,Spanish Hills Store,48.99,-123.58,1,open,82,51
painted greenling,Oxylebius pictus,2006-09-28T11:21:00,,Spanish Hills Store,48.99,-123.58,very many,open,82,51
scalyhead sculpin,Artedius harringtoni,2006-09-28T11:21:00,,Spanish Hills Store,48.99,-123.58,some,open,82,51
longfin sculpin,Jordania zonope,2006-09-28T11:21:00,,Spanish Hills Store,48.99,-123.58,many,open,82,51
cabezon,Scorpaenichthys marmoratus,2006-09-28T11:21:00,large,Spanish Hills Store,48.99,-123.58,1,open,82,51
speckled sanddab,Citharichthys stigmaeus,2006-09-28T11:21:00,,Spanish Hills Store,48.99,-123.58,some,open,82,51
rock sole,Lepidopsetta bilineata,2006-09-28T11:21:00,small,Spanish Hills Store,48.99,-123.58,2,open,82,51
sea lettuces,Ulva spp. / U. lactuca,2006-09-28T15:13:00,,Dionisio Reef,49.015,-123.57833,abundant,open,62,63
brown tuft,"Ectocarpus, Feldmannia, Hincksia, Pilayella",2006-09-28T15:13:00,"?, on bull kelp",Dionisio Reef,49.015,-123.57833,some,open,62,63
round brown bag,Colpomenia peregrina,2006-09-28T15:13:00,"on northern bladder chain, spectacular",Dionisio Reef,49.015,-123.57833,very many,open,62,63
winged kelp,Alaria marginata,2006-09-28T15:13:00,,Dionisio Reef,49.015,-123.57833,very many,open,62,63
seersucker kelp,Costaria costata,2006-09-28T15:13:00,,Dionisio Reef,49.015,-123.57833,some,open,62,63
sugar wrack kelp,Saccharina latissima,2006-09-28T15:13:00,,Dionisio Reef,49.015,-123.57833,some,open,62,63
northern bladder chain,Cystoseira geminata,2006-09-28T15:13:00,,Dionisio Reef,49.015,-123.57833,very many,open,62,63
old growth kelp,Pterygophora californica,2006-09-28T15:13:00,,Dionisio Reef,49.015,-123.57833,very many,open,62,63
bull kelp,Nereocystis luetkeana,2006-09-28T15:13:00,very lush bed,Dionisio Reef,49.015,-123.57833,abundant,open,62,63
fringed sea colander kelp,Neoagarum fimbriatum,2006-09-28T15:13:00,,Dionisio Reef,49.015,-123.57833,many,open,62,63
red rock crust,Hildenbrandia spp.,2006-09-28T15:13:00,,Dionisio Reef,49.015,-123.57833,very many,open,62,63
filamentous red algae,filamentous red algae,2006-09-28T15:13:00,,Dionisio Reef,49.015,-123.57833,very many,open,62,63
crustose corallines,Clathromorphum etc.,2006-09-28T15:13:00,,Dionisio Reef,49.015,-123.57833,abundant,open,62,63
pink feather coralline,Corallina officinalis var. chilensis,2006-09-28T15:13:00,,Dionisio Reef,49.015,-123.57833,some,open,62,63
leaf coral seaweed,"Bossiella spp., Calliarthron spp.",2006-09-28T15:13:00,,Dionisio Reef,49.015,-123.57833,some,open,62,63
bladed red algae,undetermined bladed red algae,2006-09-28T15:13:00,at least 2 species,Dionisio Reef,49.015,-123.57833,many,open,62,63
beautiful leaf seaweed,Callophyllis spp.,2006-09-28T15:13:00,,Dionisio Reef,49.015,-123.57833,very many,open,62,63
Turkish towel,Chondracanthus exasperatus,2006-09-28T15:13:00,,Dionisio Reef,49.015,-123.57833,some,open,62,63
iridescent seaweed,Mazzaella splendens,2006-09-28T15:13:00,,Dionisio Reef,49.015,-123.57833,very many,open,62,63
hidden-ribbed red seaweed,Cryptopleura lobulifera,2006-09-28T15:13:00,,Dionisio Reef,49.015,-123.57833,very many,open,62,63
black-lined red seaweed,Hymenena spp.,2006-09-28T15:13:00,,Dionisio Reef,49.015,-123.57833,many,open,62,63
succulent seaweed,Sarcodiotheca gaudichaudii,2006-09-28T15:13:00,,Dionisio Reef,49.015,-123.57833,some,open,62,63
slimy leaf,Schizymenia pacifica,2006-09-28T15:13:00,,Dionisio Reef,49.015,-123.57833,some,open,62,63
kelp-fringing nori,Porphyra gardneri,2006-09-28T15:13:00,,Dionisio Reef,49.015,-123.57833,some,open,62,63
winged rib,Delesseria decipiens,2006-09-28T15:13:00,,Dionisio Reef,49.015,-123.57833,few,open,62,63
bull-kelp nori,Porphyra nereocystis,2006-09-28T15:13:00,very lon and lush,Dionisio Reef,49.015,-123.57833,abundant,open,62,63
delicately-branched red seaweed,Bonnemaisonia nootkana,2006-09-28T15:13:00,,Dionisio Reef,49.015,-123.57833,few,open,62,63
blue branching seaweed,Gloiocladia laciniata,2006-09-28T15:13:00,,Dionisio Reef,49.015,-123.57833,some,open,62,63
prickly pear seaweed,Opuntiella californica,2006-09-28T15:13:00,,Dionisio Reef,49.015,-123.57833,few,open,62,63
"seaweed C, orange-coloured red alga",Griffithsia pacifica?,2006-09-28T15:13:00,other species with flame colour,Dionisio Reef,49.015,-123.57833,some,open,62,63
yellow boring sponge,Cliona californiana,2006-09-28T15:13:00,,Dionisio Reef,49.015,-123.57833,many,open,62,63
Bowerbank's crumb of bread sponge,Halichondria bowerbanki,2006-09-28T15:13:00,clump?,Dionisio Reef,49.015,-123.57833,1,open,62,63
red velvety sponge 1,Clathria pennata,2006-09-28T15:13:00,,Dionisio Reef,49.015,-123.57833,few,open,62,63
giant plumose anemone,Metridium farcimen,2006-09-28T15:13:00,,Dionisio Reef,49.015,-123.57833,many,open,62,63
swimming anemone,Stomphia didemon,2006-09-28T15:13:00,,Dionisio Reef,49.015,-123.57833,1,open,62,63
tube-dwelling anemone,Pachycerianthus fimbriatus,2006-09-28T15:13:00,,Dionisio Reef,49.015,-123.57833,some,open,62,63
orange zoanthid,Epizoanthus scotinus,2006-09-28T15:13:00,"patches, lush",Dionisio Reef,49.015,-123.57833,some,open,62,63
orange cup coral,Balanophyllia elegans,2006-09-28T15:13:00,very lush,Dionisio Reef,49.015,-123.57833,very abundant,open,62,63
orange soft coral,Alcyonium sp.?,2006-09-28T15:13:00,good size,Dionisio Reef,49.015,-123.57833,few,open,62,63
orange sea pen,Ptilosarcus gurneyi,2006-09-28T15:13:00,"various sizes, in gravel",Dionisio Reef,49.015,-123.57833,very many,open,62,63
embedded sea fir hydroids,Thuiaria spp.,2006-09-28T15:13:00,,Dionisio Reef,49.015,-123.57833,some,open,62,63
bushy pink-mouth hydroid,Pinauay crocea,2006-09-28T15:13:00,fields on flat out crop,Dionisio Reef,49.015,-123.57833,abundant,open,62,63
lion's mane,Cyanea capillata,2006-09-28T15:13:00,,Dionisio Reef,49.015,-123.57833,2,open,62,63
moon jelly,Aurelia labiata,2006-09-28T15:13:00,tiny,Dionisio Reef,49.015,-123.57833,1,open,62,63
water jellies,Aequorea spp.,2006-09-28T15:13:00,tiny,Dionisio Reef,49.015,-123.57833,few,open,62,63
white-crown calcareous tubeworm,Protula pacifica,2006-09-28T15:13:00,,Dionisio Reef,49.015,-123.57833,2,open,62,63
red-trumpet calcareous tubeworm,Serpula columbiana,2006-09-28T15:13:00,,Dionisio Reef,49.015,-123.57833,very many,open,62,63
fringed filament-worm,Dodecaceria fewkesi,2006-09-28T15:13:00,,Dionisio Reef,49.015,-123.57833,some,open,62,63
kelp-encrusting bryozoan,Membranipora serrilamella,2006-09-28T15:13:00,,Dionisio Reef,49.015,-123.57833,very many,open,62,63
orange encrusting bryozoan,Schizoporella japonicus,2006-09-28T15:13:00,?,Dionisio Reef,49.015,-123.57833,many,open,62,63
northern staghorn bryozoan,Heteropora pacifica,2006-09-28T15:13:00,,Dionisio Reef,49.015,-123.57833,1,open,62,63
lined chiton,Tonicella lineata,2006-09-28T15:13:00,,Dionisio Reef,49.015,-123.57833,some,open,62,63
white-line chiton,Tonicella insignis,2006-09-28T15:13:00,,Dionisio Reef,49.015,-123.57833,some,open,62,63
giant Pacific chiton,Cryptochiton stelleri,2006-09-28T15:13:00,,Dionisio Reef,49.015,-123.57833,few,open,62,63
spiny pink scallop,Chlamys hastata,2006-09-28T15:13:00,,Dionisio Reef,49.015,-123.57833,2,open,62,63
giant rock scallop,Crassadoma gigantea,2006-09-28T15:13:00,,Dionisio Reef,49.015,-123.57833,many,open,62,63
bladderclam,Mytilimeria nuttalli,2006-09-28T15:13:00,in red ascidian,Dionisio Reef,49.015,-123.57833,few,open,62,63
rock entodesma,Entodesma navicula,2006-09-28T15:13:00,,Dionisio Reef,49.015,-123.57833,1,open,62,63
northern abalone,Haliotis kamtschatkana,2006-09-28T15:13:00,small,Dionisio Reef,49.015,-123.57833,1,open,62,63
wrinkled dogwinkle,Nucella lamellosa,2006-09-28T15:13:00,,Dionisio Reef,49.015,-123.57833,few,open,62,63
leafy hornmouth,Ceratostoma foliatum,2006-09-28T15:13:00,,Dionisio Reef,49.015,-123.57833,few,open,62,63
wrinkled amphissa,Amphissa columbiana,2006-09-28T15:13:00,,Dionisio Reef,49.015,-123.57833,few,open,62,63
noble sea lemon,Doris nobilis,2006-09-28T15:13:00,,Dionisio Reef,49.015,-123.57833,few,open,62,63
yellow-rimmed nudibranch,Cadlina luteomarginata,2006-09-28T15:13:00,,Dionisio Reef,49.015,-123.57833,some,open,62,63
red flabellina,Flabellina triophina,2006-09-28T15:13:00,"in one small patch, large ones",Dionisio Reef,49.015,-123.57833,few,open,62,63
pygmy rock crab,Cancer oregonensis,2006-09-28T15:13:00,,Dionisio Reef,49.015,-123.57833,2,open,62,63
northern kelp crab,Pugettia producta,2006-09-28T15:13:00,,Dionisio Reef,49.015,-123.57833,1,open,62,63
graceful kelp crab,Pugettia gracilis,2006-09-28T15:13:00,,Dionisio Reef,49.015,-123.57833,1,open,62,63
sharpnose crab,Scyra acutifrons,2006-09-28T15:13:00,,Dionisio Reef,49.015,-123.57833,some,open,62,63
Bering hermit,Pagurus beringanus,2006-09-28T15:13:00,,Dionisio Reef,49.015,-123.57833,few,open,62,63
giant acorn barnacle,Balanus nubilus,2006-09-28T15:13:00,solitary,Dionisio Reef,49.015,-123.57833,few,open,62,63
giant pink star,Pisaster brevispinus,2006-09-28T15:13:00,,Dionisio Reef,49.015,-123.57833,few,open,62,63
mottled star,Evasterias troschelii,2006-09-28T15:13:00,,Dionisio Reef,49.015,-123.57833,few,open,62,63
rainbow star,Orthasterias koehleri,2006-09-28T15:13:00,,Dionisio Reef,49.015,-123.57833,some,open,62,63
leather star,Dermasterias imbricata,2006-09-28T15:13:00,,Dionisio Reef,49.015,-123.57833,many,open,62,63
vermilion star,Mediaster aequalis,2006-09-28T15:13:00,,Dionisio Reef,49.015,-123.57833,many,open,62,63
slime star,Pteraster tesselatus,2006-09-28T15:13:00,including 1 with 6 arms,Dionisio Reef,49.015,-123.57833,few,open,62,63
blood star,Henricia leviuscula leviuscula,2006-09-28T15:13:00,,Dionisio Reef,49.015,-123.57833,some,open,62,63
sunflower star,Pycnopodia helianthoides,2006-09-28T15:13:00,,Dionisio Reef,49.015,-123.57833,many,open,62,63
rose star,Crossaster papposus,2006-09-28T15:13:00,,Dionisio Reef,49.015,-123.57833,some,open,62,63
morning sun star,Solaster dawsoni,2006-09-28T15:13:00,,Dionisio Reef,49.015,-123.57833,few,open,62,63
striped sun star,Solaster stimpsoni,2006-09-28T15:13:00,,Dionisio Reef,49.015,-123.57833,few,open,62,63
northern sun star,Solaster endeca,2006-09-28T15:13:00,,Dionisio Reef,49.015,-123.57833,1,open,62,63
daisy brittle star,Ophiopholis aculeata,2006-09-28T15:13:00,,Dionisio Reef,49.015,-123.57833,some,open,62,63
gray brittle star,Ophiura luetkenii,2006-09-28T15:13:00,,Dionisio Reef,49.015,-123.57833,very many,open,62,63
red sea urchin,Mesocentrotus franciscanus,2006-09-28T15:13:00,,Dionisio Reef,49.015,-123.57833,abundant,open,62,63
green sea urchin,Strongylocentrotus droebachiensis,2006-09-28T15:13:00,large,Dionisio Reef,49.015,-123.57833,very many,open,62,63
giant sea cucumber,Apostichopus californicus,2006-09-28T15:13:00,,Dionisio Reef,49.015,-123.57833,some,open,62,63
stiff-footed sea cucumber,Eupentacta quinquesemita,2006-09-28T15:13:00,,Dionisio Reef,49.015,-123.57833,few,open,62,63
transparent tunicate,Corella willmeriana,2006-09-28T15:13:00,,Dionisio Reef,49.015,-123.57833,few,open,62,63
broadbase tunicate,Cnemidocarpa finmarkiensis,2006-09-28T15:13:00,,Dionisio Reef,49.015,-123.57833,few,open,62,63
Pacific sea peach,Halocynthia aurantium,2006-09-28T15:13:00,huge,Dionisio Reef,49.015,-123.57833,1,open,62,63
red ascidian,Aplidium solidum,2006-09-28T15:13:00,,Dionisio Reef,49.015,-123.57833,very many,open,62,63
Pacific herring,Clupea pallasii,2006-09-28T15:13:00,small tight school,Dionisio Reef,49.015,-123.57833,1,open,62,63
blackeye goby,Rhinogobiops nicholsii,2006-09-28T15:13:00,much male elevatoring,Dionisio Reef,49.015,-123.57833,abundant,open,62,63
wolf-eel,Anarrhichthys ocellatus,2006-09-28T15:13:00,"large male, tried feeding but no luck",Dionisio Reef,49.015,-123.57833,1,open,62,63
striped seaperch,Embiotoca lateralis,2006-09-28T15:13:00,,Dionisio Reef,49.015,-123.57833,many,open,62,63
pile perch,Damalichthys vacca,2006-09-28T15:13:00,,Dionisio Reef,49.015,-123.57833,many,open,62,63
shiner perch,Cymatogaster aggregata,2006-09-28T15:13:00,,Dionisio Reef,49.015,-123.57833,few,open,62,63
kelp perch,Brachyistius frenatus,2006-09-28T15:13:00,,Dionisio Reef,49.015,-123.57833,few,open,62,63
copper rockfish,Sebastes caurinus,2006-09-28T15:13:00,"Many large adults, few yoy",Dionisio Reef,49.015,-123.57833,abundant,open,62,63
quillback rockfish,Sebastes maliger,2006-09-28T15:13:00,adulats and juvs,Dionisio Reef,49.015,-123.57833,very many,open,62,63
Puget Sound rockfish,Sebastes emphaeus,2006-09-28T15:13:00,in crevices,Dionisio Reef,49.015,-123.57833,some,open,62,63
yelloweye rockfish,Sebastes ruberrimus,2006-09-28T15:13:00,juvs,Dionisio Reef,49.015,-123.57833,3,open,62,63
tiger rockfish,Sebastes nigrocinctus,2006-09-28T15:13:00,very colourful ( at leat 12),Dionisio Reef,49.015,-123.57833,few,open,62,63
kelp greenling,Hexagrammos decagrammus,2006-09-28T15:13:00,adults and some red coloured juvs in algae,Dionisio Reef,49.015,-123.57833,many,open,62,63
lingcod,Ophiodon elongatus,2006-09-28T15:13:00,few large,Dionisio Reef,49.015,-123.57833,some,open,62,63
painted greenling,Oxylebius pictus,2006-09-28T15:13:00,,Dionisio Reef,49.015,-123.57833,many,open,62,63
scalyhead sculpin,Artedius harringtoni,2006-09-28T15:13:00,,Dionisio Reef,49.015,-123.57833,few,open,62,63
longfin sculpin,Jordania zonope,2006-09-28T15:13:00,,Dionisio Reef,49.015,-123.57833,some,open,62,63
cabezon,Scorpaenichthys marmoratus,2006-09-28T15:13:00,medium,Dionisio Reef,49.015,-123.57833,1,open,62,63
sea lettuces,Ulva spp. / U. lactuca,2006-09-29T11:09:00,some on kelp,Race Point,49.01167,-123.585,very many,open,82,59
spongy cushion,Codium setchellii,2006-09-29T11:09:00,at rocky plateau,Race Point,49.01167,-123.585,very many,open,82,59
brown tuft,"Ectocarpus, Feldmannia, Hincksia, Pilayella",2006-09-29T11:09:00,on bull kelp,Race Point,49.01167,-123.585,some,open,82,59
winged kelp,Alaria marginata,2006-09-29T11:09:00,,Race Point,49.01167,-123.585,some,open,82,59
seersucker kelp,Costaria costata,2006-09-29T11:09:00,,Race Point,49.01167,-123.585,some,open,82,59
sugar wrack kelp,Saccharina latissima,2006-09-29T11:09:00,,Race Point,49.01167,-123.585,many,open,82,59
broad-rib kelp,Pleurophycus gardneri,2006-09-29T11:09:00,,Race Point,49.01167,-123.585,very many,open,82,59
broad acid weed,Desmarestia ligulata,2006-09-29T11:09:00,small,Race Point,49.01167,-123.585,few,open,82,59
old growth kelp,Pterygophora californica,2006-09-29T11:09:00,,Race Point,49.01167,-123.585,abundant,open,82,59
bull kelp,Nereocystis luetkeana,2006-09-29T11:09:00,still in good shape,Race Point,49.01167,-123.585,abundant,open,82,59
fringed sea colander kelp,Neoagarum fimbriatum,2006-09-29T11:09:00,,Race Point,49.01167,-123.585,few,open,82,59
red rock crust,Hildenbrandia spp.,2006-09-29T11:09:00,,Race Point,49.01167,-123.585,some,open,82,59
filamentous red algae,filamentous red algae,2006-09-29T11:09:00,several species,Race Point,49.01167,-123.585,very many,open,82,59
beauty bush,Callithamnion pikeanum,2006-09-29T11:09:00,,Race Point,49.01167,-123.585,some,open,82,59
crustose corallines,Clathromorphum etc.,2006-09-29T11:09:00,,Race Point,49.01167,-123.585,abundant,open,82,59
leaf coral seaweed,"Bossiella spp., Calliarthron spp.",2006-09-29T11:09:00,,Race Point,49.01167,-123.585,few,open,82,59
bladed red algae,undetermined bladed red algae,2006-09-29T11:09:00,several species,Race Point,49.01167,-123.585,very many,open,82,59
Callophyllis-like dulse,Palmaria callophylloides,2006-09-29T11:09:00,,Race Point,49.01167,-123.585,very many,open,82,59
beautiful leaf seaweed,Callophyllis spp.,2006-09-29T11:09:00,,Race Point,49.01167,-123.585,abundant,open,82,59
Turkish towel,Chondracanthus exasperatus,2006-09-29T11:09:00,,Race Point,49.01167,-123.585,very many,open,82,59
iridescent seaweed,Mazzaella splendens,2006-09-29T11:09:00,,Race Point,49.01167,-123.585,very many,open,82,59
ruffled red seaweed,Cryptopleura ruprechtiana,2006-09-29T11:09:00,,Race Point,49.01167,-123.585,abundant,open,82,59
black-lined red seaweed,Hymenena spp.,2006-09-29T11:09:00,,Race Point,49.01167,-123.585,very many,open,82,59
